month,ls_return_sum,ls_return_mean,long_return_mean,short_return_mean,n_timestamps,positive_ls,turnover_mean,factor_id,family,horizon,expected_direction
2024-08,-0.09628439,-0.0001294145,-0.0002613336,-0.0001319191,744,False,0.2643,xs_rank_mom_accel,cross_sectional_normalized,1h,positive
2024-09,0.04341108,6.02932e-05,0.0003495216,0.0002892285,720,True,0.2654,xs_rank_mom_accel,cross_sectional_normalized,1h,positive
2024-10,-0.20767616,-0.0002791346,-0.0001369596,0.000142175,744,False,0.2764,xs_rank_mom_accel,cross_sectional_normalized,1h,positive
2024-11,0.15216439,0.0002113394,0.00098007,0.0007687305,720,True,0.2684,xs_rank_mom_accel,cross_sectional_normalized,1h,positive
2024-12,-0.13681401,-0.0001838898,-0.000233193,-4.93032e-05,744,False,0.2814,xs_rank_mom_accel,cross_sectional_normalized,1h,positive
2025-01,0.0702101,9.43684e-05,-0.0002476293,-0.0003419977,744,True,0.2646,xs_rank_mom_accel,cross_sectional_normalized,1h,positive
2025-02,-0.06630565,-9.86691e-05,-0.0004542665,-0.0003555974,672,False,0.2631,xs_rank_mom_accel,cross_sectional_normalized,1h,positive
2025-03,-0.22943005,-0.0003083737,-0.0005234743,-0.0002151006,744,False,0.2688,xs_rank_mom_accel,cross_sectional_normalized,1h,positive
2025-04,-0.22879042,-0.0003177645,0.0001216115,0.000439376,720,False,0.2853,xs_rank_mom_accel,cross_sectional_normalized,1h,positive
2025-05,0.23232004,0.0003122581,0.0001991873,-0.0001130708,744,True,0.2585,xs_rank_mom_accel,cross_sectional_normalized,1h,positive
2025-06,-0.18652536,-0.000259063,-0.0002617358,-2.6728e-06,720,False,0.2675,xs_rank_mom_accel,cross_sectional_normalized,1h,positive
2025-07,0.16614038,0.000223307,0.0004104148,0.0001871078,744,True,0.2822,xs_rank_mom_accel,cross_sectional_normalized,1h,positive
2025-08,-0.10538653,-0.0001416486,0.0001669924,0.000308641,744,False,0.2887,xs_rank_mom_accel,cross_sectional_normalized,1h,positive
2025-09,-0.07983889,-0.0001108873,0.0001501182,0.0002610055,720,False,0.2878,xs_rank_mom_accel,cross_sectional_normalized,1h,positive
2025-10,0.30534447,0.0004104092,0.0002452241,-0.0001651851,744,True,0.2863,xs_rank_mom_accel,cross_sectional_normalized,1h,positive
2025-11,0.04014672,5.57593e-05,-0.0001136758,-0.0001694352,720,True,0.2841,xs_rank_mom_accel,cross_sectional_normalized,1h,positive
2025-12,-0.04524122,-6.08081e-05,-1.06687e-05,5.01394e-05,744,False,0.282,xs_rank_mom_accel,cross_sectional_normalized,1h,positive
2026-01,-0.00833636,-1.12048e-05,-0.0001554414,-0.0001442366,744,False,0.2772,xs_rank_mom_accel,cross_sectional_normalized,1h,positive
2026-02,0.29249986,0.0004352676,0.0001172089,-0.0003180587,672,True,0.2668,xs_rank_mom_accel,cross_sectional_normalized,1h,positive
2026-03,0.13715386,0.0001843466,8.03422e-05,-0.0001040043,744,True,0.2672,xs_rank_mom_accel,cross_sectional_normalized,1h,positive
2026-04,0.2355587,0.0003271649,0.0006791154,0.0003519505,720,True,0.272,xs_rank_mom_accel,cross_sectional_normalized,1h,positive
2026-05,-0.14689366,-0.0001974377,5.99776e-05,0.0002574153,744,False,0.2774,xs_rank_mom_accel,cross_sectional_normalized,1h,positive
2026-06,-0.05773369,-0.0002004642,-0.0003189929,-0.0001185287,288,False,0.2886,xs_rank_mom_accel,cross_sectional_normalized,1h,positive
