asset,mode,market_cost_bps,trades,total_return,win_rate,avg_net_ret,avg_hold_minutes,tp_hit_rate,sl_hit_rate,timeout_rate,same_bar_conflict_rate,confirmed_at_close_ratio,preview_only_ratio,avg_lead_minutes,avg_entry_improve_bps
XRP-USD,preview_unclosed15m,20.0,58,-0.2376577798513521,0.3620689655172414,-0.0046341465919964,43.86206896551724,0.3448275862068966,0.5344827586206896,0.1206896551724138,0.0,0.603448275862069,0.396551724137931,6.0285714285714285,13.864091505410968
DOGE-USD,official_close,6.0,41,0.031084693537676,0.6341463414634146,0.0007763367210086,36.31707317073171,0.5365853658536586,0.3414634146341463,0.1219512195121951,0.0,1.0,0.0,,
DOGE-USD,official_close,10.0,41,0.0066139088811956,0.5853658536585366,0.0001915661543412,36.31707317073171,0.5365853658536586,0.3414634146341463,0.1219512195121951,0.0,1.0,0.0,,
DOGE-USD,official_close,15.0,41,-0.023172706289433,0.5609756097560976,-0.0005391895993741,36.31707317073171,0.5365853658536586,0.3414634146341463,0.1219512195121951,0.0,1.0,0.0,,
DOGE-USD,official_close,20.0,41,-0.0520921700796199,0.5365853658536586,-0.0012697148479577,36.31707317073171,0.5365853658536586,0.3414634146341463,0.1219512195121951,0.0,1.0,0.0,,
DOGE-USD,preview_unclosed15m,6.0,61,0.0751448264130154,0.5901639344262295,0.0012220183765551,32.704918032786885,0.5573770491803278,0.3934426229508196,0.0491803278688524,0.0,0.6721311475409836,0.3278688524590163,5.804878048780488,16.78356315860582
DOGE-USD,preview_unclosed15m,10.0,61,0.0379288028973279,0.5901639344262295,0.0006454132920077,32.704918032786885,0.5573770491803278,0.3934426229508196,0.0491803278688524,0.0,0.6721311475409836,0.3278688524590163,5.804878048780488,16.78356315860582
DOGE-USD,preview_unclosed15m,15.0,61,-0.0068046210255211,0.5901639344262295,-7.514500529854262e-05,32.704918032786885,0.5573770491803278,0.3934426229508196,0.0491803278688524,0.0,0.6721311475409836,0.3278688524590163,5.804878048780488,16.78356315860582
DOGE-USD,preview_unclosed15m,20.0,61,-0.049631061944538,0.5901639344262295,-0.0007954832377405,32.704918032786885,0.5573770491803278,0.3934426229508196,0.0491803278688524,0.0,0.6721311475409836,0.3278688524590163,5.804878048780488,16.78356315860582
BNB-USD,official_close,6.0,17,-0.027920252996192,0.4117647058823529,-0.0016495386026636,27.647058823529413,0.4117647058823529,0.5294117647058824,0.0588235294117647,0.0,1.0,0.0,,
BNB-USD,official_close,10.0,17,-0.0383705414186036,0.4117647058823529,-0.0022830269449704,27.647058823529413,0.4117647058823529,0.5294117647058824,0.0588235294117647,0.0,1.0,0.0,,
BNB-USD,official_close,15.0,17,-0.0512813336937753,0.4117647058823529,-0.0030746239624825,27.647058823529413,0.4117647058823529,0.5294117647058824,0.0588235294117647,0.0,1.0,0.0,,
BNB-USD,official_close,20.0,17,-0.0640251231227122,0.4117647058823529,-0.0038659283018045,27.647058823529413,0.4117647058823529,0.5294117647058824,0.0588235294117647,0.0,1.0,0.0,,
BNB-USD,preview_unclosed15m,6.0,25,-0.0285856416407136,0.44,-0.0011431310171336,38.08,0.44,0.52,0.04,0.0,0.68,0.32,4.705882352941177,11.5698488405953
BNB-USD,preview_unclosed15m,10.0,25,-0.0436340614680732,0.44,-0.0017656150771779,38.08,0.44,0.52,0.04,0.0,0.68,0.32,4.705882352941177,11.5698488405953
BNB-USD,preview_unclosed15m,15.0,25,-0.0621254343109874,0.44,-0.0025434693623199,38.08,0.44,0.52,0.04,0.0,0.68,0.32,4.705882352941177,11.5698488405953
BNB-USD,preview_unclosed15m,20.0,25,-0.0802682701287218,0.44,-0.0033210449920032,38.08,0.44,0.52,0.04,0.0,0.68,0.32,4.705882352941177,11.5698488405953
ADA-USD,official_close,6.0,43,-0.1203252707531117,0.3255813953488372,-0.0029508378202868,37.88372093023256,0.2790697674418604,0.6511627906976745,0.0697674418604651,0.0,1.0,0.0,,
ADA-USD,official_close,10.0,43,-0.1460022885934284,0.3255813953488372,-0.0036363576282625,37.88372093023256,0.2790697674418604,0.6511627906976745,0.0697674418604651,0.0,1.0,0.0,,
ADA-USD,official_close,15.0,43,-0.1770608959631888,0.3255813953488372,-0.0044929347973452,37.88372093023256,0.2790697674418604,0.6511627906976745,0.0697674418604651,0.0,1.0,0.0,,
ADA-USD,official_close,20.0,43,-0.2070046633387919,0.3255813953488372,-0.0053491535321091,37.88372093023256,0.2790697674418604,0.6511627906976745,0.0697674418604651,0.0,1.0,0.0,,
ADA-USD,preview_unclosed15m,6.0,67,-0.1745029820003149,0.3134328358208955,-0.0028333963493828,40.1044776119403,0.2537313432835821,0.6268656716417911,0.1194029850746268,0.0,0.6417910447761194,0.3582089552238806,5.209302325581396,10.271132268985369
ADA-USD,preview_unclosed15m,10.0,67,-0.2122756804218266,0.3134328358208955,-0.0035292010846797,40.1044776119403,0.2537313432835821,0.6268656716417911,0.1194029850746268,0.0,0.6417910447761194,0.3582089552238806,5.209302325581396,10.271132268985369
ADA-USD,preview_unclosed15m,15.0,67,-0.2570899585288061,0.3134328358208955,-0.0043986228837219,40.1044776119403,0.2537313432835821,0.6268656716417911,0.1194029850746268,0.0,0.6417910447761194,0.3582089552238806,5.209302325581396,10.271132268985369
ADA-USD,preview_unclosed15m,20.0,67,-0.2993752710509141,0.3134328358208955,-0.005267673438232,40.1044776119403,0.2537313432835821,0.6268656716417911,0.1194029850746268,0.0,0.6417910447761194,0.3582089552238806,5.209302325581396,10.271132268985369
AVAX-USD,official_close,6.0,40,-0.0449231391006595,0.45,-0.0011196904977486,42.675,0.4,0.5,0.1,0.0,1.0,0.0,,
AVAX-USD,official_close,10.0,40,-0.0690818817192404,0.425,-0.0017579530768867,42.675,0.4,0.5,0.1,0.0,1.0,0.0,,
