asset,symbol,entry_mode,exit_config,market_cost_bps,net_ret,gross_ret,exit_reason,confirmed_at_close,preview_only,lead_minutes,delay_penalty_bps,delay_pct_of_tp175
BTC-USD,BTCUSDT,preview_unclosed15m,fixed_hold_120m,10.0,-0.012712734060634334,-0.010735193712866353,fixed_hold,0,1,14.0,0.0,0.0
BTC-USD,BTCUSDT,preview_unclosed15m,fixed_hold_120m,10.0,-0.011252124993588852,-0.009271659040009816,fixed_hold,1,0,9.0,0.0,0.0
BTC-USD,BTCUSDT,preview_unclosed15m,fixed_hold_120m,10.0,0.0036557233531686606,0.005666049786692384,fixed_hold,1,0,8.0,0.0,0.0
BTC-USD,BTCUSDT,preview_unclosed15m,fixed_hold_120m,10.0,0.016180737892526054,0.018216151980334883,fixed_hold,1,0,9.0,0.0,0.0
BTC-USD,BTCUSDT,preview_unclosed15m,fixed_hold_120m,10.0,-0.005300381663750131,-0.0033079943444447313,fixed_hold,1,0,14.0,0.0,0.0
BTC-USD,BTCUSDT,preview_unclosed15m,fixed_hold_120m,10.0,8.438238097285833e-05,0.0020875554042258937,fixed_hold,1,0,11.0,0.0,0.0
BTC-USD,BTCUSDT,preview_unclosed15m,fixed_hold_120m,10.0,0.019566936058841522,0.0216091327151392,fixed_hold,1,0,7.0,0.0,0.0
BTC-USD,BTCUSDT,preview_unclosed15m,fixed_hold_120m,10.0,0.006811649800829045,0.00882829756766701,fixed_hold,1,0,13.0,0.0,0.0
BTC-USD,BTCUSDT,preview_unclosed15m,fixed_hold_120m,10.0,0.0023150498597022118,0.004322690918848848,fixed_hold,1,0,1.0,0.0,0.0
BTC-USD,BTCUSDT,preview_unclosed15m,fixed_hold_120m,10.0,-0.0018875114392957748,0.00011171187273784078,fixed_hold,1,0,11.0,0.0,0.0
BTC-USD,BTCUSDT,preview_unclosed15m,fixed_hold_120m,10.0,0.006155698286655964,0.00817103217998405,fixed_hold,1,0,12.0,0.0,0.0
BTC-USD,BTCUSDT,preview_unclosed15m,fixed_hold_120m,10.0,-0.0065185802735509,-0.004528633010939753,fixed_hold,1,0,14.0,0.0,0.0
BTC-USD,BTCUSDT,preview_unclosed15m,fixed_hold_120m,10.0,0.005612668688538713,0.007626914891406544,fixed_hold,1,0,11.0,0.0,0.0
BTC-USD,BTCUSDT,preview_unclosed15m,fixed_hold_120m,10.0,-0.0006740569863240564,0.0013275968798386328,fixed_hold,1,0,10.0,0.0,0.0
BTC-USD,BTCUSDT,preview_unclosed15m,fixed_hold_120m,10.0,0.00370009930100057,0.005710514619725382,fixed_hold,1,0,8.0,0.0,0.0
BTC-USD,BTCUSDT,preview_unclosed15m,fixed_hold_120m,10.0,0.04056984149828535,0.042654107058294866,fixed_hold,1,0,5.0,0.0,0.0
BTC-USD,BTCUSDT,preview_unclosed15m,fixed_hold_120m,10.0,-0.00512064769978815,-0.003127900372632997,fixed_hold,1,0,11.0,0.0,0.0
BTC-USD,BTCUSDT,preview_unclosed15m,fixed_hold_120m,10.0,0.01770515706819764,0.019743624573720586,fixed_hold,1,0,14.0,0.0,0.0
BTC-USD,BTCUSDT,preview_unclosed15m,fixed_hold_120m,10.0,0.0020364085860098413,0.004043491525569376,fixed_hold,1,0,0.0,0.0,0.0
BTC-USD,BTCUSDT,preview_unclosed15m,fixed_hold_120m,10.0,0.0032797018199730577,0.0052892750808597455,fixed_hold,1,0,4.0,0.0,0.0
BTC-USD,BTCUSDT,preview_unclosed15m,fixed_hold_120m,10.0,0.0011820374609781137,0.0031874090917525244,fixed_hold,1,0,11.0,0.0,0.0
BTC-USD,BTCUSDT,preview_unclosed15m,fixed_hold_120m,10.0,0.005050368138886929,0.0070634880515019205,fixed_hold,1,0,13.0,0.0,0.0
