entry_mode,asset,trades,win_rate,total_return,mean_net_ret,mean_delay_penalty_bps,mean_delay_pct_of_tp175
preview_unclosed15m,ADA-USD,81,0.7037037037037037,0.32435188927538294,0.0035032394697699872,0.0,0.0
preview_unclosed15m_delay1m,ADA-USD,78,0.7051282051282052,0.35618208281630936,0.003941708475834522,1.7215265575839147,2.206524407400974
official_close,AVAX-USD,70,0.6142857142857143,0.1328781484587549,0.0018189075419520052,0.0,0.0
preview_unclosed15m,AVAX-USD,67,0.7611940298507462,0.32576811149738183,0.004243848371556745,0.0,0.0
preview_unclosed15m_delay1m,AVAX-USD,67,0.746268656716418,0.3204968356589797,0.004184946368054745,0.8062381139710397,1.285462566791023
official_close,LINK-USD,72,0.6388888888888888,0.23548708828135134,0.0029704032865339133,0.0,0.0
preview_unclosed15m,LINK-USD,76,0.8157894736842105,0.45318196032942004,0.004948864419256475,0.0,0.0
preview_unclosed15m_delay1m,LINK-USD,76,0.7368421052631579,0.343739176702627,0.0039185186503128645,5.840342852547957,7.866949474192417
official_close,BCH-USD,90,0.6222222222222222,0.13748556541926904,0.001454165262078175,0.0,0.0
preview_unclosed15m,BCH-USD,91,0.8131868131868132,0.41171573112216864,0.0038099629116721476,0.0,0.0
preview_unclosed15m_delay1m,BCH-USD,92,0.782608695652174,0.41847105797334705,0.003821555639005302,0.26756009811014086,1.5240388220040775
official_close,DOT-USD,97,0.5463917525773195,0.14324964720147704,0.0014232741768155548,0.0,0.0
preview_unclosed15m,DOT-USD,100,0.72,0.6020380724474059,0.004759031742103388,0.0,0.0
preview_unclosed15m_delay1m,DOT-USD,100,0.71,0.6123755058624458,0.004822683862404175,4.64997814647794,4.732700324367261
official_close,ZEC-USD,106,0.6415094339622641,0.44844025540508237,0.003574551884469436,0.0,0.0
preview_unclosed15m,ZEC-USD,108,0.7222222222222222,1.0122864368761073,0.006550639712635702,0.0,0.0
preview_unclosed15m_delay1m,ZEC-USD,106,0.7452830188679245,1.0998823129846422,0.007074359231499441,2.91394462715004,1.8369821547498095
official_close,AAVE-USD,86,0.6627906976744186,0.37446412782467475,0.003746899728760899,0.0,0.0
preview_unclosed15m,AAVE-USD,86,0.8488372093023255,0.7937510350581363,0.00684365358064777,0.0,0.0
preview_unclosed15m_delay1m,AAVE-USD,87,0.8275862068965517,0.7431341838752001,0.0064362610307508675,6.335456106512732,5.705792989624039
official_close,SUI-USD,98,0.5816326530612245,0.21910192484381397,0.0020642660593739653,0.0,0.0
preview_unclosed15m,SUI-USD,104,0.7211538461538461,0.5960636850199337,0.004537406579384193,0.0,0.0
preview_unclosed15m_delay1m,SUI-USD,104,0.6826923076923077,0.4779623534757764,0.0037971062749051145,4.551185982672756,3.4380478654827185
official_close,WLD-USD,104,0.5480769230769231,0.07605577867819924,0.0007437824158009113,0.0,0.0
preview_unclosed15m,WLD-USD,107,0.7663551401869159,0.7119826513488035,0.005071581513279929,0.0,0.0
preview_unclosed15m_delay1m,WLD-USD,106,0.7452830188679245,0.5936812600799373,0.004441659143002853,18.133068842835673,13.879519295558067
