factor_id,horizon,n_months,rolling_ic_3m_mean_latest,rolling_ic_3m_min,rolling_ic_3m_max,rolling_ls_3m_mean_latest,rolling_ic_6m_mean_latest,rolling_ic_6m_min,rolling_ic_6m_max,rolling_ls_6m_mean_latest,ic_positive_month_rate,ls_positive_month_rate,recent_6m_ic_mean,full_period_ic_mean,recent_vs_full_ic_delta,recent_6m_ls_mean,full_period_ls_mean,recent_vs_full_ls_delta,stability_score,stability_class,main_stability_note_zh,main_stability_note_en
qvol_zscore_48h,1h,25,-0.005128,-0.014984,-0.001141,0.00021501,-0.003354,-0.014182,-0.003354,0.00022346,0.16,0.84,-0.003354,-0.007295,0.003941,0.00022346,9.328e-05,0.00013018,71.6,STABLE_WEAK,因子表现基本稳定但信号偏弱，可作为辅助因子,Factor is stable but weak — consider as auxiliary signal
qvol_zscore_48h,24h,25,-0.002007,-0.022415,0.004117,0.00373774,-0.003052,-0.01514,-0.00161,0.00231868,0.28,0.6,-0.003052,-0.005573,0.00252,0.00231868,0.00051858,0.0018001,70.4,STABLE_WEAK,因子表现基本稳定但信号偏弱，可作为辅助因子,Factor is stable but weak — consider as auxiliary signal
qvol_zscore_48h,4h,25,-0.005932,-0.018659,-0.00463,0.00080271,-0.007146,-0.01351,-0.00612,0.00070073,0.12,0.68,-0.007146,-0.009389,0.002242,0.00070073,0.000209,0.00049172,67.2,STABLE_WEAK,因子表现基本稳定但信号偏弱，可作为辅助因子,Factor is stable but weak — consider as auxiliary signal
qvol_zscore_48h,72h,25,-0.003385,-0.017235,0.007774,0.00679644,5.9e-05,-0.008296,0.003441,0.00454525,0.48,0.52,5.9e-05,-0.002368,0.002427,0.00454525,0.00173112,0.00281413,74.8,REGIME_OR_PERIOD_DEPENDENT,因子表现依赖市场环境，建议结合市场状态使用,Factor performance is regime-dependent — use with market state overlay
range_1h,1h,25,-0.027397,-0.052829,-0.023247,0.00044489,-0.02683,-0.046562,-0.02683,0.00027805,0.0,0.68,-0.02683,-0.036724,0.009895,0.00027805,0.00011075,0.00016729,58.6,STABLE_WEAK,因子表现基本稳定但信号偏弱，可作为辅助因子,Factor is stable but weak — consider as auxiliary signal
range_1h,24h,25,-0.057199,-0.111914,-0.057199,0.00729748,-0.062929,-0.102169,-0.062929,0.00398414,0.0,0.6,-0.062929,-0.079258,0.016329,0.00398414,0.0019028,0.00208135,52.0,STABLE_WEAK,因子表现基本稳定但信号偏弱，可作为辅助因子,Factor is stable but weak — consider as auxiliary signal
range_1h,4h,25,-0.041441,-0.076811,-0.040747,0.00136716,-0.042879,-0.066225,-0.042879,0.00081476,0.0,0.72,-0.042879,-0.052229,0.00935,0.00081476,0.00038151,0.00043325,59.4,STABLE_WEAK,因子表现基本稳定但信号偏弱，可作为辅助因子,Factor is stable but weak — consider as auxiliary signal
range_1h,72h,25,-0.0701,-0.141508,-0.048385,0.0191515,-0.076665,-0.114459,-0.074801,0.01058228,0.04,0.64,-0.076665,-0.089751,0.013086,0.01058228,0.00550268,0.00507959,54.0,STABLE_WEAK,因子表现基本稳定但信号偏弱，可作为辅助因子,Factor is stable but weak — consider as auxiliary signal
range_24h,1h,25,-0.026734,-0.04589,-0.024098,0.00038039,-0.02575,-0.040656,-0.02575,0.00020331,0.0,0.64,-0.02575,-0.032644,0.006895,0.00020331,9.027e-05,0.00011304,62.8,STABLE_WEAK,因子表现基本稳定但信号偏弱，可作为辅助因子,Factor is stable but weak — consider as auxiliary signal
range_24h,24h,25,-0.060099,-0.110408,-0.047469,0.00790578,-0.067724,-0.094122,-0.062053,0.0044577,0.0,0.68,-0.067724,-0.077581,0.009857,0.0044577,0.00223056,0.00222713,53.6,STABLE_WEAK,因子表现基本稳定但信号偏弱，可作为辅助因子,Factor is stable but weak — consider as auxiliary signal
range_24h,4h,25,-0.041243,-0.064694,-0.039554,0.00130907,-0.043382,-0.058087,-0.040306,0.00072394,0.0,0.64,-0.043382,-0.048076,0.004694,0.00072394,0.00034393,0.00038001,57.8,STABLE_WEAK,因子表现基本稳定但信号偏弱，可作为辅助因子,Factor is stable but weak — consider as auxiliary signal
range_24h,72h,25,-0.071683,-0.142087,-0.047132,0.02297974,-0.081841,-0.111721,-0.075421,0.01270666,0.08,0.64,-0.081841,-0.09281,0.010968,0.01270666,0.00583442,0.00687224,55.2,STABLE_WEAK,因子表现基本稳定但信号偏弱，可作为辅助因子,Factor is stable but weak — consider as auxiliary signal
range_4h,1h,25,-0.029518,-0.054291,-0.022266,0.0003118,-0.027273,-0.04683,-0.027273,0.0001863,0.0,0.64,-0.027273,-0.036181,0.008908,0.0001863,9.991e-05,8.639e-05,57.8,STABLE_WEAK,因子表现基本稳定但信号偏弱，可作为辅助因子,Factor is stable but weak — consider as auxiliary signal
range_4h,24h,25,-0.058511,-0.114319,-0.058511,0.00788912,-0.064208,-0.103057,-0.064208,0.00440292,0.0,0.64,-0.064208,-0.079802,0.015594,0.00440292,0.00208343,0.0023195,52.8,STABLE_WEAK,因子表现基本稳定但信号偏弱，可作为辅助因子,Factor is stable but weak — consider as auxiliary signal
range_4h,4h,25,-0.046198,-0.074223,-0.04145,0.00116714,-0.04499,-0.0642,-0.04499,0.00069896,0.0,0.64,-0.04499,-0.051998,0.007008,0.00069896,0.0003486,0.00035036,57.8,STABLE_WEAK,因子表现基本稳定但信号偏弱，可作为辅助因子,Factor is stable but weak — consider as auxiliary signal
range_4h,72h,25,-0.072526,-0.145246,-0.047577,0.02033268,-0.078345,-0.115066,-0.075447,0.01174092,0.04,0.64,-0.078345,-0.091304,0.012959,0.01174092,0.00580785,0.00593307,54.0,STABLE_WEAK,因子表现基本稳定但信号偏弱，可作为辅助因子,Factor is stable but weak — consider as auxiliary signal
