factor_id,regime_dependency_class,main_regime_note_zh,main_regime_note_en,paper_return_btc_corr,paper_return_btc_beta,long_short_btc_corr,long_short_btc_beta,ic_btc_return_corr,bull_minus_bear_paper_return,highvol_minus_lowvol_paper_return,drawdown_minus_normal_paper_return
funding_rate_level_20h,BULL_DEPENDENT,牛市依赖,Bull-dependent,-0.017561414648851338,-0.025622572673302292,0.02433042806122468,0.002178905180125119,-0.07885739846859634,0.053845945111774526,-0.03903741354611244,0.13383642219023645
funding_rate_zscore_80h,REGIME_ROBUST,跨市场稳健,Regime-robust,0.17352115350124464,0.14154599228197196,-0.25338921827205085,-0.011493001563845176,0.1723977321904396,-0.01842812458535996,0.007469233321776986,-0.005865003246012718
intraday_ret,BEAR_DEPENDENT,熊市依赖,Bear-dependent,-0.14865738812309706,-0.14582028560903842,-0.007326958845421411,-0.0001137505624538318,-0.01576854048174276,-0.05792775556623919,0.043434057794876024,0.10161633274170001
klow_close,REGIME_ROBUST,跨市场稳健,Regime-robust,0.12220432791251802,0.08919443804650111,0.06797104348501128,0.003438616150724251,0.12666405238093875,0.02638570283947167,0.008149098928552756,0.04749339163882749
ksft_5h,REGIME_ROBUST,跨市场稳健,Regime-robust,-0.04052479928211212,-0.0265133394839904,0.17373153706250716,0.0022048807834744275,0.06435394395794812,-0.00770450585175364,-0.042028212288768074,0.025439842827059966
ma_gap_10_40,VOL_DEPENDENT,波动率依赖,Volatility-dependent,-0.16394127775456385,-0.17942580186744,0.04708313363096142,0.002614846483002971,-0.17654752290983824,-0.0350530571470203,-0.0745069689364641,0.002081983400720692
ma_gap_20_80,REGIME_ROBUST,跨市场稳健,Regime-robust,-0.0066886862239934845,-0.008144745642838404,0.1283649833358861,0.008945793192936362,-0.06825702165151491,-0.021110899726017932,-0.027412845490181616,0.02262786321450637
ma_gap_5_20,VOL_DEPENDENT,波动率依赖,Volatility-dependent,-0.09036712532611806,-0.10077945750378303,0.0650924692152028,0.002784307203656677,-0.12224927299159659,-0.0004856759973128552,-0.1164156292802149,0.02388018559203724
mom_10h,VOL_DEPENDENT,波动率依赖,Volatility-dependent,-0.11917644858230755,-0.13348322935658172,0.027985292815535752,0.0010534050980298727,-0.0955754480060075,0.002237905945831453,-0.09964157433883783,0.01152674295779621
mom_120h,REGIME_ROBUST,跨市场稳健,Regime-robust,0.07356533038141892,0.06632811927487915,0.11883249877499373,0.007820863251460385,-0.05876521860630608,-0.018037349725775524,-0.01843948954879269,0.05022502312948427
mom_20h,VOL_DEPENDENT,波动率依赖,Volatility-dependent,0.05817342107373017,0.07279374270977328,0.0406398936761348,0.0019928684790258685,-0.1428272833640283,0.025868940050019898,-0.10881212613525573,0.036842770552090995
mom_40h,BEAR_DEPENDENT,熊市依赖,Bear-dependent,-0.194764902798829,-0.2428851403788371,0.10338560050067869,0.006239694639036917,-0.12004266662785548,-0.055888063911781055,-0.0026984434458270368,0.010938568972047098
mom_5h,BEAR_DEPENDENT,熊市依赖,Bear-dependent,-0.21743676860614314,-0.25580286425176935,-0.0004545478400603323,-1.3269203090876959e-05,-0.05672260239173143,-0.07118557738426501,0.03698260041446122,0.06851873434076089
mom_72h,VOL_DEPENDENT,波动率依赖,Volatility-dependent,-0.0641942853363411,-0.07170713309431816,0.10906505811315918,0.007378498181214073,-0.08913997382597481,-0.029378593287736926,-0.05852422588440881,0.06957509286950268
mom_accel_20h,REGIME_ROBUST,跨市场稳健,Regime-robust,0.08522456308261649,0.09416474927344326,-0.030143410143349588,-0.0005117331022443243,0.08860696047449852,0.022449131585423387,-0.01564325354344806,0.08234790952952256
