,a101_vol_xs_z_product_112h,a101_volume_cap_alpha_min_56_84,a101_volume_cap_alpha_min_80_80,a101_volume_high_alpha_min_84_84,a101_volume_low_alpha_min_84_120,a101_volume_xs_z_mean_neg_112h,amihud_illiquidity_20h,bb_zscore_20h,breakout_dist_20h,breakout_dist_48h,candle_body,candle_wick_lower,candle_wick_upper,clv_20h,downside_vol_20h,ema_12_26_gap,funding_rate_change_24h,funding_rate_level_20h,funding_rate_zscore_80h,intraday_ret,klow_close,ksft_5h,ma_gap_10_40,ma_gap_20_80,ma_gap_5_20,mom_10h,mom_120h,mom_20h,mom_40h,mom_5h,mom_72h,mom_accel_20h,mom_vol_adjusted_20h,price_pos_120h,price_pos_24h,price_pos_72h,price_volume_corr_20h,q158_beta_20h,q158_close_close_4h,q158_cntd_20h,q158_cntn_20h,q158_cntp_20h,q158_cord_20h,q158_corr_20h,q158_high_close_0h,q158_high_close_1h,q158_high_close_2h,q158_high_close_3h,q158_high_close_4h,q158_high_low_range,q158_imax_20h,q158_imin_20h,q158_imxd_20h,q158_klen_open,q158_klow_open,q158_klow_range,q158_kmid_open,q158_kmid_range,q158_ksft_open,q158_ksft_range,q158_kup_open,q158_kup_range,q158_low_close_0h,q158_low_close_1h,q158_low_close_2h,q158_low_close_3h,q158_low_close_4h,q158_ma_10h,q158_ma_20h,q158_ma_30h,q158_ma_5h,q158_ma_60h,q158_max_10h,q158_max_20h,q158_max_30h,q158_max_5h,q158_max_60h,q158_min_10h,q158_min_20h,q158_min_30h,q158_min_5h,q158_min_60h,q158_open_close_0h,q158_open_close_1h,q158_open_close_2h,q158_open_close_3h,q158_open_close_4h,q158_qtld_20h,q158_qtld_30h,q158_qtlu_20h,q158_qtlu_30h,q158_rank_close_20h,q158_rank_close_30h,q158_resi_20h,q158_roc_20h,q158_rsqr_20h,q158_rsv_20h,q158_rsv_30h,q158_std_10h,q158_std_20h,q158_std_30h,q158_std_5h,q158_std_60h,q158_sumd_20h,q158_sumn_20h,q158_sump_20h,q158_vma_20h,q158_volume_ratio_1h,q158_volume_ratio_2h,q158_volume_ratio_3h,q158_volume_ratio_4h,q158_vstd_20h,q158_vsumd_20h,q158_vsumn_20h,q158_vsump_20h,q158_wvma_20h,qvol_ma_ratio_20_80,qvol_ma_ratio_5_20,qvol_zscore_20h,qvol_zscore_48h,range_1h,range_24h,range_4h,range_breakout_vol_confirm_20h,realized_kurt_20h,realized_skew_20h,rev_10h,rev_1h,rev_24h,rev_2h,rev_3h,rev_72h,reversal_5h,rsi_14h,rsi_28h,rsi_7h,taker_buy_delta_5h,taker_buy_ratio_20h,taker_buy_zscore_20h,tech_atr,tech_macd,trend_efficiency_24h,up_down_vol_ratio_20h,vol_40h,vol_5h,vol_of_vol_20h,vol_ratio_20_80,vol_ratio_5_20,vol_ret_corr_20h,vol_zscore_20h,vol_zscore_48h,volatility_20h,volume_pressure_20h,vwap_dev_20h,williams_r_14h,wq101_alpha101,wq101_alpha12,wq101_alpha53,wvma_20h,xs_rank_mom_accel,xs_rank_ret_1h,xs_rank_vol
a101_vol_xs_z_product_112h,1.0,,,,,0.845181,,,,,,,,,,,,,,,,,-0.110449,,,,,,-0.098175,,,0.012413,,,-0.009592,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.13483,,,,,0.191631,,,,,-0.141245,,,,,,,,,0.070489,,0.142926,,-0.054566,,,,,-0.018629,,,0.168039,,,,,,,,,,,,,,,,,,,,,0.224318,,,,,,,0.141482,,,,,,-0.079148,,,,,,,0.046913,,0.191064,,0.158684,,,,,,,,,,,,,,0.019479,,
mom_40h,-0.098175,,,,,-0.093533,,,,,,,,,,,0.05381,,,,,,0.840581,,,,,,1.0,,,-0.015421,,,0.509253,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.69492,,,,,-0.50134,,,,,-0.464874,,,,,,,,,-0.638981,,-0.646752,,0.604332,,,,,0.606529,,,-0.071793,,,,,,,,,,,,,,,,,,,,,-0.059316,,,,,,,-0.727512,,,,,,0.859369,,,,,,,-0.061022,,0.033647,,0.035557,,,,,,,,,,,,,,-0.011722,,
mom_5h,,,-0.066056,-0.002661,,,0.002725,0.755616,0.682709,,0.358098,-0.080204,0.091224,0.303495,-0.184995,0.308276,,0.022378,0.06609,0.37734,-0.081843,0.157234,,0.03774,0.47973,0.6631,,0.459228,,1.0,0.207009,,0.466368,,,0.436879,0.245313,0.324123,-0.850284,0.368745,-0.353303,0.35401,0.252251,0.219051,-0.197276,-0.445361,-0.616799,-0.763416,-0.911947,-0.00558,-0.283856,0.325258,-0.348301,-0.000734,-0.077895,-0.080081,0.37734,0.35801,0.278114,0.25546,0.094373,0.091057,-0.204331,-0.4406,-0.610601,-0.756324,-0.906242,-0.893128,-0.705357,,-0.764469,,-0.635247,-0.548832,,-0.608299,,-0.614474,-0.541763,,-0.582334,,-0.377339,-0.557638,-0.706921,-0.850361,-0.998907,-0.719714,,-0.708963,,0.756494,,0.714212,-0.459228,-0.018136,0.682694,,-0.041518,-0.037695,,-0.034734,,0.46728,-0.467277,0.467282,-0.024939,-0.012881,-0.015892,-0.025252,-0.026276,-0.023553,0.029753,-0.029753,0.029753,-0.006941,0.013408,0.015533,0.049214,,-0.00558,,-0.030611,0.451205,0.00261,0.173219,-0.6631,-0.377967,,-0.558176,-0.707141,-0.207009,-1.0,0.655474,,0.80118,0.12928,0.160433,0.136041,-0.008561,0.539317,,0.369143,,0.008832,,-0.005834,0.018156,0.249336,0.024596,,-0.003966,0.298201,0.722332,-0.746316,0.322944,-0.189249,-0.155739,-0.013989,,0.231253,0.006673
mom_72h,,,-0.093968,-0.1329,,,-0.04527,0.327867,0.286008,,0.083537,-0.012834,0.022991,0.238354,-0.158246,0.640949,,0.15658,0.066738,0.089217,0.016617,0.032615,,0.87332,0.384873,0.30545,,0.444569,,0.207009,1.0,,0.424372,,,0.721886,0.382854,0.409074,-0.179892,0.320482,-0.309943,0.312004,0.383014,0.427726,-0.018025,-0.080548,-0.119682,-0.149668,-0.177401,0.038216,-0.305099,0.286604,-0.337232,0.039249,0.017637,-0.012886,0.089217,0.083508,0.058803,0.060668,0.048894,0.022715,-0.075966,-0.111435,-0.141582,-0.16625,-0.19265,-0.251031,-0.377632,,-0.162974,,-0.127219,-0.234529,,-0.067313,,-0.148539,-0.216971,,-0.10623,,-0.089217,-0.124762,-0.154074,-0.179886,-0.207047,-0.349293,,-0.346228,,0.315318,,-0.009968,-0.444569,-0.037683,0.285941,,0.017977,-0.012256,,0.028077,,0.429232,-0.429227,0.42923,-0.047403,-0.004518,-0.007018,-0.010613,-0.011354,-0.05739,0.043681,-0.043681,0.043681,-0.026049,0.145714,0.056219,0.045072,,0.038216,,0.03069,0.240565,0.011289,0.221236,-0.30545,-0.088839,,-0.124488,-0.154106,-1.0,-0.207009,0.522903,,0.347439,0.002538,0.107557,0.002867,0.021182,0.000179,,0.37619,,0.027246,,0.046368,0.015658,0.373505,0.030282,,0.013609,0.311105,0.316161,-0.222626,0.079577,-0.053925,-0.005063,-0.005372,,0.045979,0.021702
mom_accel_20h,0.012413,,,,,0.008277,,,,,,,,,,,-0.004451,,,,,,-0.125532,,,,,,-0.015421,,,1.0,,,0.414383,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.280416,,,,,-0.241432,,,,,-0.229298,,,,,,,,,-0.313604,,-0.305139,,0.382274,,,,,0.298242,,,-0.035357,,,,,,,,,,,,,,,,,,,,,-0.044651,,,,,,,-0.027741,,,,,,0.165846,,,,,,,-0.021084,,-0.015944,,-0.021169,,,,,,,,,,,,,,0.629038,,
mom_vol_adjusted_20h,,,-0.018411,-0.001628,,,-0.009813,0.785143,0.807751,,0.187714,-0.045613,0.049339,0.579898,-0.311397,0.830253,,0.089913,0.196315,0.194357,-0.011845,0.108046,,0.36393,0.829324,0.668746,,0.966866,,0.466368,0.424372,,1.0,,,0.713522,0.620834,0.874102,-0.410516,0.723683,-0.693709,0.695457,0.635064,0.42086,-0.070164,-0.200758,-0.287341,-0.355528,-0.416322,0.049997,-0.729024,0.726889,-0.83429,0.052469,-0.009779,-0.045538,0.194357,0.18764,0.137276,0.132611,0.082111,0.04917,-0.136136,-0.233603,-0.308919,-0.373399,-0.43154,-0.565351,-0.82435,,-0.373167,,-0.383687,-0.635662,,-0.229334,,-0.414996,-0.636979,,-0.276579,,-0.194357,-0.280372,-0.350209,-0.410286,-0.466089,-0.7728,,-0.777126,,0.760278,,-0.002318,-0.966866,-0.096441,0.807627,,0.011438,-0.049224,,0.034195,,0.997999,-0.997999,0.997998,-0.069015,-0.007828,-0.011693,-0.020328,-0.026974,-0.058187,0.072253,-0.072253,0.072253,-0.005307,0.104416,0.096814,0.093716,,0.049997,,0.036066,0.209895,0.033045,0.398167,-0.668746,-0.194351,,-0.28036,-0.350334,-0.424372,-0.466368,0.885431,,0.769252,0.001415,0.27857,0.004397,0.00503,0.472061,,0.80173,,0.054707,,0.073692,0.010234,0.613422,0.062747,,0.057164,0.666245,0.780592,-0.637224,0.164941,-0.109477,-0.008177,0.028826,,0.105648,0.026766
price_pos_120h,,0.035624,,,-0.096116,,,,,0.737958,,,,,,,,,,,,,,,,,0.715351,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.807976,,,,,-0.64382,,,,,-0.643269,,,,,,,,,,,,,,,,,,,,,-0.103716,,,,,,,,,,,,,,,,,0.058301,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.016758,,,,,,,,,,,
price_pos_24h,-0.009592,,,,,-0.026876,,,,,,,,,,,0.097127,,,,,,0.569487,,,,,,0.509253,,,0.414383,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.886774,,,,,-0.74392,,,,,-0.734841,,,,,,,,,-0.859482,,-0.857862,,0.919503,,,,,0.956968,,,-0.093809,,,,,,,,,,,,,,,,,,,,,-0.08635,,,,,,,-0.758827,,,,,,0.746134,,,,,,,-0.077255,,0.005179,,0.034683,,,,,,,,,,,,,,0.231875,,
price_pos_72h,,,0.091747,0.044101,,,-0.038694,0.643477,0.650751,,0.207168,-0.035475,0.045355,0.415306,-0.257951,0.830708,,0.1945,0.161353,0.213666,-0.022907,0.086195,,0.719931,0.645374,0.572278,,0.703917,,0.436879,0.721886,,0.713522,,,1.0,0.487733,0.647505,-0.395269,0.520264,-0.498967,0.502473,0.492809,0.414267,-0.103579,-0.22748,-0.299799,-0.354027,-0.398847,0.021502,-0.514457,0.515742,-0.590217,0.024235,-0.020624,-0.035424,0.213666,0.207099,0.161659,0.154929,0.064362,0.045151,-0.136457,-0.246612,-0.314122,-0.365389,-0.41047,-0.520045,-0.675395,,-0.374397,,-0.368704,-0.524404,,-0.249601,,-0.381135,-0.507686,,-0.275722,,-0.213666,-0.293153,-0.34888,-0.394804,-0.436447,-0.634767,,-0.644204,,0.629377,,0.111653,-0.703917,-0.063183,0.650688,,-0.007501,-0.052162,,0.010748,,0.715297,-0.715292,0.715299,-0.052612,-0.003526,-0.005048,-0.010864,-0.014232,-0.054657,0.052282,-0.052282,0.052282,-0.005247,0.149809,0.080237,0.067658,,0.021502,,0.01385,0.265458,0.03539,0.326807,-0.572278,-0.214078,,-0.293323,-0.349257,-0.721886,-0.436879,0.823412,,0.663064,0.021585,0.201937,0.042925,0.006417,0.233046,,0.58091,,0.035832,,0.045678,0.024629,0.48297,0.04294,,0.020278,0.473273,0.640089,-0.559192,0.18404,-0.098916,-0.042611,0.002625,,0.117094,0.027818
price_volume_corr_20h,,,-0.082256,-0.038499,,,-0.029557,0.450496,0.399818,,0.043702,-0.028422,0.031368,0.25534,-0.264602,0.608314,,-0.085245,0.086249,0.056528,0.006422,0.148327,,0.370166,0.531128,0.401571,,0.620733,,0.245313,0.382854,,0.620834,,,0.487733,1.0,0.574219,-0.202169,0.323033,-0.310319,0.315259,0.992303,0.583477,0.022832,-0.053002,-0.111371,-0.16,-0.206193,0.055791,-0.475106,0.445808,-0.525973,0.056271,0.007283,-0.028668,0.056528,0.043615,0.027093,0.01853,0.068953,0.03098,-0.049494,-0.087526,-0.133384,-0.177885,-0.219984,-0.303103,-0.496615,,-0.160255,,-0.14497,-0.312673,,-0.048668,,-0.177526,-0.319499,,-0.095772,,-0.056528,-0.108022,-0.156341,-0.201973,-0.245095,-0.464892,,-0.459194,,0.423776,,-0.071996,-0.620733,-0.078344,0.399757,,0.028539,-0.013615,,0.037738,,0.630566,-0.63056,0.630566,-0.050748,-0.002466,-0.004129,-0.00684,-0.009725,-0.052279,0.065192,-0.065192,0.065192,-0.021728,0.074873,0.066132,0.058729,,0.055791,,0.046095,0.226272,0.033727,0.54033,-0.401571,-0.056819,,-0.107992,-0.156733,-0.382854,-0.245313,0.56851,,0.436959,-0.018735,0.173226,-0.025276,0.0629,0.22892,,0.564055,,0.041648,,0.021133,0.003519,0.942255,0.039348,,0.042446,0.47538,0.405997,-0.283835,0.038472,-0.127098,0.021575,0.016214,,0.019253,-0.013273
q158_beta_20h,,,-0.010627,0.019733,,,-0.006976,0.71257,0.734544,,0.049544,-0.031126,0.032127,0.508565,-0.306969,0.85062,,0.086484,0.187183,0.053927,-0.003086,0.087954,,0.335166,0.932555,0.664257,,0.895409,,0.324123,0.409074,,0.874102,,,0.647505,0.574219,1.0,-0.248301,0.633135,-0.608771,0.607489,0.58786,0.372794,0.007045,-0.05678,-0.125534,-0.195545,-0.268617,0.032376,-0.71049,0.715118,-0.836746,0.032969,-0.002438,-0.031111,0.053927,0.049501,0.021192,0.021259,0.05326,0.031985,-0.039722,-0.076779,-0.134977,-0.201204,-0.272576,-0.440202,-0.815871,,-0.18873,,-0.301446,-0.609712,,-0.101116,,-0.294479,-0.56843,,-0.11885,,-0.053927,-0.113138,-0.178676,-0.248041,-0.323896,-0.740848,,-0.761892,,0.685375,,-0.183539,-0.895409,-0.097015,0.734407,,-0.013059,-0.081157,,0.01898,,0.875551,-0.87555,0.875551,-0.083027,-0.011417,-0.018274,-0.024686,-0.029906,-0.06603,0.073993,-0.073993,0.073993,-0.007318,0.091128,0.115083,0.105056,,0.032376,,0.016629,-0.028165,0.024805,0.35677,-0.664257,-0.053687,,-0.113064,-0.178796,-0.409074,-0.324123,0.797783,,0.656109,-0.051932,0.23619,-0.063024,-0.00438,0.493046,,0.697648,,0.030149,,0.049022,0.024701,0.562018,0.072829,,0.014083,0.589529,0.767289,-0.559092,0.043195,-0.067695,0.094664,-0.004549,,0.024332,0.023714
q158_close_close_4h,,,0.061034,0.007153,,,-0.003355,-0.700835,-0.635533,,-0.401778,0.06985,-0.089011,-0.276337,0.162265,-0.240005,,-0.014143,-0.046097,-0.424112,0.077553,-0.124975,,-0.020871,-0.348902,-0.580424,,-0.401017,,-0.850284,-0.179892,,-0.410516,,,-0.395269,-0.202169,-0.248301,1.0,-0.331717,0.317961,-0.318426,-0.207947,-0.180791,0.235464,0.506958,0.708784,0.893653,0.914187,0.012162,0.234977,-0.269384,0.282949,0.006676,0.073086,0.069713,-0.424112,-0.401666,-0.325064,-0.298356,-0.090383,-0.088848,0.234457,0.501752,0.701137,0.888474,0.915953,0.839368,0.635509,,0.885015,,0.60601,0.509944,,0.647399,,0.59225,0.507002,,0.629183,,0.424112,0.632515,0.81668,0.998551,0.850333,0.662359,,0.648288,,-0.709676,,-0.727738,0.401017,0.011722,-0.635523,,0.036051,0.031303,,0.038049,,-0.411075,0.411073,-0.411074,0.010142,0.007313,0.01161,0.012986,0.0055,0.012542,-0.019495,0.019495,-0.019495,0.004617,-0.010483,-0.015009,-0.032966,,0.012162,,0.030396,-0.48876,-0.001787,-0.144078,0.580424,0.424617,,0.632737,0.816704,0.179892,0.850284,-0.597126,,-0.756114,-0.144344,-0.150069,-0.169048,0.008253,-0.458221,,-0.323501,,-0.012023,,0.004445,-0.020976,-0.208207,-0.011602,,0.002767,-0.258867,-0.657494,0.702431,-0.364098,0.202209,0.187746,0.01148,,-0.26641,-0.005232
q158_cntd_20h,,,0.031818,-0.001812,,,-0.031503,0.584445,0.608353,,0.185672,-0.032376,0.035901,0.569332,-0.13374,0.592467,,0.077656,0.136859,0.191471,-0.008084,-0.064864,,0.258942,0.605277,0.500672,,0.688267,,0.368745,0.320482,,0.723683,,,0.520264,0.323033,0.633135,-0.331717,1.0,-0.961514,0.958496,0.331402,0.253341,-0.083137,-0.188037,-0.247409,-0.293273,-0.33305,0.032988,-0.541416,0.536131,-0.627608,0.035371,-0.006397,-0.03224,0.191471,0.185618,0.134026,0.139173,0.0572,0.035867,-0.12946,-0.21082,-0.2624,-0.30662,-0.345587,-0.438957,-0.606853,,-0.311609,,-0.306099,-0.472638,,-0.201772,,-0.344414,-0.490114,,-0.244109,,-0.191471,-0.24406,-0.291937,-0.331554,-0.368453,-0.577164,,-0.577809,,0.585491,,0.025044,-0.688267,-0.055148,0.608226,,0.006816,-0.030756,,0.02157,,0.71492,-0.714924,0.714917,-0.053443,-0.005982,-0.007054,-0.012764,-0.021705,-0.027721,0.061924,-0.061924,0.061924,0.025122,0.089503,0.085799,0.083099,,0.032988,,0.026182,0.10472,0.009081,-0.042147,-0.500672,-0.191805,,-0.24416,-0.292099,-0.320482,-0.368745,0.645844,,0.585829,0.005293,0.210179,0.006084,-0.020079,0.361434,,0.813309,,0.040572,,0.056808,0.020147,0.309469,0.059978,,0.031765,0.669518,0.587994,-0.500783,0.190342,-0.057308,-0.016657,0.030679,,0.107268,0.050676
q158_cntn_20h,,,-0.019383,0.010823,,,-0.03993,-0.557079,-0.581883,,-0.178394,0.034711,-0.035042,-0.544876,0.143193,-0.571481,,-0.077568,-0.14146,-0.183127,0.011979,0.062121,,-0.254471,-0.581481,-0.479647,,-0.661162,,-0.353303,-0.309943,,-0.693709,,,-0.498967,-0.310319,-0.608771,0.317961,-0.961514,1.0,-0.856407,-0.319669,-0.235907,0.080854,0.180654,0.23755,0.281177,0.319463,-0.030056,0.526791,-0.501147,0.598995,-0.032323,0.010327,0.03343,-0.183127,-0.17824,-0.126997,-0.131651,-0.054459,-0.036209,0.120177,0.200835,0.250606,0.292633,0.329723,0.420545,0.58275,,0.298332,,0.303901,0.466396,,0.201627,,0.316794,0.454958,,0.223501,,0.183127,0.233888,0.279887,0.317599,0.35287,0.547111,,0.560983,,-0.559199,,-0.02113,0.661162,0.056514,-0.58067,,0.011972,0.052442,,-0.005712,,-0.684529,0.684556,-0.684488,0.050064,0.006514,0.007605,0.012295,0.021205,0.018088,-0.060928,0.060928,-0.060928,-0.035124,-0.075456,-0.085499,-0.083079,,-0.030056,,-0.010609,-0.085043,-0.003339,0.044873,0.479647,0.183473,,0.234161,0.280026,0.309943,0.353303,-0.618679,,-0.559789,-0.005685,-0.216198,-0.005814,0.114416,-0.351802,,-0.735853,,-0.025973,,-0.043393,-0.024562,-0.29846,-0.060749,,-0.009654,-0.63497,-0.566298,0.478672,-0.187296,0.05807,0.015814,-0.010173,,-0.103112,-0.12645
q158_cntp_20h,,,0.045639,0.009127,,,-0.102594,0.561848,0.584434,,0.17804,-0.031315,0.036905,0.548247,-0.111798,0.568264,,0.07646,0.132782,0.184215,-0.005963,-0.065926,,0.249146,0.580881,0.481408,,0.660394,,0.35401,0.312004,,0.695457,,,0.502473,0.315259,0.607489,-0.318426,0.958496,-0.856407,1.0,0.321056,0.254063,-0.075082,-0.17901,-0.236381,-0.28022,-0.318305,0.035663,-0.512098,0.527602,-0.605464,0.037956,-0.00436,-0.032426,0.184215,0.177985,0.128627,0.132966,0.060013,0.035649,-0.12762,-0.204318,-0.253282,-0.295745,-0.333379,-0.421269,-0.582195,,-0.299097,,-0.280263,-0.438074,,-0.182174,,-0.345236,-0.487047,,-0.245766,,-0.184215,-0.234474,-0.28005,-0.318206,-0.353666,-0.561032,,-0.546974,,0.563195,,0.024269,-0.660394,-0.047979,0.585295,,0.029239,-0.003351,,0.039578,,0.686921,-0.68689,0.68695,-0.054761,-0.004259,-0.005347,-0.011319,-0.02016,-0.03635,0.061492,-0.061492,0.061492,0.0136,0.098932,0.083804,0.079212,,0.035663,,0.042728,0.11331,0.014179,-0.034752,-0.481408,-0.184429,,-0.234435,-0.2804,-0.312004,-0.35401,0.620877,,0.563154,0.004864,0.187488,0.006343,0.080042,0.351564,,0.835027,,0.05542,,0.069574,0.016406,0.298794,0.05696,,0.054217,0.636434,0.561922,-0.48104,0.183591,-0.053092,-0.016842,0.051825,,0.102109,-0.032158
q158_cord_20h,,,-0.091859,-0.056621,,,-0.024576,0.461849,0.412035,,0.043947,-0.027992,0.032811,0.262603,-0.280985,0.617429,,-0.080797,0.091404,0.057362,0.001494,0.14971,,0.369599,0.544307,0.412123,,0.634886,,0.252251,0.383014,,0.635064,,,0.492809,0.992303,0.58786,-0.207947,0.331402,-0.319669,0.321056,1.0,0.587841,0.016946,-0.058482,-0.117865,-0.167432,-0.214523,0.045996,-0.485798,0.457667,-0.539547,0.046483,0.002361,-0.028198,0.057362,0.04386,0.027434,0.018274,0.06466,0.032451,-0.043443,-0.086073,-0.134227,-0.180663,-0.224117,-0.311671,-0.508914,,-0.164681,,-0.159048,-0.329941,,-0.059629,,-0.175179,-0.320499,,-0.091087,,-0.057362,-0.110769,-0.160673,-0.207689,-0.252002,-0.473419,,-0.47393,,0.435005,,-0.073105,-0.634886,-0.079235,0.411944,,0.015415,-0.027014,,0.026418,,0.644259,-0.644255,0.644258,-0.052612,-0.003568,-0.005255,-0.008171,-0.011343,-0.054343,0.064461,-0.064461,0.064461,-0.02518,0.068194,0.066997,0.060908,,0.045996,,0.033543,0.228155,0.031381,0.539063,-0.412123,-0.057652,,-0.110802,-0.161163,-0.383014,-0.252251,0.579029,,0.44776,-0.019699,0.179969,-0.026176,0.057617,0.240591,,0.573879,,0.029699,,0.01318,0.002282,0.959577,0.041086,,0.028306,0.48514,0.418187,-0.293724,0.039115,-0.138268,0.022825,0.002893,,0.019924,-0.013559
q158_corr_20h,,,-0.089029,-0.086845,,,-0.030294,0.33558,0.1772,,0.040767,-0.021034,0.038347,0.190326,-0.143895,0.484882,,-0.052432,0.0392,0.051435,0.021972,0.071527,,0.407559,0.365197,0.324064,,0.420479,,0.219051,0.427726,,0.42086,,,0.414267,0.583477,0.372794,-0.180791,0.253341,-0.235907,0.254063,0.587841,1.0,0.033845,-0.041623,-0.094872,-0.137906,-0.178614,0.067323,-0.298223,0.296078,-0.336415,0.067789,0.022675,-0.021496,0.051435,0.040714,0.021606,0.0151,0.07747,0.037732,-0.057885,-0.089956,-0.130303,-0.168991,-0.207046,-0.25574,-0.352972,,-0.143802,,-0.06885,-0.105062,,-0.02468,,-0.14642,-0.174481,,-0.099372,,-0.051435,-0.100015,-0.14098,-0.180693,-0.218927,-0.348657,,-0.319712,,0.29926,,0.05654,-0.420479,0.002353,0.177398,,0.05046,0.048604,,0.048561,,0.42654,-0.426532,0.426547,-0.025981,-0.000143,0.000461,-0.001296,-0.001558,-0.018308,0.051446,-0.051446,0.051446,0.00324,0.106317,0.031227,0.037188,,0.067323,,0.061615,0.555561,0.035171,0.32266,-0.324064,-0.051398,,-0.099964,-0.141282,-0.427726,-0.219051,0.437983,,0.320629,-0.023172,0.132103,-0.019397,0.102758,0.152116,,0.406664,,0.049959,,0.024181,-0.004347,0.583472,0.023337,,0.067178,0.338978,0.208906,-0.152884,0.038462,-0.083224,0.010578,0.047259,,0.015932,-0.04492
q158_high_close_0h,,,-0.072844,-0.022094,,,-0.045893,-0.200443,-0.223029,,-0.624554,-0.291496,0.265448,-0.181726,0.361949,0.000414,,-0.047698,-0.07885,-0.610168,0.095227,0.028749,,0.018296,0.002972,-0.131182,,-0.073828,,-0.197276,-0.018025,,-0.070164,,,-0.103579,0.022832,0.007045,0.235464,-0.083137,0.080854,-0.075082,0.016946,0.033845,1.0,0.608738,0.421144,0.3393,0.284794,0.58296,-0.061806,-0.036541,-0.019604,0.574042,0.08979,-0.291807,-0.610168,-0.624638,-0.744943,-0.765179,0.536864,0.265224,0.223246,0.343246,0.241656,0.186552,0.153767,0.254706,0.159946,,0.386405,,0.498598,0.38705,,0.629984,,0.022254,-0.033481,,0.082291,,0.610168,0.373761,0.286701,0.235688,0.197245,0.112424,,0.227348,,-0.224879,,-0.28244,0.073827,0.032758,-0.223062,,0.361695,0.334132,,0.392462,,-0.070891,0.070891,-0.070893,-0.298427,-0.189756,-0.205446,-0.20392,-0.209748,-0.232237,0.236798,-0.236798,0.236798,0.041446,0.122115,0.177146,0.294997,,0.58296,,0.468602,0.226641,0.02949,0.015313,0.131182,0.609132,,0.373184,0.286227,0.018025,0.197276,-0.151407,,-0.23308,-0.223204,0.013596,-0.327169,0.131104,-0.036633,,-0.042906,,0.373939,,0.122775,0.114318,0.010799,0.296576,,0.384479,-0.042781,-0.185346,0.271669,-0.537796,0.005881,0.442591,0.315482,,-0.364715,0.035818
q158_high_close_1h,,,-0.017667,-0.008224,,,-0.028429,-0.428405,-0.413934,,-0.739579,0.095979,-0.064051,-0.218833,0.276436,-0.059145,,-0.03182,-0.050661,-0.775257,0.230378,-0.012992,,0.011825,-0.077469,-0.307048,,-0.197225,,-0.445361,-0.080548,,-0.200758,,,-0.22748,-0.053002,-0.05678,0.506958,-0.188037,0.180654,-0.17901,-0.058482,-0.041623,0.608738,1.0,0.759056,0.604324,0.518746,0.226798,0.048518,-0.1059,0.076013,0.216485,0.222883,0.095701,-0.775257,-0.739433,-0.635819,-0.597515,0.041084,-0.064011,0.33675,0.656158,0.63004,0.506386,0.433816,0.52388,0.358906,,0.732319,,0.591848,0.462282,,0.721732,,0.286353,0.204082,,0.369347,,0.775257,0.797778,0.60737,0.507169,0.44527,0.347602,,0.407969,,-0.459706,,-0.544854,0.197225,0.019455,-0.413971,,0.230507,0.207287,,0.247524,,-0.201575,0.201573,-0.201576,-0.085603,0.112146,-0.025907,-0.039977,-0.041165,-0.04979,0.073579,-0.073579,0.073579,0.023246,0.077632,0.106167,0.070563,,0.226798,,0.282265,-0.405973,0.016905,-0.037736,0.307048,0.774661,,0.797131,0.606979,0.080548,0.445361,-0.343401,,-0.483153,-0.283055,-0.054681,-0.405449,0.079823,-0.16341,,-0.158452,,0.2264,,0.081743,0.075627,-0.068177,0.078618,,0.226725,-0.128165,-0.388594,0.480401,-0.676197,0.164185,0.369258,0.187499,,-0.50859,0.020352
