factor_id,profile_score,comp_standalone_quality,comp_paper,comp_cost,comp_regime,comp_shape,comp_stability,comp_capacity,comp_redundancy,comp_marginal_info,comp_evidence_completeness,weight_standalone_quality,weight_paper,weight_cost,weight_regime,weight_shape,weight_stability,weight_capacity,weight_redundancy,weight_marginal_info,weight_evidence_completeness
q158_high_close_1h,47.17,58.14,50.0,10.0,40.0,25.0,55.0,50.0,35.0,70.0,100.0,0.18,0.14,0.08,0.1,0.1,0.14,0.08,0.08,0.07,0.03
q158_high_close_2h,56.07,63.46,50.0,10.0,90.0,25.0,90.0,50.0,15.0,65.0,100.0,0.18,0.14,0.08,0.1,0.1,0.14,0.08,0.08,0.07,0.03
q158_high_close_3h,50.95,62.21,15.0,10.0,90.0,25.0,90.0,50.0,15.0,65.0,100.0,0.18,0.14,0.08,0.1,0.1,0.14,0.08,0.08,0.07,0.03
q158_high_low_range,47.52,70.97,50.0,10.0,40.0,25.0,55.0,50.0,15.0,65.0,100.0,0.18,0.14,0.08,0.1,0.1,0.14,0.08,0.08,0.07,0.03
q158_imax_20h,50.83,52.1,30.0,30.0,40.0,55.0,90.0,50.0,15.0,65.0,100.0,0.18,0.14,0.08,0.1,0.1,0.14,0.08,0.08,0.07,0.03
q158_imin_20h,42.85,58.35,15.0,10.0,50.0,40.0,55.0,50.0,15.0,65.0,100.0,0.18,0.14,0.08,0.1,0.1,0.14,0.08,0.08,0.07,0.03
q158_imxd_20h,51.93,52.69,30.0,30.0,50.0,55.0,90.0,50.0,15.0,65.0,100.0,0.18,0.14,0.08,0.1,0.1,0.14,0.08,0.08,0.07,0.03
q158_klen_open,46.99,67.98,50.0,10.0,40.0,25.0,55.0,50.0,15.0,65.0,100.0,0.18,0.14,0.08,0.1,0.1,0.14,0.08,0.08,0.07,0.03
q158_klow_open,49.8,62.48,30.0,30.0,90.0,25.0,55.0,50.0,15.0,65.0,100.0,0.18,0.14,0.08,0.1,0.1,0.14,0.08,0.08,0.07,0.03
q158_klow_range,36.56,37.28,30.0,30.0,50.0,55.0,15.0,50.0,15.0,35.0,100.0,0.18,0.14,0.08,0.1,0.1,0.14,0.08,0.08,0.07,0.03
q158_kmid_open,37.74,52.15,30.0,30.0,35.0,55.0,15.0,50.0,15.0,35.0,100.0,0.18,0.14,0.08,0.1,0.1,0.14,0.08,0.08,0.07,0.03
q158_kmid_range,41.78,52.38,30.0,30.0,35.0,95.0,15.0,50.0,15.0,35.0,100.0,0.18,0.14,0.08,0.1,0.1,0.14,0.08,0.08,0.07,0.03
q158_ksft_open,37.5,50.86,30.0,30.0,35.0,55.0,15.0,50.0,15.0,35.0,100.0,0.18,0.14,0.08,0.1,0.1,0.14,0.08,0.08,0.07,0.03
q158_ksft_range,41.7,51.92,30.0,30.0,35.0,95.0,15.0,50.0,15.0,35.0,100.0,0.18,0.14,0.08,0.1,0.1,0.14,0.08,0.08,0.07,0.03
q158_kup_open,40.0,60.27,50.0,10.0,40.0,25.0,15.0,50.0,15.0,65.0,100.0,0.18,0.14,0.08,0.1,0.1,0.14,0.08,0.08,0.07,0.03
q158_kup_range,53.27,42.89,50.0,10.0,50.0,95.0,90.0,50.0,15.0,35.0,100.0,0.18,0.14,0.08,0.1,0.1,0.14,0.08,0.08,0.07,0.03
q158_low_close_0h,61.45,65.85,50.0,10.0,90.0,55.0,90.0,50.0,35.0,70.0,100.0,0.18,0.14,0.08,0.1,0.1,0.14,0.08,0.08,0.07,0.03
q158_low_close_1h,59.51,71.72,50.0,10.0,90.0,25.0,90.0,50.0,35.0,70.0,100.0,0.18,0.14,0.08,0.1,0.1,0.14,0.08,0.08,0.07,0.03
q158_low_close_2h,46.68,60.71,15.0,10.0,50.0,25.0,90.0,50.0,15.0,65.0,100.0,0.18,0.14,0.08,0.1,0.1,0.14,0.08,0.08,0.07,0.03
q158_low_close_3h,52.11,63.64,50.0,10.0,50.0,25.0,90.0,50.0,15.0,65.0,100.0,0.18,0.14,0.08,0.1,0.1,0.14,0.08,0.08,0.07,0.03
q158_ma_20h,53.41,55.31,30.0,30.0,90.0,25.0,90.0,50.0,15.0,65.0,100.0,0.18,0.14,0.08,0.1,0.1,0.14,0.08,0.08,0.07,0.03
q158_max_20h,44.63,61.55,30.0,30.0,40.0,25.0,55.0,50.0,15.0,65.0,100.0,0.18,0.14,0.08,0.1,0.1,0.14,0.08,0.08,0.07,0.03
q158_min_20h,50.21,62.56,30.0,30.0,15.0,55.0,90.0,50.0,15.0,65.0,100.0,0.18,0.14,0.08,0.1,0.1,0.14,0.08,0.08,0.07,0.03
q158_open_close_0h,60.53,71.54,50.0,10.0,90.0,55.0,90.0,50.0,15.0,65.0,100.0,0.18,0.14,0.08,0.1,0.1,0.14,0.08,0.08,0.07,0.03
q158_open_close_1h,56.97,68.42,50.0,10.0,90.0,25.0,90.0,50.0,15.0,65.0,100.0,0.18,0.14,0.08,0.1,0.1,0.14,0.08,0.08,0.07,0.03
q158_open_close_2h,51.63,66.0,15.0,10.0,90.0,25.0,90.0,50.0,15.0,65.0,100.0,0.18,0.14,0.08,0.1,0.1,0.14,0.08,0.08,0.07,0.03
q158_open_close_3h,55.2,65.27,30.0,30.0,90.0,25.0,90.0,50.0,15.0,65.0,100.0,0.18,0.14,0.08,0.1,0.1,0.14,0.08,0.08,0.07,0.03
q158_qtld_20h,52.76,57.3,30.0,30.0,50.0,55.0,90.0,50.0,15.0,65.0,100.0,0.18,0.14,0.08,0.1,0.1,0.14,0.08,0.08,0.07,0.03
q158_qtlu_20h,52.92,52.61,30.0,30.0,90.0,25.0,90.0,50.0,15.0,65.0,100.0,0.18,0.14,0.08,0.1,0.1,0.14,0.08,0.08,0.07,0.03
q158_rank_close_20h,43.52,62.07,15.0,10.0,35.0,55.0,55.0,50.0,15.0,65.0,100.0,0.18,0.14,0.08,0.1,0.1,0.14,0.08,0.08,0.07,0.03
q158_resi_20h,48.25,56.92,30.0,30.0,35.0,55.0,55.0,50.0,35.0,70.0,100.0,0.18,0.14,0.08,0.1,0.1,0.14,0.08,0.08,0.07,0.03
q158_roc_20h,50.7,57.52,30.0,30.0,50.0,55.0,90.0,50.0,15.0,35.0,100.0,0.18,0.14,0.08,0.1,0.1,0.14,0.08,0.08,0.07,0.03
q158_rsqr_20h,51.7,51.12,50.0,10.0,50.0,25.0,55.0,50.0,95.0,70.0,100.0,0.18,0.14,0.08,0.1,0.1,0.14,0.08,0.08,0.07,0.03
q158_rsv_20h,45.55,57.8,50.0,10.0,35.0,55.0,55.0,50.0,15.0,35.0,100.0,0.18,0.14,0.08,0.1,0.1,0.14,0.08,0.08,0.07,0.03
q158_std_20h,42.3,62.21,50.0,10.0,40.0,25.0,15.0,50.0,35.0,70.0,100.0,0.18,0.14,0.08,0.1,0.1,0.14,0.08,0.08,0.07,0.03
q158_sumd_20h,50.23,63.75,50.0,10.0,50.0,55.0,55.0,50.0,15.0,65.0,100.0,0.18,0.14,0.08,0.1,0.1,0.14,0.08,0.08,0.07,0.03
q158_sumn_20h,53.86,63.39,30.0,30.0,50.0,55.0,90.0,50.0,15.0,65.0,100.0,0.18,0.14,0.08,0.1,0.1,0.14,0.08,0.08,0.07,0.03
q158_sump_20h,50.21,63.68,50.0,10.0,50.0,55.0,55.0,50.0,15.0,65.0,100.0,0.18,0.14,0.08,0.1,0.1,0.14,0.08,0.08,0.07,0.03
q158_vma_20h,45.73,46.55,30.0,30.0,50.0,25.0,90.0,50.0,15.0,35.0,100.0,0.18,0.14,0.08,0.1,0.1,0.14,0.08,0.08,0.07,0.03
q158_volume_ratio_1h,60.26,50.36,30.0,30.0,90.0,55.0,90.0,25.0,95.0,70.0,100.0,0.18,0.14,0.08,0.1,0.1,0.14,0.08,0.08,0.07,0.03
q158_volume_ratio_2h,55.27,48.15,30.0,30.0,90.0,25.0,90.0,50.0,50.0,70.0,100.0,0.18,0.14,0.08,0.1,0.1,0.14,0.08,0.08,0.07,0.03
q158_volume_ratio_3h,54.0,47.78,30.0,30.0,90.0,25.0,90.0,50.0,35.0,70.0,100.0,0.18,0.14,0.08,0.1,0.1,0.14,0.08,0.08,0.07,0.03
q158_volume_ratio_4h,53.92,47.36,30.0,30.0,90.0,25.0,90.0,50.0,35.0,70.0,100.0,0.18,0.14,0.08,0.1,0.1,0.14,0.08,0.08,0.07,0.03
q158_vstd_20h,52.04,47.72,30.0,30.0,90.0,25.0,90.0,50.0,15.0,65.0,100.0,0.18,0.14,0.08,0.1,0.1,0.14,0.08,0.08,0.07,0.03
q158_vsumd_20h,45.04,44.94,50.0,10.0,90.0,25.0,35.0,50.0,15.0,65.0,100.0,0.18,0.14,0.08,0.1,0.1,0.14,0.08,0.08,0.07,0.03
q158_vsumn_20h,43.14,42.74,30.0,30.0,50.0,55.0,55.0,50.0,15.0,35.0,100.0,0.18,0.14,0.08,0.1,0.1,0.14,0.08,0.08,0.07,0.03
q158_vsump_20h,47.83,44.89,50.0,10.0,90.0,25.0,55.0,50.0,15.0,65.0,100.0,0.18,0.14,0.08,0.1,0.1,0.14,0.08,0.08,0.07,0.03
q158_wvma_20h,51.85,48.03,30.0,30.0,90.0,40.0,55.0,50.0,50.0,70.0,100.0,0.18,0.14,0.08,0.1,0.1,0.14,0.08,0.08,0.07,0.03
qvol_ma_ratio_20_80,47.13,51.3,50.0,10.0,40.0,25.0,55.0,50.0,50.0,70.0,100.0,0.18,0.14,0.08,0.1,0.1,0.14,0.08,0.08,0.07,0.03
qvol_ma_ratio_5_20,48.8,54.98,50.0,10.0,50.0,25.0,55.0,50.0,50.0,70.0,100.0,0.18,0.14,0.08,0.1,0.1,0.14,0.08,0.08,0.07,0.03
qvol_zscore_20h,49.81,55.87,50.0,10.0,90.0,25.0,55.0,50.0,15.0,65.0,100.0,0.18,0.14,0.08,0.1,0.1,0.14,0.08,0.08,0.07,0.03
qvol_zscore_48h,53.48,59.61,50.0,10.0,90.0,55.0,55.0,50.0,15.0,65.0,100.0,0.18,0.14,0.08,0.1,0.1,0.14,0.08,0.08,0.07,0.03
range_1h,47.52,70.97,50.0,10.0,40.0,25.0,55.0,50.0,15.0,65.0,100.0,0.18,0.14,0.08,0.1,0.1,0.14,0.08,0.08,0.07,0.03
range_24h,50.1,70.01,50.0,10.0,40.0,25.0,55.0,50.0,45.0,70.0,100.0,0.18,0.14,0.08,0.1,0.1,0.14,0.08,0.08,0.07,0.03
range_4h,50.82,72.88,50.0,10.0,50.0,25.0,55.0,50.0,35.0,70.0,100.0,0.18,0.14,0.08,0.1,0.1,0.14,0.08,0.08,0.07,0.03
range_breakout_vol_confirm_20h,38.01,52.55,50.0,10.0,40.0,25.0,40.0,25.0,15.0,35.0,100.0,0.18,0.14,0.08,0.1,0.1,0.14,0.08,0.08,0.07,0.03
realized_kurt_20h,47.35,53.61,30.0,30.0,50.0,25.0,55.0,50.0,50.0,70.0,100.0,0.18,0.14,0.08,0.1,0.1,0.14,0.08,0.08,0.07,0.03
realized_skew_20h,57.44,60.76,50.0,10.0,90.0,25.0,55.0,50.0,95.0,70.0,100.0,0.18,0.14,0.08,0.1,0.1,0.14,0.08,0.08,0.07,0.03
rev_10h,50.8,63.07,30.0,30.0,50.0,25.0,90.0,50.0,15.0,65.0,100.0,0.18,0.14,0.08,0.1,0.1,0.14,0.08,0.08,0.07,0.03
rev_1h,61.79,78.54,50.0,10.0,90.0,55.0,90.0,50.0,15.0,65.0,100.0,0.18,0.14,0.08,0.1,0.1,0.14,0.08,0.08,0.07,0.03
rev_24h,54.32,65.92,30.0,30.0,50.0,55.0,90.0,50.0,15.0,65.0,100.0,0.18,0.14,0.08,0.1,0.1,0.14,0.08,0.08,0.07,0.03
rev_2h,45.77,56.8,50.0,10.0,90.0,25.0,40.0,50.0,15.0,35.0,100.0,0.18,0.14,0.08,0.1,0.1,0.14,0.08,0.08,0.07,0.03
rev_3h,52.9,73.08,15.0,10.0,90.0,25.0,90.0,50.0,15.0,65.0,100.0,0.18,0.14,0.08,0.1,0.1,0.14,0.08,0.08,0.07,0.03
rev_72h,47.53,64.33,30.0,30.0,15.0,25.0,90.0,50.0,15.0,65.0,100.0,0.18,0.14,0.08,0.1,0.1,0.14,0.08,0.08,0.07,0.03
reversal_5h,56.38,71.86,30.0,30.0,90.0,25.0,90.0,50.0,15.0,65.0,100.0,0.18,0.14,0.08,0.1,0.1,0.14,0.08,0.08,0.07,0.03
rsi_14h,48.91,65.33,50.0,10.0,90.0,55.0,15.0,50.0,15.0,65.0,100.0,0.18,0.14,0.08,0.1,0.1,0.14,0.08,0.08,0.07,0.03
rsi_28h,45.49,63.0,50.0,10.0,90.0,25.0,15.0,50.0,15.0,65.0,100.0,0.18,0.14,0.08,0.1,0.1,0.14,0.08,0.08,0.07,0.03
rsi_7h,46.01,65.87,50.0,10.0,90.0,25.0,15.0,50.0,15.0,65.0,100.0,0.18,0.14,0.08,0.1,0.1,0.14,0.08,0.08,0.07,0.03
taker_buy_delta_5h,47.62,44.01,30.0,30.0,90.0,25.0,55.0,25.0,50.0,70.0,100.0,0.18,0.14,0.08,0.1,0.1,0.14,0.08,0.08,0.07,0.03
taker_buy_ratio_20h,50.75,45.82,50.0,10.0,35.0,40.0,55.0,50.0,95.0,70.0,100.0,0.18,0.14,0.08,0.1,0.1,0.14,0.08,0.08,0.07,0.03
taker_buy_zscore_20h,50.02,48.99,30.0,30.0,90.0,40.0,55.0,25.0,50.0,70.0,100.0,0.18,0.14,0.08,0.1,0.1,0.14,0.08,0.08,0.07,0.03
tech_atr,42.91,64.5,15.0,10.0,35.0,25.0,55.0,50.0,35.0,70.0,100.0,0.18,0.14,0.08,0.1,0.1,0.14,0.08,0.08,0.07,0.03
tech_macd,47.49,59.37,15.0,10.0,90.0,25.0,55.0,50.0,35.0,70.0,100.0,0.18,0.14,0.08,0.1,0.1,0.14,0.08,0.08,0.07,0.03
trend_efficiency_24h,43.1,52.77,15.0,10.0,50.0,25.0,55.0,50.0,45.0,70.0,100.0,0.18,0.14,0.08,0.1,0.1,0.14,0.08,0.08,0.07,0.03
up_down_vol_ratio_20h,45.85,59.46,50.0,10.0,35.0,55.0,40.0,50.0,15.0,65.0,100.0,0.18,0.14,0.08,0.1,0.1,0.14,0.08,0.08,0.07,0.03
vol_40h,52.44,69.69,50.0,40.0,40.0,25.0,55.0,50.0,45.0,70.0,100.0,0.18,0.14,0.08,0.1,0.1,0.14,0.08,0.08,0.07,0.03
vol_5h,47.91,72.83,15.0,10.0,40.0,55.0,55.0,50.0,35.0,70.0,100.0,0.18,0.14,0.08,0.1,0.1,0.14,0.08,0.08,0.07,0.03
vol_of_vol_20h,46.23,70.17,15.0,10.0,50.0,25.0,55.0,50.0,45.0,70.0,100.0,0.18,0.14,0.08,0.1,0.1,0.14,0.08,0.08,0.07,0.03
vol_ratio_20_80,47.59,54.95,30.0,30.0,50.0,25.0,55.0,50.0,50.0,70.0,100.0,0.18,0.14,0.08,0.1,0.1,0.14,0.08,0.08,0.07,0.03
vol_ratio_5_20,44.21,45.07,30.0,30.0,90.0,25.0,15.0,50.0,50.0,70.0,100.0,0.18,0.14,0.08,0.1,0.1,0.14,0.08,0.08,0.07,0.03
