factor_id,horizon,month,long_short_return,long_leg_return,short_leg_return,n_long,n_short,positive_ls
wq101_alpha42,4h,2025-10,-0.00010762,-0.00012902,-2.14e-05,744,744,False
wq101_alpha42,4h,2025-11,-7.487e-05,-0.00085983,-0.00078495,720,720,False
wq101_alpha42,4h,2025-12,0.00038566,0.00027738,-0.00010828,744,744,True
wq101_alpha42,4h,2026-01,0.00031658,-0.00017819,-0.00049477,744,744,True
wq101_alpha42,4h,2026-02,-0.00073328,-0.00049563,0.00023765,672,672,False
wq101_alpha42,4h,2026-03,0.00037114,0.00023882,-0.00013232,744,744,True
wq101_alpha42,4h,2026-04,0.00045156,0.00145572,0.00100416,720,720,True
wq101_alpha42,4h,2026-05,9.6e-05,0.00037536,0.00027936,744,744,True
wq101_alpha42,4h,2026-06,-0.00068834,-0.00187917,-0.00119083,285,285,False
wq101_alpha42,72h,2024-06,-0.00705027,-0.02932652,-0.02227625,719,719,False
wq101_alpha42,72h,2024-07,0.00524626,-0.00092468,-0.00617094,744,744,True
wq101_alpha42,72h,2024-08,-0.00737586,-0.01286394,-0.00548809,744,744,False
wq101_alpha42,72h,2024-09,0.00653874,0.01866961,0.01213087,720,720,True
wq101_alpha42,72h,2024-10,0.00498723,0.00267616,-0.00231106,743,743,True
wq101_alpha42,72h,2024-11,0.00209829,0.05870846,0.05661017,720,720,True
wq101_alpha42,72h,2024-12,-0.00553648,-0.01216937,-0.00663289,744,744,False
wq101_alpha42,72h,2025-01,-0.01387019,-0.04290345,-0.02903326,744,744,False
wq101_alpha42,72h,2025-02,-0.00416628,-0.01519911,-0.01103284,672,672,False
wq101_alpha42,72h,2025-03,-0.00321127,-0.02507095,-0.02185968,744,744,False
wq101_alpha42,72h,2025-04,0.02186831,0.0348001,0.01293179,720,720,True
wq101_alpha42,72h,2025-05,0.00627993,0.01166264,0.00538272,744,744,True
wq101_alpha42,72h,2025-06,0.00442832,-0.00658963,-0.01101795,720,720,True
wq101_alpha42,72h,2025-07,0.00532543,0.01723374,0.01190832,744,744,True
wq101_alpha42,72h,2025-08,-0.00752307,0.0051034,0.01262647,744,744,False
wq101_alpha42,72h,2025-09,-0.01316102,0.01035356,0.02351457,720,720,False
wq101_alpha42,72h,2025-10,-0.00241049,-0.00896807,-0.00655758,744,744,False
wq101_alpha42,72h,2025-11,0.00323265,-0.01454535,-0.017778,720,720,True
wq101_alpha42,72h,2025-12,0.00601162,0.0069265,0.00091488,744,744,True
wq101_alpha42,72h,2026-01,0.00321529,-0.01060872,-0.01382401,744,744,True
wq101_alpha42,72h,2026-02,-0.00914552,-0.01167117,-0.00252566,672,672,False
wq101_alpha42,72h,2026-03,0.00995471,0.00611797,-0.00383674,744,744,True
wq101_alpha42,72h,2026-04,-0.00488966,0.02743623,0.03232589,720,720,False
wq101_alpha42,72h,2026-05,-0.00802384,-0.00280189,0.00522195,744,744,False
wq101_alpha42,72h,2026-06,-0.00799557,-0.0382901,-0.03029452,217,217,False
wq101_alpha43,1h,2024-06,0.00031291,-0.00021061,-0.00052352,681,681,True
wq101_alpha43,1h,2024-07,-5.111e-05,-0.00016097,-0.00010986,744,744,False
wq101_alpha43,1h,2024-08,0.00019598,-0.00014098,-0.00033696,744,744,True
wq101_alpha43,1h,2024-09,5.148e-05,0.00027353,0.00022205,720,720,True
wq101_alpha43,1h,2024-10,5.099e-05,3.771e-05,-1.328e-05,744,744,True
wq101_alpha43,1h,2024-11,-0.00022201,0.00071455,0.00093656,720,720,False
wq101_alpha43,1h,2024-12,0.00033849,8.024e-05,-0.00025825,744,744,True
wq101_alpha43,1h,2025-01,-6.834e-05,-0.00022245,-0.00015412,744,744,False
wq101_alpha43,1h,2025-02,9.744e-05,-0.00030632,-0.00040375,672,672,True
wq101_alpha43,1h,2025-03,3.5e-07,-0.00028289,-0.00028324,744,744,True
wq101_alpha43,1h,2025-04,0.00026381,0.00035309,8.929e-05,720,720,True
wq101_alpha43,1h,2025-05,5.346e-05,4.159e-05,-1.187e-05,744,744,True
wq101_alpha43,1h,2025-06,-4.521e-05,-0.0001782,-0.00013299,720,720,False
wq101_alpha43,1h,2025-07,-0.00011635,0.00017087,0.00028722,744,744,False
wq101_alpha43,1h,2025-08,1.305e-05,0.00020816,0.00019511,744,744,True
wq101_alpha43,1h,2025-09,-0.00013437,1.413e-05,0.00014849,720,720,False
wq101_alpha43,1h,2025-10,-5.29e-06,-0.00010754,-0.00010225,744,744,False
wq101_alpha43,1h,2025-11,-0.00017702,-0.00014569,3.133e-05,720,720,False
wq101_alpha43,1h,2025-12,-0.00042471,-0.00021621,0.00020849,744,744,False
wq101_alpha43,1h,2026-01,0.00020752,-1.292e-05,-0.00022043,744,744,True
wq101_alpha43,1h,2026-02,-9.213e-05,-9.654e-05,-4.41e-06,672,672,False
wq101_alpha43,1h,2026-03,4.618e-05,4.89e-06,-4.13e-05,744,744,True
wq101_alpha43,1h,2026-04,8.338e-05,0.00039305,0.00030967,720,720,True
wq101_alpha43,1h,2026-05,0.00014127,0.0001392,-2.07e-06,744,744,True
wq101_alpha43,1h,2026-06,-0.00014154,-0.0005008,-0.00035926,288,288,False
wq101_alpha43,24h,2024-06,0.00108847,-0.00843253,-0.009521,681,681,True
wq101_alpha43,24h,2024-07,0.00012132,-0.00169132,-0.00181264,744,744,True
wq101_alpha43,24h,2024-08,-0.0002678,-0.00446562,-0.00419782,744,744,False
wq101_alpha43,24h,2024-09,0.00063848,0.00728792,0.00664945,720,720,True
wq101_alpha43,24h,2024-10,0.00072721,-0.0007853,-0.00151251,744,744,True
wq101_alpha43,24h,2024-11,-0.00059324,0.01803493,0.01862817,720,720,False
wq101_alpha43,24h,2024-12,8.152e-05,-0.00229379,-0.00237531,744,744,True
wq101_alpha43,24h,2025-01,-0.00071918,-0.00724916,-0.00652997,744,744,False
wq101_alpha43,24h,2025-02,-0.00135099,-0.00864529,-0.0072943,672,672,False
wq101_alpha43,24h,2025-03,0.00093369,-0.00584282,-0.00677651,744,744,True
wq101_alpha43,24h,2025-04,2.711e-05,0.00537562,0.00534851,720,720,True
wq101_alpha43,24h,2025-05,-0.00081729,0.00056215,0.00137944,744,744,False
wq101_alpha43,24h,2025-06,0.00073748,-0.00318433,-0.00392181,720,720,True
wq101_alpha43,24h,2025-07,-0.00120257,0.00652735,0.00772992,744,744,False
wq101_alpha43,24h,2025-08,-0.00344276,0.00163536,0.00507812,744,744,False
wq101_alpha43,24h,2025-09,-0.00263807,0.00264292,0.00528099,720,720,False
wq101_alpha43,24h,2025-10,0.00321008,0.00121518,-0.0019949,744,744,True
wq101_alpha43,24h,2025-11,-0.00099195,-0.00735033,-0.00635837,720,720,False
wq101_alpha43,24h,2025-12,-0.00106501,0.00079746,0.00186247,744,744,False
wq101_alpha43,24h,2026-01,-0.00074574,-0.00377149,-0.00302575,744,744,False
wq101_alpha43,24h,2026-02,-8.736e-05,-0.00161005,-0.00152269,672,672,False
wq101_alpha43,24h,2026-03,0.00129303,0.0015374,0.00024437,744,744,True
wq101_alpha43,24h,2026-04,0.0014829,0.00896225,0.00747936,720,720,True
wq101_alpha43,24h,2026-05,-1.204e-05,0.00172839,0.00174043,744,744,False
wq101_alpha43,24h,2026-06,0.00156141,-0.00762608,-0.00918749,265,265,True
wq101_alpha43,4h,2024-06,0.0010973,-0.00090015,-0.00199745,681,681,True
wq101_alpha43,4h,2024-07,0.00012995,-0.00027809,-0.00040804,744,744,True
wq101_alpha43,4h,2024-08,0.00037185,-0.00062591,-0.00099776,744,744,True
wq101_alpha43,4h,2024-09,-0.0001906,0.00119066,0.00138126,720,720,False
wq101_alpha43,4h,2024-10,-2.079e-05,-0.00027394,-0.00025315,744,744,False
wq101_alpha43,4h,2024-11,-0.00073061,0.00270745,0.00343806,720,720,False
wq101_alpha43,4h,2024-12,0.00031189,-0.0002071,-0.00051899,744,744,True
wq101_alpha43,4h,2025-01,-0.00059002,-0.00116268,-0.00057266,744,744,False
wq101_alpha43,4h,2025-02,0.00017791,-0.00146988,-0.00164779,672,672,True
wq101_alpha43,4h,2025-03,0.00038577,-0.000955,-0.00134076,744,744,True
wq101_alpha43,4h,2025-04,0.00052609,0.00120651,0.00068042,720,720,True
wq101_alpha43,4h,2025-05,-0.00016961,-8.737e-05,8.224e-05,744,744,False
wq101_alpha43,4h,2025-06,-2.374e-05,-0.00050974,-0.000486,720,720,False
wq101_alpha43,4h,2025-07,-0.00052454,0.00079723,0.00132177,744,744,False
wq101_alpha43,4h,2025-08,-0.00019841,0.00054008,0.00073849,744,744,False
wq101_alpha43,4h,2025-09,-0.00027243,0.00018884,0.00046127,720,720,False
wq101_alpha43,4h,2025-10,7.418e-05,-0.00025182,-0.000326,744,744,True
wq101_alpha43,4h,2025-11,-0.00069429,-0.00100325,-0.00030896,720,720,False
wq101_alpha43,4h,2025-12,-0.00053446,-8.871e-05,0.00044575,744,744,False
wq101_alpha43,4h,2026-01,0.0003033,-0.00020918,-0.00051249,744,744,True
wq101_alpha43,4h,2026-02,-0.00018355,-0.000336,-0.00015245,672,672,False
wq101_alpha43,4h,2026-03,0.00034816,0.00015369,-0.00019447,744,744,True
wq101_alpha43,4h,2026-04,-0.00013348,0.00130171,0.00143519,720,720,False
wq101_alpha43,4h,2026-05,-3.566e-05,0.00032871,0.00036438,744,744,False
wq101_alpha43,4h,2026-06,-0.00011968,-0.00153554,-0.00141586,285,285,False
wq101_alpha43,72h,2024-06,0.00090421,-0.03018861,-0.03109282,681,681,True
wq101_alpha43,72h,2024-07,4.258e-05,-0.00593016,-0.00597274,744,744,True
wq101_alpha43,72h,2024-08,-0.00075081,-0.00977926,-0.00902845,744,744,False
wq101_alpha43,72h,2024-09,0.00113559,0.01576711,0.01463152,720,720,True
wq101_alpha43,72h,2024-10,-0.00045192,-0.00148422,-0.0010323,744,744,False
wq101_alpha43,72h,2024-11,-0.00416181,0.05822454,0.06238635,720,720,False
wq101_alpha43,72h,2024-12,-0.00034663,-0.00620048,-0.00585385,744,744,False
wq101_alpha43,72h,2025-01,-0.00032943,-0.03562606,-0.03529663,744,744,False
wq101_alpha43,72h,2025-02,0.00051848,-0.01223168,-0.01275015,672,672,True
wq101_alpha43,72h,2025-03,0.00126287,-0.02396053,-0.0252234,744,744,True
wq101_alpha43,72h,2025-04,0.00046757,0.02054864,0.02008106,720,720,True
wq101_alpha43,72h,2025-05,-0.0010505,0.00574598,0.00679649,744,744,False
wq101_alpha43,72h,2025-06,0.00100378,-0.00978681,-0.01079059,720,720,True
wq101_alpha43,72h,2025-07,0.00039134,0.01629987,0.01590853,744,744,True
wq101_alpha43,72h,2025-08,-0.00579687,0.01006061,0.01585748,744,744,False
wq101_alpha43,72h,2025-09,-0.00505745,0.01454563,0.01960307,720,720,False
wq101_alpha43,72h,2025-10,0.0054606,-0.00512778,-0.01058839,744,744,True
wq101_alpha43,72h,2025-11,-0.00028102,-0.01596766,-0.01568664,720,720,False
wq101_alpha43,72h,2025-12,-0.00294155,0.00311488,0.00605643,744,744,False
wq101_alpha43,72h,2026-01,-0.00036332,-0.01357045,-0.01320714,744,744,False
wq101_alpha43,72h,2026-02,0.00085035,-0.00451208,-0.00536243,672,672,True
wq101_alpha43,72h,2026-03,0.00139117,0.00144587,5.47e-05,744,744,True
wq101_alpha43,72h,2026-04,0.00060397,0.02974811,0.02914414,720,720,True
wq101_alpha43,72h,2026-05,-0.00080019,0.00072986,0.00153004,744,744,False
wq101_alpha43,72h,2026-06,0.00111274,-0.03120991,-0.03232265,217,217,True
wq101_alpha44,1h,2024-06,-0.00012153,-0.0003926,-0.00027107,715,715,False
wq101_alpha44,1h,2024-07,-4.244e-05,-4.199e-05,4.5e-07,744,744,False
wq101_alpha44,1h,2024-08,0.00016424,-0.00010043,-0.00026467,744,744,True
wq101_alpha44,1h,2024-09,-0.00012287,0.00027946,0.00040233,720,720,False
wq101_alpha44,1h,2024-10,-6.068e-05,-1.005e-05,5.063e-05,744,744,False
wq101_alpha44,1h,2024-11,3.559e-05,0.00071809,0.00068251,720,720,True
wq101_alpha44,1h,2024-12,0.00016414,1.69e-05,-0.00014724,744,744,True
wq101_alpha44,1h,2025-01,-2.94e-06,-0.00027873,-0.00027579,744,744,False
wq101_alpha44,1h,2025-02,-0.00013871,-0.00049752,-0.00035881,672,672,False
wq101_alpha44,1h,2025-03,-0.00010204,-0.00032152,-0.00021948,744,744,False
wq101_alpha44,1h,2025-04,0.00015594,0.00033354,0.0001776,720,720,True
wq101_alpha44,1h,2025-05,-0.00011735,3.495e-05,0.0001523,744,744,False
wq101_alpha44,1h,2025-06,0.00017779,-8.187e-05,-0.00025965,720,720,True
wq101_alpha44,1h,2025-07,-6.71e-06,0.00023027,0.00023698,744,744,False
wq101_alpha44,1h,2025-08,3.4e-06,0.00011632,0.00011293,744,744,True
wq101_alpha44,1h,2025-09,-0.00033135,3.31e-06,0.00033466,720,720,False
wq101_alpha44,1h,2025-10,-0.00010055,-0.00011337,-1.283e-05,744,744,False
wq101_alpha44,1h,2025-11,0.00011857,-0.00018695,-0.00030552,720,720,True
wq101_alpha44,1h,2025-12,0.00010599,2.276e-05,-8.322e-05,744,744,True
wq101_alpha44,1h,2026-01,0.00028715,3.988e-05,-0.00024727,744,744,True
wq101_alpha44,1h,2026-02,0.00016381,-7.553e-05,-0.00023934,672,672,True
wq101_alpha44,1h,2026-03,-0.00014314,-5.142e-05,9.172e-05,744,744,False
wq101_alpha44,1h,2026-04,-0.00024811,0.0002838,0.00053191,720,720,False
wq101_alpha44,1h,2026-05,6.98e-05,6.041e-05,-9.39e-06,744,744,True
wq101_alpha44,1h,2026-06,-5.73e-06,-0.00039916,-0.00039343,288,288,False
wq101_alpha44,24h,2024-06,-0.00173206,-0.00919091,-0.00745885,715,715,False
wq101_alpha44,24h,2024-07,0.00150309,-0.00114912,-0.00265222,744,744,True
wq101_alpha44,24h,2024-08,0.00104023,-0.0037578,-0.00479804,744,744,True
wq101_alpha44,24h,2024-09,-0.00076851,0.00683006,0.00759857,720,720,False
wq101_alpha44,24h,2024-10,0.00015394,-0.00104741,-0.00120135,744,744,True
wq101_alpha44,24h,2024-11,-0.00055706,0.01926493,0.01982199,720,720,False
wq101_alpha44,24h,2024-12,-0.00133529,-0.0035975,-0.00226221,744,744,False
