factor_id,fee_bps,total_return,annualized_return,annualized_vol,sharpe,max_drawdown,positive_month_rate,avg_turnover
mom_10h,2,-0.5152386550759335,-0.29981745766052703,0.5210434185244565,-0.5754174162866896,0.6580177290163393,0.52,0.24595162507363325
mom_10h,5,-0.8696353956155103,-0.6331691441643,0.5210811345492293,-1.2151066353842084,0.6580177290163393,0.52,0.24595162507363325
mom_10h,10,-0.9853968654623744,-0.8751157384735728,0.5211575412412002,-1.6791769651636972,0.6580177290163393,0.52,0.24595162507363325
mom_10h,20,-0.9998169184625955,-0.985532044572927,0.5213611256848258,-1.8903059626442162,0.6580177290163393,0.52,0.24595162507363325
mom_40h,0,1.4940196036796562,0.5692460534619934,0.5169737903822743,1.1011120177699272,0.4188856540515045,0.6,0.12487207118307177
mom_40h,2,0.600271852021635,0.26089091073570003,0.5169855857384822,0.5046386551822976,0.4188856540515045,0.6,0.12487207118307177
mom_40h,5,-0.17752135475237907,-0.09186107358557705,0.5170053975579111,-0.17767913839871943,0.4188856540515045,0.6,0.12487207118307177
mom_40h,10,-0.7287835083543057,-0.4744704787676297,0.5170440666057955,-0.917659653039545,0.4188856540515045,0.6,0.12487207118307177
mom_40h,20,-0.9705151390069092,-0.8240304613452691,0.517142583692434,-1.593429911460074,0.4188856540515045,0.6,0.12487207118307177
rev_3h,0,0.28746888508843815,0.13238247563565353,0.5204399664520576,0.25436646716072003,0.6558733648095757,0.52,0.43966871738348534
rev_3h,2,-0.7309733536207601,-0.4758622368027541,0.5204212819907141,-0.9143788950799381,0.6558733648095757,0.52,0.43966871738348534
rev_3h,5,-0.9743098270576148,-0.8349685209360578,0.5204019126151971,-1.604468586097342,0.6558733648095757,0.52,0.43966871738348534
rev_3h,10,-0.9994878346373142,-0.975959141245347,0.5203927189802109,-1.8754281250473452,0.6558733648095757,0.52,0.43966871738348534
rev_3h,20,-0.9999997969820218,-0.9994904995336571,0.5204609136324416,-1.9203949294826668,0.6558733648095757,0.52,0.43966871738348534
rev_10h,0,-0.506924166643426,-0.2939317728970694,0.5209931475684354,-0.5641758903526841,0.7130839508173662,0.44,0.24593998976866097
rev_10h,2,-0.7945475225450547,-0.5411145200439,0.5209741821477465,-1.0386589942194906,0.7130839508173662,0.44,0.24593998976866097
rev_10h,5,-0.944745141245468,-0.7595790138290084,0.5209508177309597,-1.458062811260018,0.7130839508173662,0.44,0.24593998976866097
rev_10h,10,-0.9938098308108584,-0.918146605325905,0.5209254355021276,-1.7625298032162515,0.7130839508173662,0.44,0.24593998976866097
rev_10h,20,-0.9999223766567609,-0.9905162277360835,0.5209255221256087,-1.9014545950721229,0.7130839508173662,0.44,0.24593998976866097
rev_24h,0,-0.8037052155137232,-0.5515819250905063,0.5226289399432026,-1.0553987407403238,0.8192624064885008,0.36,0.15909006901649023
rev_24h,2,-0.8885322265002381,-0.6606712082028434,0.5226220102823523,-1.2641473095362143,0.8192624064885008,0.36,0.15909006901649023
rev_24h,5,-0.9523026616077653,-0.7766328949052459,0.5226145790746136,-1.4860528695552637,0.8192624064885008,0.36,0.15909006901649023
rev_24h,10,-0.9884115302574559,-0.8887425767690009,0.5226100961475512,-1.7005843999578565,0.8192624064885008,0.36,0.15909006901649023
rev_24h,20,-0.999316199165141,-0.9724025110503718,0.5226307645746653,-1.8605917924516864,0.8192624064885008,0.36,0.15909006901649023
vol_5h,0,0.0669905509094717,0.03242198014921094,0.5647325088663978,0.05741121617788999,0.7554415321997344,0.52,0.23423938294117788
vol_5h,2,-0.5366167619301065,-0.31511750556175044,0.5647535866104713,-0.5579734472392065,0.7554415321997344,0.52,0.23423938294117788
vol_5h,5,-0.8673911130799524,-0.6299708468065174,0.5647962022610928,-1.1153949766030753,0.7554415321997344,0.52,0.23423938294117788
vol_5h,10,-0.9835236769856407,-0.867396974667007,0.56489655115738,-1.5354970266500185,0.7554415321997344,0.52,0.23423938294117788
vol_5h,20,-0.999745866270046,-0.9829782303254033,0.5652071302276689,-1.7391469034183162,0.7554415321997344,0.52,0.23423938294117788
vol_40h,0,0.957653508859956,0.3926437416657904,0.5999892883129408,0.6544179193095799,0.6770287833343691,0.44,0.03535795351551868
vol_40h,2,0.726529246583346,0.3089960998082153,0.5999839228463526,0.5150072994328296,0.6770287833343691,0.44,0.03535795351551868
vol_40h,5,0.42997981705526667,0.19284837119392906,0.5999767777108895,0.3214263924175692,0.6770287833343691,0.44,0.03535795351551868
vol_40h,10,0.04452776262659208,0.02171196494828398,0.5999672774155431,0.03618858188701859,0.6770287833343691,0.44,0.03535795351551868
vol_40h,20,-0.44270115474211735,-0.25043545561929725,0.599957308271669,-0.41742212681889124,0.6770287833343691,0.44,0.03535795351551868
vol_ratio_5_20,0,-0.3793491075053944,-0.20936056455010243,0.39749752718170506,-0.5266965206915589,0.659793988540528,0.4,0.3308406700788007
vol_ratio_5_20,2,-0.808717717896947,-0.5571784485268867,0.3975027764334286,-1.4016969982603371,0.659793988540528,0.4,0.3308406700788007
vol_ratio_5_20,5,-0.9672777293087266,-0.8144040343230305,0.3975360903155935,-2.048629178992268,0.659793988540528,0.4,0.3308406700788007
vol_ratio_5_20,10,-0.9982757578642459,-0.9564448225259192,0.397659430180425,-2.405185819664741,0.659793988540528,0.4,0.3308406700788007
vol_ratio_5_20,20,-0.9999952204853014,-0.997603233712315,0.39816007081068655,-2.505533092962117,0.659793988540528,0.4,0.3308406700788007
range_1h,0,3.2885723378256646,1.0467311364520073,0.602518503198245,1.737259737079982,0.727281319404196,0.64,0.43245766621664034
range_1h,2,-0.08074237418499586,-0.04057006133552876,0.6025312719970398,-0.06733270656817972,0.727281319404196,0.64,0.43245766621664034
range_1h,5,-0.9087963547029058,-0.6921161037221759,0.6025566373866683,-1.1486324451157546,0.727281319404196,0.64,0.43245766621664034
range_1h,10,-0.9980620663320644,-0.9537054590285166,0.6026154763847996,-1.582610298610268,0.727281319404196,0.64,0.43245766621664034
range_1h,20,-0.9999991272830588,-0.9989546422235587,0.6027952424246583,-1.6572039258395694,0.727281319404196,0.64,0.43245766621664034
range_4h,0,2.701822697873931,0.9040321367220574,0.5975719089348368,1.5128424265014089,0.6929343683290826,0.64,0.2349470466791658
range_4h,2,0.6035731104658191,0.2615621447041441,0.5975849861597853,0.4376986550231138,0.6929343683290826,0.64,0.2349470466791658
range_4h,5,-0.542846200874012,-0.31963428635532287,0.5976124526744949,-0.5348521185006497,0.6929343683290826,0.64,0.2349470466791658
range_4h,10,-0.9435598051062031,-0.7569188666123055,0.5976791618565196,-1.26643007639944,0.6929343683290826,0.64,0.2349470466791658
range_4h,20,-0.9991404343298196,-0.9689836341114874,0.5978910380798006,-1.6206692731563523,0.6929343683290826,0.64,0.2349470466791658
range_24h,0,2.1741339045166828,0.7664012269671261,0.581321388962517,1.3183778225241647,0.6802980948311522,0.6,0.06869013481713328
