factor_id,horizon,n_months,n_quantile_buckets,q_low_return,q_high_return,q_spread_return,q_return_slope,q_spearman_corr,monotonicity_score,monotonicity_class,tail_concentration_score,tail_concentration_class,positive_spread_month_rate,quantile_shape_class,main_shape_note_zh,main_shape_note_en
breakout_dist_48h,4h,25,5,-0.00017715,7.973e-05,0.00025688,4.24087e-05,0.3,0.5,U_SHAPED_OR_REVERSAL,0.9936,TAIL_DOMINANT,0.68,NO_CLEAR_SHAPE,分位数回报无明显规律，因子分层能力弱,No clear quantile return pattern — weak factor separation
breakout_dist_48h,72h,25,5,-0.00291262,0.00295312,0.00586575,0.0011807463,0.3,0.5,U_SHAPED_OR_REVERSAL,0.8783,TAIL_DOMINANT,0.72,NO_CLEAR_SHAPE,分位数回报无明显规律，因子分层能力弱,No clear quantile return pattern — weak factor separation
candle_body,1h,25,5,7.017e-05,-6.301e-05,-0.00013318,-3.01404e-05,-1.0,1.0,MONOTONIC_STRONG,1.0,TAIL_DOMINANT,0.24,EXCELLENT_MONOTONIC,分位数回报呈反向单调排列，因子分层能力优秀,Quantile returns show negative monotonic pattern — strong factor separation
candle_body,24h,25,5,-0.00010519,0.00027687,0.00038207,9.02999e-05,0.3,0.5,FLAT_NO_SHAPE,0.3175,BALANCED,0.56,NO_CLEAR_SHAPE,分位数回报无明显规律，因子分层能力弱,No clear quantile return pattern — weak factor separation
candle_body,4h,25,5,-9.6e-07,3.983e-05,4.079e-05,2.2366e-06,0.0,0.75,MONOTONIC_WEAK,0.1914,BALANCED,0.44,WEAK_MONOTONIC,分位数回报大体呈单调趋势，但存在波动,Quantile returns show generally monotonic trend with some noise
candle_body,72h,25,5,-0.00092634,0.00031434,0.00124068,0.0002652142,0.3,0.5,FLAT_NO_SHAPE,0.3713,BALANCED,0.64,NO_CLEAR_SHAPE,分位数回报无明显规律，因子分层能力弱,No clear quantile return pattern — weak factor separation
candle_wick_lower,1h,25,5,7.109e-05,-5.405e-05,-0.00012514,-3.20916e-05,-0.9,0.25,U_SHAPED_OR_REVERSAL,0.8962,TAIL_DOMINANT,0.24,WEAK_MONOTONIC,分位数回报大体呈单调趋势，但存在波动,Quantile returns show generally monotonic trend with some noise
candle_wick_lower,24h,25,5,8.015e-05,-0.00017838,-0.00025854,-8.81803e-05,-0.3,0.5,U_SHAPED_OR_REVERSAL,0.2571,BALANCED,0.36,NO_CLEAR_SHAPE,分位数回报无明显规律，因子分层能力弱,No clear quantile return pattern — weak factor separation
candle_wick_lower,4h,25,5,0.00011198,-9.588e-05,-0.00020785,-5.53245e-05,-0.7,0.25,U_SHAPED_OR_REVERSAL,0.6629,TAIL_HEAVY,0.2,WEAK_MONOTONIC,分位数回报大体呈单调趋势，但存在波动,Quantile returns show generally monotonic trend with some noise
candle_wick_lower,72h,25,5,6.558e-05,-0.0010854,-0.00115098,-0.0002845735,-0.3,0.5,U_SHAPED_OR_REVERSAL,0.3754,BALANCED,0.28,NO_CLEAR_SHAPE,分位数回报无明显规律，因子分层能力弱,No clear quantile return pattern — weak factor separation
candle_wick_upper,1h,25,5,6.679e-05,-9.147e-05,-0.00015826,-3.60502e-05,-1.0,1.0,MONOTONIC_STRONG,1.0,TAIL_DEPENDENT,0.8,EXCELLENT_MONOTONIC,分位数回报呈反向单调排列，因子分层能力优秀,Quantile returns show negative monotonic pattern — strong factor separation
candle_wick_upper,24h,25,5,2.093e-05,-0.00019439,-0.00021532,-3.9867e-05,-0.1,0.5,FLAT_NO_SHAPE,0.2736,BALANCED,0.44,NO_CLEAR_SHAPE,分位数回报无明显规律，因子分层能力弱,No clear quantile return pattern — weak factor separation
candle_wick_upper,4h,25,5,9.126e-05,-0.00015231,-0.00024357,-5.72717e-05,-0.9,0.75,MONOTONIC_WEAK,0.9917,TAIL_DOMINANT,0.72,WEAK_MONOTONIC,分位数回报大体呈单调趋势，但存在波动,Quantile returns show generally monotonic trend with some noise
candle_wick_upper,72h,25,5,-7.169e-05,-0.00070677,-0.00063507,-0.0001239918,-0.1,0.5,FLAT_NO_SHAPE,0.2213,BALANCED,0.64,NO_CLEAR_SHAPE,分位数回报无明显规律，因子分层能力弱,No clear quantile return pattern — weak factor separation
downside_vol_20h,1h,25,5,3.316e-05,-3.82e-06,-3.698e-05,-6.5362e-06,-0.1,0.5,FLAT_NO_SHAPE,0.4033,BALANCED,0.48,NO_CLEAR_SHAPE,分位数回报无明显规律，因子分层能力弱,No clear quantile return pattern — weak factor separation
downside_vol_20h,24h,25,5,0.00087742,-0.00035998,-0.0012374,-0.000271924,-0.3,0.5,FLAT_NO_SHAPE,0.5829,TAIL_HEAVY,0.56,NO_CLEAR_SHAPE,分位数回报无明显规律，因子分层能力弱,No clear quantile return pattern — weak factor separation
downside_vol_20h,4h,25,5,0.00010754,-2.938e-05,-0.00013692,-2.33365e-05,-0.1,0.5,FLAT_NO_SHAPE,0.4207,BALANCED,0.52,NO_CLEAR_SHAPE,分位数回报无明显规律，因子分层能力弱,No clear quantile return pattern — weak factor separation
downside_vol_20h,72h,25,5,0.00240638,-0.00113256,-0.00353893,-0.0007763256,-0.3,0.5,FLAT_NO_SHAPE,0.5706,TAIL_HEAVY,0.56,NO_CLEAR_SHAPE,分位数回报无明显规律，因子分层能力弱,No clear quantile return pattern — weak factor separation
ema_12_26_gap,1h,25,5,-3.894e-05,7.359e-05,0.00011253,2.12581e-05,0.2,0.75,U_SHAPED_OR_REVERSAL,0.8843,TAIL_DOMINANT,0.64,NO_CLEAR_SHAPE,分位数回报无明显规律，因子分层能力弱,No clear quantile return pattern — weak factor separation
ema_12_26_gap,24h,25,5,-0.00057207,0.00110251,0.00167458,0.0003425802,0.3,0.5,U_SHAPED_OR_REVERSAL,0.7878,TAIL_HEAVY,0.6,NO_CLEAR_SHAPE,分位数回报无明显规律，因子分层能力弱,No clear quantile return pattern — weak factor separation
ema_12_26_gap,4h,25,5,-0.00018492,0.0002374,0.00042232,8.17358e-05,0.5,0.75,U_SHAPED_OR_REVERSAL,0.9365,TAIL_DOMINANT,0.72,MIXED_SHAPE,分位数回报模式混合，分层信号不够清晰,Mixed quantile return pattern — factor signal is inconsistent
ema_12_26_gap,72h,25,5,-0.00224495,0.00354661,0.00579156,0.0012144309,0.4,0.75,U_SHAPED_OR_REVERSAL,0.8011,TAIL_DOMINANT,0.56,NO_CLEAR_SHAPE,分位数回报无明显规律，因子分层能力弱,No clear quantile return pattern — weak factor separation
funding_rate_change_24h,1h,24,5,-9.975e-05,4.939e-05,0.00014914,3.37034e-05,0.9,0.25,U_SHAPED_OR_REVERSAL,1.0,TAIL_DOMINANT,0.4583,WEAK_MONOTONIC,分位数回报大体呈单调趋势，但存在波动,Quantile returns show generally monotonic trend with some noise
funding_rate_change_24h,24h,24,5,0.00010366,-0.00013935,-0.00024302,-1.19102e-05,0.0,0.25,U_SHAPED_OR_REVERSAL,0.1708,BALANCED,0.5,NO_CLEAR_SHAPE,分位数回报无明显规律，因子分层能力弱,No clear quantile return pattern — weak factor separation
funding_rate_change_24h,4h,24,5,0.0002178,0.0002961,7.83e-05,-4.1815e-06,0.0,0.75,U_SHAPED_OR_REVERSAL,0.2642,BALANCED,0.5417,NO_CLEAR_SHAPE,分位数回报无明显规律，因子分层能力弱,No clear quantile return pattern — weak factor separation
funding_rate_change_24h,72h,24,5,0.00041566,0.0013378,0.00092214,0.0001948834,0.3,0.5,U_SHAPED_OR_REVERSAL,0.5123,TAIL_HEAVY,0.4583,NO_CLEAR_SHAPE,分位数回报无明显规律，因子分层能力弱,No clear quantile return pattern — weak factor separation
funding_rate_level_20h,1h,24,5,0.00014302,-8.309e-05,-0.00022611,-4.66283e-05,-0.7,0.75,MONOTONIC_WEAK,0.8458,TAIL_DOMINANT,0.8333,WEAK_MONOTONIC,分位数回报大体呈单调趋势，但存在波动,Quantile returns show generally monotonic trend with some noise
funding_rate_level_20h,24h,24,5,0.00236865,-0.00012883,-0.00249748,-0.0008454007,-0.6,0.5,FLAT_NO_SHAPE,0.722,TAIL_HEAVY,0.6667,MIXED_SHAPE,分位数回报模式混合，分层信号不够清晰,Mixed quantile return pattern — factor signal is inconsistent
funding_rate_level_20h,4h,24,5,0.00053329,0.00019459,-0.0003387,-7.31606e-05,-1.0,1.0,MONOTONIC_STRONG,1.0,TAIL_DOMINANT,0.7917,EXCELLENT_MONOTONIC,分位数回报呈反向单调排列，因子分层能力优秀,Quantile returns show negative monotonic pattern — strong factor separation
funding_rate_level_20h,72h,24,5,0.0091621,-0.00308965,-0.01225175,-0.0032584884,-1.0,1.0,MONOTONIC_STRONG,1.0,TAIL_DOMINANT,0.75,EXCELLENT_MONOTONIC,分位数回报呈反向单调排列，因子分层能力优秀,Quantile returns show negative monotonic pattern — strong factor separation
funding_rate_zscore_80h,1h,24,5,-0.00017563,5.21e-06,0.00018084,3.17515e-05,0.2,0.25,U_SHAPED_OR_REVERSAL,0.811,TAIL_DEPENDENT,0.4167,NO_CLEAR_SHAPE,分位数回报无明显规律，因子分层能力弱,No clear quantile return pattern — weak factor separation
funding_rate_zscore_80h,24h,24,5,-6.678e-05,5.108e-05,0.00011786,0.000153332,0.3,0.5,U_SHAPED_OR_REVERSAL,0.06,BALANCED,0.6667,NO_CLEAR_SHAPE,分位数回报无明显规律，因子分层能力弱,No clear quantile return pattern — weak factor separation
funding_rate_zscore_80h,4h,24,5,8.525e-05,0.00035402,0.00026876,4.89068e-05,0.1,0.5,U_SHAPED_OR_REVERSAL,0.5286,TAIL_HEAVY,0.5,NO_CLEAR_SHAPE,分位数回报无明显规律，因子分层能力弱,No clear quantile return pattern — weak factor separation
funding_rate_zscore_80h,72h,24,5,-0.00073954,0.00197484,0.00271438,0.0010485428,0.6,0.5,U_SHAPED_OR_REVERSAL,0.5368,TAIL_HEAVY,0.5,MIXED_SHAPE,分位数回报模式混合，分层信号不够清晰,Mixed quantile return pattern — factor signal is inconsistent
intraday_ret,1h,25,5,8.709e-05,-3.096e-05,-0.00011805,-2.8571e-05,-0.7,0.75,MONOTONIC_WEAK,0.743,TAIL_HEAVY,0.28,WEAK_MONOTONIC,分位数回报大体呈单调趋势，但存在波动,Quantile returns show generally monotonic trend with some noise
intraday_ret,24h,25,5,0.00018263,0.00058477,0.00040214,8.94453e-05,0.3,0.5,FLAT_NO_SHAPE,0.2346,BALANCED,0.56,NO_CLEAR_SHAPE,分位数回报无明显规律，因子分层能力弱,No clear quantile return pattern — weak factor separation
intraday_ret,4h,25,5,0.00012085,7.222e-05,-4.862e-05,-1.55653e-05,-0.4,0.75,MONOTONIC_WEAK,0.1359,BALANCED,0.44,WEAK_MONOTONIC,分位数回报大体呈单调趋势，但存在波动,Quantile returns show generally monotonic trend with some noise
intraday_ret,72h,25,5,-5.61e-06,0.00146844,0.00147404,0.0003093328,0.3,0.5,FLAT_NO_SHAPE,0.2804,BALANCED,0.64,NO_CLEAR_SHAPE,分位数回报无明显规律，因子分层能力弱,No clear quantile return pattern — weak factor separation
klow_close,1h,25,5,2.687e-05,-2.116e-05,-4.803e-05,-1.16855e-05,-0.6,0.5,U_SHAPED_OR_REVERSAL,0.6035,TAIL_HEAVY,0.32,MIXED_SHAPE,分位数回报模式混合，分层信号不够清晰,Mixed quantile return pattern — factor signal is inconsistent
klow_close,24h,25,5,-0.00034839,0.00080553,0.00115392,0.0002393248,0.3,0.5,U_SHAPED_OR_REVERSAL,0.6269,TAIL_HEAVY,0.6,NO_CLEAR_SHAPE,分位数回报无明显规律，因子分层能力弱,No clear quantile return pattern — weak factor separation
klow_close,4h,25,5,-2.119e-05,7.715e-05,9.834e-05,1.37271e-05,0.1,0.5,U_SHAPED_OR_REVERSAL,0.3842,BALANCED,0.6,NO_CLEAR_SHAPE,分位数回报无明显规律，因子分层能力弱,No clear quantile return pattern — weak factor separation
klow_close,72h,25,5,-0.00118267,0.00197196,0.00315463,0.000683278,0.3,0.5,U_SHAPED_OR_REVERSAL,0.5749,TAIL_HEAVY,0.6,NO_CLEAR_SHAPE,分位数回报无明显规律，因子分层能力弱,No clear quantile return pattern — weak factor separation
ksft_5h,1h,25,5,-2.569e-05,6.22e-06,3.191e-05,4.9304e-06,0.3,0.5,FLAT_NO_SHAPE,0.7499,TAIL_HEAVY,0.68,NO_CLEAR_SHAPE,分位数回报无明显规律，因子分层能力弱,No clear quantile return pattern — weak factor separation
ksft_5h,24h,25,5,-0.00044722,-0.00014577,0.00030145,6.95374e-05,0.4,0.25,U_SHAPED_OR_REVERSAL,0.5695,TAIL_HEAVY,0.48,NO_CLEAR_SHAPE,分位数回报无明显规律，因子分层能力弱,No clear quantile return pattern — weak factor separation
ksft_5h,4h,25,5,-0.00012857,4.21e-06,0.00013278,2.59064e-05,0.7,0.25,U_SHAPED_OR_REVERSAL,1.0,TAIL_DOMINANT,0.76,WEAK_MONOTONIC,分位数回报大体呈单调趋势，但存在波动,Quantile returns show generally monotonic trend with some noise
ksft_5h,72h,25,5,-0.00121639,-0.00102934,0.00018705,5.6908e-06,0.0,0.75,MONOTONIC_WEAK,0.1417,BALANCED,0.48,WEAK_MONOTONIC,分位数回报大体呈单调趋势，但存在波动,Quantile returns show generally monotonic trend with some noise
ma_gap_10_40,1h,25,5,-4.649e-05,3.992e-05,8.64e-05,1.9112e-05,0.7,0.75,U_SHAPED_OR_REVERSAL,0.9242,TAIL_DOMINANT,0.6,WEAK_MONOTONIC,分位数回报大体呈单调趋势，但存在波动,Quantile returns show generally monotonic trend with some noise
ma_gap_10_40,24h,25,5,-0.00058307,0.00074117,0.00132424,0.0002738938,0.4,0.75,U_SHAPED_OR_REVERSAL,0.7457,TAIL_HEAVY,0.52,NO_CLEAR_SHAPE,分位数回报无明显规律，因子分层能力弱,No clear quantile return pattern — weak factor separation
ma_gap_10_40,4h,25,5,-0.00018426,0.0001383,0.00032256,6.28331e-05,0.6,0.5,U_SHAPED_OR_REVERSAL,1.0,TAIL_DOMINANT,0.6,MIXED_SHAPE,分位数回报模式混合，分层信号不够清晰,Mixed quantile return pattern — factor signal is inconsistent
ma_gap_10_40,72h,25,5,-0.002265,0.00300539,0.00527039,0.0010925344,0.4,0.75,U_SHAPED_OR_REVERSAL,0.7837,TAIL_HEAVY,0.6,NO_CLEAR_SHAPE,分位数回报无明显规律，因子分层能力弱,No clear quantile return pattern — weak factor separation
ma_gap_20_80,1h,25,5,-1.823e-05,1.976e-05,3.799e-05,7.2325e-06,0.1,0.5,U_SHAPED_OR_REVERSAL,0.5646,TAIL_HEAVY,0.6,NO_CLEAR_SHAPE,分位数回报无明显规律，因子分层能力弱,No clear quantile return pattern — weak factor separation
ma_gap_20_80,24h,25,5,-0.00033914,0.00085855,0.00119768,0.0002492009,0.4,0.75,U_SHAPED_OR_REVERSAL,0.5591,TAIL_HEAVY,0.56,NO_CLEAR_SHAPE,分位数回报无明显规律，因子分层能力弱,No clear quantile return pattern — weak factor separation
ma_gap_20_80,4h,25,5,-5.998e-05,7.925e-05,0.00013922,2.34676e-05,0.1,0.5,U_SHAPED_OR_REVERSAL,0.4826,BALANCED,0.56,NO_CLEAR_SHAPE,分位数回报无明显规律，因子分层能力弱,No clear quantile return pattern — weak factor separation
ma_gap_20_80,72h,25,5,-0.00222435,0.00289273,0.00511708,0.0010435716,0.3,0.5,U_SHAPED_OR_REVERSAL,0.7383,TAIL_HEAVY,0.6,NO_CLEAR_SHAPE,分位数回报无明显规律，因子分层能力弱,No clear quantile return pattern — weak factor separation
ma_gap_5_20,1h,25,5,-3.253e-05,7.124e-05,0.00010377,2.14967e-05,0.3,0.5,U_SHAPED_OR_REVERSAL,0.8283,TAIL_DOMINANT,0.72,NO_CLEAR_SHAPE,分位数回报无明显规律，因子分层能力弱,No clear quantile return pattern — weak factor separation
ma_gap_5_20,24h,25,5,-0.0006218,0.0010068,0.0016286,0.0003368152,0.3,0.5,U_SHAPED_OR_REVERSAL,0.7698,TAIL_HEAVY,0.68,NO_CLEAR_SHAPE,分位数回报无明显规律，因子分层能力弱,No clear quantile return pattern — weak factor separation
ma_gap_5_20,4h,25,5,-0.00019114,0.00025799,0.00044913,9.5839e-05,0.6,0.5,U_SHAPED_OR_REVERSAL,0.9554,TAIL_DOMINANT,0.68,MIXED_SHAPE,分位数回报模式混合，分层信号不够清晰,Mixed quantile return pattern — factor signal is inconsistent
ma_gap_5_20,72h,25,5,-0.00188141,0.002561,0.00444241,0.0009560816,0.4,0.75,U_SHAPED_OR_REVERSAL,0.7194,TAIL_HEAVY,0.64,NO_CLEAR_SHAPE,分位数回报无明显规律，因子分层能力弱,No clear quantile return pattern — weak factor separation
mom_10h,1h,25,5,7.24e-06,3.794e-05,3.069e-05,4.302e-06,0.0,0.25,U_SHAPED_OR_REVERSAL,0.323,BALANCED,0.56,NO_CLEAR_SHAPE,分位数回报无明显规律，因子分层能力弱,No clear quantile return pattern — weak factor separation
mom_10h,24h,25,5,-0.00047654,0.00101165,0.00148819,0.0003138288,0.3,0.5,U_SHAPED_OR_REVERSAL,0.6911,TAIL_HEAVY,0.68,NO_CLEAR_SHAPE,分位数回报无明显规律，因子分层能力弱,No clear quantile return pattern — weak factor separation
mom_10h,4h,25,5,-8.677e-05,0.00023362,0.00032039,6.70652e-05,0.3,0.5,U_SHAPED_OR_REVERSAL,0.7165,TAIL_HEAVY,0.6,NO_CLEAR_SHAPE,分位数回报无明显规律，因子分层能力弱,No clear quantile return pattern — weak factor separation
mom_10h,72h,25,5,-0.00135238,0.00264543,0.00399782,0.0008677424,0.3,0.5,U_SHAPED_OR_REVERSAL,0.6159,TAIL_HEAVY,0.6,NO_CLEAR_SHAPE,分位数回报无明显规律，因子分层能力弱,No clear quantile return pattern — weak factor separation
mom_120h,1h,25,5,-3.226e-05,3.418e-05,6.644e-05,1.39426e-05,0.3,0.5,U_SHAPED_OR_REVERSAL,0.7338,TAIL_HEAVY,0.68,NO_CLEAR_SHAPE,分位数回报无明显规律，因子分层能力弱,No clear quantile return pattern — weak factor separation
mom_120h,24h,25,5,-0.00058604,0.00082791,0.00141395,0.0002875331,0.4,0.75,U_SHAPED_OR_REVERSAL,0.6662,TAIL_HEAVY,0.6,NO_CLEAR_SHAPE,分位数回报无明显规律，因子分层能力弱,No clear quantile return pattern — weak factor separation
mom_120h,4h,25,5,-0.00014759,0.00012903,0.00027662,6.03628e-05,0.3,0.5,U_SHAPED_OR_REVERSAL,0.7463,TAIL_HEAVY,0.6,NO_CLEAR_SHAPE,分位数回报无明显规律，因子分层能力弱,No clear quantile return pattern — weak factor separation
mom_120h,72h,25,5,-0.00259611,0.00260025,0.00519636,0.0011104417,0.3,0.5,U_SHAPED_OR_REVERSAL,0.7946,TAIL_HEAVY,0.64,NO_CLEAR_SHAPE,分位数回报无明显规律，因子分层能力弱,No clear quantile return pattern — weak factor separation
mom_20h,1h,25,5,-4.046e-05,8.065e-05,0.00012111,2.29948e-05,0.0,0.25,U_SHAPED_OR_REVERSAL,0.8924,TAIL_DOMINANT,0.64,NO_CLEAR_SHAPE,分位数回报无明显规律，因子分层能力弱,No clear quantile return pattern — weak factor separation
mom_20h,24h,25,5,-0.00057614,0.00106698,0.00164312,0.0003273765,0.1,0.5,U_SHAPED_OR_REVERSAL,0.7669,TAIL_HEAVY,0.6,NO_CLEAR_SHAPE,分位数回报无明显规律，因子分层能力弱,No clear quantile return pattern — weak factor separation
mom_20h,4h,25,5,-0.00022565,0.00033917,0.00056482,0.0001146198,0.9,0.75,U_SHAPED_OR_REVERSAL,1.0,TAIL_DOMINANT,0.72,WEAK_MONOTONIC,分位数回报大体呈单调趋势，但存在波动,Quantile returns show generally monotonic trend with some noise
mom_20h,72h,25,5,-0.00193759,0.00287394,0.00481152,0.0010078975,0.3,0.5,U_SHAPED_OR_REVERSAL,0.7284,TAIL_HEAVY,0.64,NO_CLEAR_SHAPE,分位数回报无明显规律，因子分层能力弱,No clear quantile return pattern — weak factor separation
mom_40h,1h,25,5,-3.034e-05,4.815e-05,7.848e-05,1.35394e-05,0.0,0.25,U_SHAPED_OR_REVERSAL,0.7528,TAIL_HEAVY,0.6,NO_CLEAR_SHAPE,分位数回报无明显规律，因子分层能力弱,No clear quantile return pattern — weak factor separation
mom_40h,24h,25,5,-0.00050262,0.00105935,0.00156197,0.0003582004,0.4,0.75,U_SHAPED_OR_REVERSAL,0.6401,TAIL_HEAVY,0.56,NO_CLEAR_SHAPE,分位数回报无明显规律，因子分层能力弱,No clear quantile return pattern — weak factor separation
mom_40h,4h,25,5,-0.00010391,0.00020809,0.000312,6.71404e-05,0.4,0.75,U_SHAPED_OR_REVERSAL,0.7356,TAIL_HEAVY,0.68,NO_CLEAR_SHAPE,分位数回报无明显规律，因子分层能力弱,No clear quantile return pattern — weak factor separation
mom_40h,72h,25,5,-0.00210245,0.00320823,0.00531068,0.0011204199,0.3,0.5,U_SHAPED_OR_REVERSAL,0.7312,TAIL_HEAVY,0.6,NO_CLEAR_SHAPE,分位数回报无明显规律，因子分层能力弱,No clear quantile return pattern — weak factor separation
mom_5h,1h,25,5,3.166e-05,2.331e-05,-8.35e-06,-6.4081e-06,-0.4,0.25,U_SHAPED_OR_REVERSAL,0.0819,BALANCED,0.52,NO_CLEAR_SHAPE,分位数回报无明显规律，因子分层能力弱,No clear quantile return pattern — weak factor separation
mom_5h,24h,25,5,-0.00030606,0.00100329,0.00130935,0.000253999,0.1,0.5,U_SHAPED_OR_REVERSAL,0.6048,TAIL_HEAVY,0.72,NO_CLEAR_SHAPE,分位数回报无明显规律，因子分层能力弱,No clear quantile return pattern — weak factor separation
mom_5h,4h,25,5,3.282e-05,0.00015757,0.00012475,2.48312e-05,0.1,0.5,U_SHAPED_OR_REVERSAL,0.3153,BALANCED,0.6,NO_CLEAR_SHAPE,分位数回报无明显规律，因子分层能力弱,No clear quantile return pattern — weak factor separation
mom_5h,72h,25,5,-0.00074827,0.0022824,0.00303068,0.0006087236,0.3,0.5,U_SHAPED_OR_REVERSAL,0.4964,BALANCED,0.6,NO_CLEAR_SHAPE,分位数回报无明显规律，因子分层能力弱,No clear quantile return pattern — weak factor separation
mom_72h,1h,25,5,-1.688e-05,1.391e-05,3.079e-05,5.0629e-06,0.1,0.5,U_SHAPED_OR_REVERSAL,0.4927,BALANCED,0.6,NO_CLEAR_SHAPE,分位数回报无明显规律，因子分层能力弱,No clear quantile return pattern — weak factor separation
mom_72h,24h,25,5,-0.00035943,0.0008308,0.00119023,0.0002462452,0.3,0.5,U_SHAPED_OR_REVERSAL,0.5813,TAIL_HEAVY,0.56,NO_CLEAR_SHAPE,分位数回报无明显规律，因子分层能力弱,No clear quantile return pattern — weak factor separation
mom_72h,4h,25,5,-4.584e-05,5.496e-05,0.00010081,2.09301e-05,0.3,0.5,U_SHAPED_OR_REVERSAL,0.3939,BALANCED,0.6,NO_CLEAR_SHAPE,分位数回报无明显规律，因子分层能力弱,No clear quantile return pattern — weak factor separation
mom_72h,72h,25,5,-0.00211417,0.0026987,0.00481287,0.0010172332,0.3,0.5,U_SHAPED_OR_REVERSAL,0.694,TAIL_HEAVY,0.56,NO_CLEAR_SHAPE,分位数回报无明显规律，因子分层能力弱,No clear quantile return pattern — weak factor separation
mom_accel_20h,1h,25,5,1.475e-05,1.525e-05,5e-07,-4.5237e-06,0.1,0.5,U_SHAPED_OR_REVERSAL,0.0053,BALANCED,0.44,NO_CLEAR_SHAPE,分位数回报无明显规律，因子分层能力弱,No clear quantile return pattern — weak factor separation
