factor_id,regime_dimension,regime_value,n_months,mean,median,std,positive_rate,min,max,metric_type
a101_volume_high_alpha_min_84_84,btc_trend_regime,SIDEWAYS,32,0.0012269243750000001,0.0002742,0.0031203108129830514,0.71875,-0.00742071,0.00870266,long_short
a101_volume_high_alpha_min_84_84,btc_trend_regime,BEAR,8,0.01597670165907504,0.015986852925753598,0.05166697928887746,0.75,-0.0498984641015195,0.116902157437529,paper_return
a101_volume_high_alpha_min_84_84,btc_trend_regime,BULL,9,-0.01542272581510328,-0.0338603428881927,0.07683119886447054,0.3333333333333333,-0.1300598064175144,0.1424220324292011,paper_return
a101_volume_high_alpha_min_84_84,btc_trend_regime,SIDEWAYS,8,0.039572161297658295,0.0471436405528686,0.09342764445062024,0.625,-0.0759207046492,0.2241622499607882,paper_return
a101_volume_high_alpha_min_84_84,btc_vol_regime,HIGH_VOL,52,0.037283450576923075,0.02932385,0.023649644334289382,0.9807692307692307,-0.00789326,0.0918139,ic_rank
a101_volume_high_alpha_min_84_84,btc_vol_regime,LOW_VOL,48,0.036180038541666674,0.028319865,0.023970023896232685,1.0,0.01071747,0.10979678,ic_rank
a101_volume_high_alpha_min_84_84,btc_vol_regime,HIGH_VOL,52,0.0009103796153846155,0.00025032,0.003817809653142401,0.7692307692307693,-0.01558573,0.00870266,long_short
a101_volume_high_alpha_min_84_84,btc_vol_regime,LOW_VOL,48,0.0005900279166666666,2.3400000000000013e-06,0.002824665855694702,0.5,-0.00742071,0.01125049,long_short
a101_volume_high_alpha_min_84_84,btc_vol_regime,HIGH_VOL,13,0.03731900270964299,0.0319639621794272,0.088454378613953,0.6923076923076923,-0.1300598064175144,0.2241622499607882,paper_return
a101_volume_high_alpha_min_84_84,btc_vol_regime,LOW_VOL,12,-0.014963388658951804,-0.036456178542135204,0.05138087950012629,0.4166666666666667,-0.0803521831781964,0.0813602036049128,paper_return
a101_volume_high_alpha_min_84_84,btc_drawdown_regime,DEEP_DRAWDOWN,32,0.0317904240625,0.028556875,0.018567131443355603,1.0,0.01071747,0.08375191,ic_rank
a101_volume_high_alpha_min_84_84,btc_drawdown_regime,NORMAL,68,0.03908952514705882,0.029731235,0.02554282345747396,0.9852941176470589,-0.00789326,0.10979678,ic_rank
a101_volume_high_alpha_min_84_84,btc_drawdown_regime,DEEP_DRAWDOWN,32,0.0014634293750000003,0.00030673500000000004,0.0029490935110213076,0.71875,-0.00235632,0.01125049,long_short
a101_volume_high_alpha_min_84_84,btc_drawdown_regime,NORMAL,68,0.0004239902941176471,5.3929999999999994e-05,0.003514998583006857,0.6029411764705882,-0.01558573,0.00870266,long_short
a101_volume_high_alpha_min_84_84,btc_drawdown_regime,DEEP_DRAWDOWN,8,0.0190735051956012,0.02889555300559805,0.06404453193296111,0.625,-0.0594772429215714,0.116902157437529,paper_return
a101_volume_high_alpha_min_84_84,btc_drawdown_regime,NORMAL,17,0.00899990175018397,0.0022207584753879,0.08318760199213009,0.5294117647058824,-0.1300598064175144,0.2241622499607882,paper_return
a101_volume_low_alpha_min_84_120,btc_trend_regime,BEAR,32,0.045038171875000005,0.039143305,0.02736159403832578,1.0,0.01347201,0.11898974,ic_rank
a101_volume_low_alpha_min_84_120,btc_trend_regime,BULL,36,0.036833373055555556,0.030097525,0.02395523032004431,1.0,0.01003785,0.12351564,ic_rank
a101_volume_low_alpha_min_84_120,btc_trend_regime,SIDEWAYS,32,0.040733556875,0.03564979,0.022090833018673147,1.0,0.01175919,0.08706956,ic_rank
a101_volume_low_alpha_min_84_120,btc_trend_regime,BEAR,32,0.0020756803124999997,0.00029058999999999997,0.00528986962660279,0.71875,-0.00749412,0.01769301,long_short
a101_volume_low_alpha_min_84_120,btc_trend_regime,BULL,36,-0.0004660097222222221,-2.6689999999999997e-05,0.004883250830866952,0.3888888888888889,-0.01889593,0.01188465,long_short
a101_volume_low_alpha_min_84_120,btc_trend_regime,SIDEWAYS,32,0.0005260259375,4.6179999999999995e-05,0.0038848544489261142,0.59375,-0.01536832,0.00966649,long_short
a101_volume_low_alpha_min_84_120,btc_trend_regime,BEAR,8,0.03691484645945885,0.04303590472495905,0.06422305737085011,0.75,-0.0579963128483217,0.1314635959089471,paper_return
a101_volume_low_alpha_min_84_120,btc_trend_regime,BULL,9,-0.03949954734667606,-0.0295528462134013,0.049335208310490666,0.2222222222222222,-0.1170154706231307,0.0254736204444887,paper_return
a101_volume_low_alpha_min_84_120,btc_trend_regime,SIDEWAYS,8,0.00776160415167961,-0.00797506355073625,0.09722067143712619,0.5,-0.0942408942296586,0.1815452877241896,paper_return
a101_volume_low_alpha_min_84_120,btc_vol_regime,HIGH_VOL,52,0.03901779442307692,0.03498968,0.022627999282066318,1.0,0.01003785,0.10715923,ic_rank
a101_volume_low_alpha_min_84_120,btc_vol_regime,LOW_VOL,48,0.04253690499999999,0.033196095,0.02655360310494027,1.0,0.01467822,0.12351564,ic_rank
a101_volume_low_alpha_min_84_120,btc_vol_regime,HIGH_VOL,52,0.000688910576923077,0.000109045,0.004801983670345043,0.6153846153846154,-0.01889593,0.01769301,long_short
a101_volume_low_alpha_min_84_120,btc_vol_regime,LOW_VOL,48,0.0006386437500000001,7.595e-06,0.004847040922562358,0.5,-0.01536832,0.01679416,long_short
a101_volume_low_alpha_min_84_120,btc_vol_regime,HIGH_VOL,13,0.01563614294051845,0.0059360534553212,0.08607748247991646,0.5384615384615384,-0.1067730263428771,0.1815452877241896,paper_return
