factor_id,check,status,detail
downside_vol_20h,marginal_info,OK,novelty=HIGHLY_REDUNDANT
downside_vol_20h,scorecard_not_stale,OK,"rankic=0.089635, coverage=0.9984"
downside_vol_20h,unified_profile,OK,score=40.1
downside_vol_20h,ls_btc_corr,OK,ls_btc_corr=-0.0953
downside_vol_20h,source_metadata,OK,All source metadata present
ema_12_26_gap,factor_values,OK,factor_values.parquet exists
ema_12_26_gap,factor_level_rankic,OK,4 horizon(s)
ema_12_26_gap,period_ic,OK,100 rows
ema_12_26_gap,period_ls,OK,100 rows
ema_12_26_gap,ls_aggregate,MISSING,LS aggregate fields are NaN
ema_12_26_gap,cumulative_ls,OK,100 rows
ema_12_26_gap,paper_payload,OK,Present in payload
ema_12_26_gap,regime_btc,OK,regime=VOL_DEPENDENT
ema_12_26_gap,quantile_shape,OK,shape=NO_CLEAR_SHAPE
ema_12_26_gap,rolling_stability,OK,stability=
ema_12_26_gap,decile_shape,OK,shape=DECILE_MONOTONIC_WEAK
ema_12_26_gap,capacity_liquidity,OK,class=
ema_12_26_gap,pairwise_redundancy,OK,77 pairs
ema_12_26_gap,cluster,OK,cluster=1
ema_12_26_gap,marginal_info,OK,novelty=HIGHLY_REDUNDANT
ema_12_26_gap,scorecard_not_stale,OK,"rankic=-0.028321, coverage=1.0000"
ema_12_26_gap,unified_profile,OK,score=51.6
ema_12_26_gap,ls_btc_corr,OK,ls_btc_corr=0.1169
ema_12_26_gap,source_metadata,OK,All source metadata present
funding_rate_change_24h,factor_values,OK,factor_values.parquet exists
funding_rate_change_24h,factor_level_rankic,OK,4 horizon(s)
funding_rate_change_24h,period_ic,OK,96 rows
funding_rate_change_24h,period_ls,OK,96 rows
funding_rate_change_24h,ls_aggregate,MISSING,LS aggregate fields are NaN
funding_rate_change_24h,cumulative_ls,OK,96 rows
funding_rate_change_24h,paper_payload,OK,Present in payload
funding_rate_change_24h,regime_btc,OK,regime=REGIME_ROBUST
funding_rate_change_24h,quantile_shape,OK,shape=WEAK_MONOTONIC
funding_rate_change_24h,rolling_stability,OK,stability=
funding_rate_change_24h,decile_shape,OK,shape=DECILE_MONOTONIC_WEAK
funding_rate_change_24h,capacity_liquidity,OK,class=
funding_rate_change_24h,pairwise_redundancy,OK,77 pairs
funding_rate_change_24h,cluster,OK,cluster=8
funding_rate_change_24h,marginal_info,OK,novelty=INSUFFICIENT_OVERLAP
funding_rate_change_24h,scorecard_not_stale,OK,"rankic=-0.006731, coverage=0.8783"
funding_rate_change_24h,unified_profile,OK,score=49.5
funding_rate_change_24h,ls_btc_corr,OK,ls_btc_corr=-0.1411
funding_rate_change_24h,source_metadata,OK,All source metadata present
funding_rate_level_20h,factor_values,OK,factor_values.parquet exists
funding_rate_level_20h,factor_level_rankic,OK,4 horizon(s)
funding_rate_level_20h,period_ic,OK,96 rows
funding_rate_level_20h,period_ls,OK,96 rows
funding_rate_level_20h,ls_aggregate,MISSING,LS aggregate fields are NaN
funding_rate_level_20h,cumulative_ls,OK,96 rows
funding_rate_level_20h,paper_payload,OK,Present in payload
funding_rate_level_20h,regime_btc,OK,regime=BULL_DEPENDENT
funding_rate_level_20h,quantile_shape,OK,shape=WEAK_MONOTONIC
funding_rate_level_20h,rolling_stability,OK,stability=
funding_rate_level_20h,decile_shape,OK,shape=NONLINEAR_MIXED
funding_rate_level_20h,capacity_liquidity,OK,class=
funding_rate_level_20h,pairwise_redundancy,OK,77 pairs
funding_rate_level_20h,cluster,OK,cluster=9
funding_rate_level_20h,marginal_info,OK,novelty=LIKELY_DISTINCT
funding_rate_level_20h,scorecard_not_stale,OK,"rankic=-0.044669, coverage=0.8784"
funding_rate_level_20h,unified_profile,OK,score=74.6
funding_rate_level_20h,ls_btc_corr,OK,ls_btc_corr=0.0243
funding_rate_level_20h,source_metadata,OK,All source metadata present
funding_rate_zscore_80h,factor_values,OK,factor_values.parquet exists
funding_rate_zscore_80h,factor_level_rankic,OK,4 horizon(s)
funding_rate_zscore_80h,period_ic,OK,96 rows
funding_rate_zscore_80h,period_ls,OK,96 rows
funding_rate_zscore_80h,ls_aggregate,MISSING,LS aggregate fields are NaN
funding_rate_zscore_80h,cumulative_ls,OK,96 rows
funding_rate_zscore_80h,paper_payload,OK,Present in payload
funding_rate_zscore_80h,regime_btc,OK,regime=REGIME_ROBUST
funding_rate_zscore_80h,quantile_shape,OK,shape=NO_CLEAR_SHAPE
funding_rate_zscore_80h,rolling_stability,OK,stability=
funding_rate_zscore_80h,decile_shape,OK,shape=NONLINEAR_MIXED
funding_rate_zscore_80h,capacity_liquidity,OK,class=
funding_rate_zscore_80h,pairwise_redundancy,OK,77 pairs
funding_rate_zscore_80h,cluster,OK,cluster=10
funding_rate_zscore_80h,marginal_info,OK,novelty=LIKELY_DISTINCT
funding_rate_zscore_80h,scorecard_not_stale,OK,"rankic=-0.013803, coverage=0.7548"
funding_rate_zscore_80h,unified_profile,OK,score=54.8
funding_rate_zscore_80h,ls_btc_corr,OK,ls_btc_corr=-0.2534
funding_rate_zscore_80h,source_metadata,OK,All source metadata present
intraday_ret,factor_values,OK,factor_values.parquet exists
intraday_ret,factor_level_rankic,OK,4 horizon(s)
intraday_ret,period_ic,OK,100 rows
intraday_ret,period_ls,OK,100 rows
intraday_ret,ls_aggregate,MISSING,LS aggregate fields are NaN
intraday_ret,cumulative_ls,OK,100 rows
intraday_ret,paper_payload,OK,Present in payload
intraday_ret,regime_btc,OK,regime=BEAR_DEPENDENT
intraday_ret,quantile_shape,OK,shape=WEAK_MONOTONIC
intraday_ret,rolling_stability,OK,stability=
intraday_ret,decile_shape,OK,shape=NONLINEAR_MIXED
intraday_ret,capacity_liquidity,OK,class=
intraday_ret,pairwise_redundancy,OK,77 pairs
intraday_ret,cluster,OK,cluster=3
intraday_ret,marginal_info,OK,novelty=HIGHLY_REDUNDANT
intraday_ret,scorecard_not_stale,OK,"rankic=-0.036555, coverage=1.0000"
intraday_ret,unified_profile,OK,score=38.3
intraday_ret,ls_btc_corr,OK,ls_btc_corr=-0.0073
intraday_ret,source_metadata,OK,All source metadata present
klow_close,factor_values,OK,factor_values.parquet exists
klow_close,factor_level_rankic,OK,4 horizon(s)
klow_close,period_ic,OK,100 rows
klow_close,period_ls,OK,100 rows
klow_close,ls_aggregate,MISSING,LS aggregate fields are NaN
klow_close,cumulative_ls,OK,100 rows
klow_close,paper_payload,OK,Present in payload
klow_close,regime_btc,OK,regime=REGIME_ROBUST
klow_close,quantile_shape,OK,shape=MIXED_SHAPE
klow_close,rolling_stability,OK,stability=
klow_close,decile_shape,OK,shape=NONLINEAR_MIXED
klow_close,capacity_liquidity,OK,class=
klow_close,pairwise_redundancy,OK,77 pairs
klow_close,cluster,OK,cluster=11
klow_close,marginal_info,OK,novelty=NEEDS_REVIEW
klow_close,scorecard_not_stale,OK,"rankic=-0.054766, coverage=1.0000"
klow_close,unified_profile,OK,score=54.3
klow_close,ls_btc_corr,OK,ls_btc_corr=0.0680
klow_close,source_metadata,OK,All source metadata present
ksft_5h,factor_values,OK,factor_values.parquet exists
ksft_5h,factor_level_rankic,OK,4 horizon(s)
ksft_5h,period_ic,OK,100 rows
ksft_5h,period_ls,OK,100 rows
ksft_5h,ls_aggregate,MISSING,LS aggregate fields are NaN
ksft_5h,cumulative_ls,OK,100 rows
ksft_5h,paper_payload,OK,Present in payload
ksft_5h,regime_btc,OK,regime=REGIME_ROBUST
ksft_5h,quantile_shape,OK,shape=NO_CLEAR_SHAPE
ksft_5h,rolling_stability,OK,stability=
ksft_5h,decile_shape,OK,shape=NONLINEAR_MIXED
ksft_5h,capacity_liquidity,OK,class=
ksft_5h,pairwise_redundancy,OK,77 pairs
ksft_5h,cluster,OK,cluster=12
ksft_5h,marginal_info,OK,novelty=LIKELY_DISTINCT
ksft_5h,scorecard_not_stale,OK,"rankic=-0.007409, coverage=0.9996"
ksft_5h,unified_profile,OK,score=55.6
ksft_5h,ls_btc_corr,OK,ls_btc_corr=0.1737
ksft_5h,source_metadata,OK,All source metadata present
ma_gap_10_40,factor_values,OK,factor_values.parquet exists
ma_gap_10_40,factor_level_rankic,OK,4 horizon(s)
ma_gap_10_40,period_ic,OK,100 rows
