factor_id,horizon,expected_direction,holding_hours,status,skip_reason,warning,direction_handling,strategy_return_convention,return_timestamp_convention,eligible_source,best_horizon_source,universe_source,quantile_method,long_quantile,short_quantile,memory_mode,output_path,n_input_rows,n_signal_timestamps,n_return_hours,first_return_ts,last_return_ts,gross_total_return,gross_annualized_return,gross_annualized_vol,gross_sharpe,max_drawdown,hourly_win_rate,mean_hourly_return,std_hourly_return,active_sleeve_count_mean,active_sleeve_count_median,active_sleeve_count_min,active_sleeve_count_max,missing_return_hour_rate,runtime_seconds
mom_5h,1h,positive,1,OK,,,positive_aligned,long_mean_minus_short_mean_spread,"realized_1h_return[return_start_ts, symbol] = close[return_start_ts+1h] / close[return_start_ts] - 1",factor_library_state.json + factor_values.parquet + coverage_summary,factor_level_coverage_summary.csv (primary) / factor_diagnostics_summary.csv (fallback),universe_snapshots.parquet (monthly volume top50),cross-sectional_rank_pct,0.8,0.2,factor_by_factor_streaming,/root/clawd/jerry/momentum/research/factor_runs/crypto_top50_factor_library/factor_diagnostics/overlapping_sleeve_strategy_returns/mom_5h__1h.parquet,9948777,17803,17803,2024-06-01 06:00:00+00:00,2026-06-13 00:00:00+00:00,-0.197,0.167,0.7412,0.2254,-0.8044,0.4875,0.0,0.0079,1.0,1.0,1,1,0.0001,4.38
mom_72h,24h,positive,24,OK,,,positive_aligned,long_mean_minus_short_mean_spread,"realized_1h_return[return_start_ts, symbol] = close[return_start_ts+1h] / close[return_start_ts] - 1",factor_library_state.json + factor_values.parquet + coverage_summary,factor_level_coverage_summary.csv (primary) / factor_diagnostics_summary.csv (fallback),universe_snapshots.parquet (monthly volume top50),cross-sectional_rank_pct,0.8,0.2,factor_by_factor_streaming,/root/clawd/jerry/momentum/research/factor_runs/crypto_top50_factor_library/factor_diagnostics/overlapping_sleeve_strategy_returns/mom_72h__24h.parquet,3316259,17736,17759,2024-06-04 01:00:00+00:00,2026-06-13 23:00:00+00:00,-0.4021,-0.0391,0.655,-0.0598,-0.7755,0.5043,-0.0,0.007,23.9689,24.0,1,24,0.0007,11.16
mom_accel_20h,4h,positive,4,OK,,,positive_aligned,long_mean_minus_short_mean_spread,"realized_1h_return[return_start_ts, symbol] = close[return_start_ts+1h] / close[return_start_ts] - 1",factor_library_state.json + factor_values.parquet + coverage_summary,factor_level_coverage_summary.csv (primary) / factor_diagnostics_summary.csv (fallback),universe_snapshots.parquet (monthly volume top50),cross-sectional_rank_pct,0.8,0.2,factor_by_factor_streaming,/root/clawd/jerry/momentum/research/factor_runs/crypto_top50_factor_library/factor_diagnostics/overlapping_sleeve_strategy_returns/mom_accel_20h__4h.parquet,9948777,17783,17786,2024-06-02 02:00:00+00:00,2026-06-13 03:00:00+00:00,0.3799,0.3336,0.5917,0.5637,-0.4685,0.498,0.0,0.0063,3.9993,4.0,1,4,0.0001,5.0
qvol_ma_ratio_5_20,1h,positive,1,OK,,,positive_aligned,long_mean_minus_short_mean_spread,"realized_1h_return[return_start_ts, symbol] = close[return_start_ts+1h] / close[return_start_ts] - 1",factor_library_state.json + factor_values.parquet + coverage_summary,factor_level_coverage_summary.csv (primary) / factor_diagnostics_summary.csv (fallback),universe_snapshots.parquet (monthly volume top50),cross-sectional_rank_pct,0.8,0.2,factor_by_factor_streaming,/root/clawd/jerry/momentum/research/factor_runs/crypto_top50_factor_library/factor_diagnostics/overlapping_sleeve_strategy_returns/qvol_ma_ratio_5_20__1h.parquet,9948777,17789,17789,2024-06-01 20:00:00+00:00,2026-06-13 00:00:00+00:00,-0.6103,-0.2672,0.6279,-0.4256,-0.7743,0.4942,-0.0,0.0067,1.0,1.0,1,1,0.0001,4.16
qvol_zscore_20h,4h,positive,4,OK,,,positive_aligned,long_mean_minus_short_mean_spread,"realized_1h_return[return_start_ts, symbol] = close[return_start_ts+1h] / close[return_start_ts] - 1",factor_library_state.json + factor_values.parquet + coverage_summary,factor_level_coverage_summary.csv (primary) / factor_diagnostics_summary.csv (fallback),universe_snapshots.parquet (monthly volume top50),cross-sectional_rank_pct,0.8,0.2,factor_by_factor_streaming,/root/clawd/jerry/momentum/research/factor_runs/crypto_top50_factor_library/factor_diagnostics/overlapping_sleeve_strategy_returns/qvol_zscore_20h__4h.parquet,9948777,17789,17792,2024-06-01 20:00:00+00:00,2026-06-13 03:00:00+00:00,-0.5053,-0.2439,0.4533,-0.538,-0.661,0.4934,-0.0,0.0048,3.9993,4.0,1,4,0.0001,5.06
qvol_zscore_48h,4h,positive,4,OK,,,positive_aligned,long_mean_minus_short_mean_spread,"realized_1h_return[return_start_ts, symbol] = close[return_start_ts+1h] / close[return_start_ts] - 1",factor_library_state.json + factor_values.parquet + coverage_summary,factor_level_coverage_summary.csv (primary) / factor_diagnostics_summary.csv (fallback),universe_snapshots.parquet (monthly volume top50),cross-sectional_rank_pct,0.8,0.2,factor_by_factor_streaming,/root/clawd/jerry/momentum/research/factor_runs/crypto_top50_factor_library/factor_diagnostics/overlapping_sleeve_strategy_returns/qvol_zscore_48h__4h.parquet,9948777,17761,17764,2024-06-03 00:00:00+00:00,2026-06-13 03:00:00+00:00,-0.634,-0.3745,0.4927,-0.7601,-0.7788,0.4948,-0.0,0.0053,3.9993,4.0,1,4,0.0001,5.05
rev_10h,4h,positive,4,OK,,,positive_aligned,long_mean_minus_short_mean_spread,"realized_1h_return[return_start_ts, symbol] = close[return_start_ts+1h] / close[return_start_ts] - 1",factor_library_state.json + factor_values.parquet + coverage_summary,factor_level_coverage_summary.csv (primary) / factor_diagnostics_summary.csv (fallback),universe_snapshots.parquet (monthly volume top50),cross-sectional_rank_pct,0.8,0.2,factor_by_factor_streaming,/root/clawd/jerry/momentum/research/factor_runs/crypto_top50_factor_library/factor_diagnostics/overlapping_sleeve_strategy_returns/rev_10h__4h.parquet,9948777,17798,17801,2024-06-01 11:00:00+00:00,2026-06-13 03:00:00+00:00,-0.7999,-0.5748,0.6583,-0.873,-0.8403,0.5019,-0.0001,0.007,3.9993,4.0,1,4,0.0001,5.31
rev_1h,1h,positive,1,OK,,,positive_aligned,long_mean_minus_short_mean_spread,"realized_1h_return[return_start_ts, symbol] = close[return_start_ts+1h] / close[return_start_ts] - 1",factor_library_state.json + factor_values.parquet + coverage_summary,factor_level_coverage_summary.csv (primary) / factor_diagnostics_summary.csv (fallback),universe_snapshots.parquet (monthly volume top50),cross-sectional_rank_pct,0.8,0.2,factor_by_factor_streaming,/root/clawd/jerry/momentum/research/factor_runs/crypto_top50_factor_library/factor_diagnostics/overlapping_sleeve_strategy_returns/rev_1h__1h.parquet,3316259,17807,17807,2024-06-01 02:00:00+00:00,2026-06-13 00:00:00+00:00,0.0187,0.2767,0.7309,0.3786,-0.7765,0.517,0.0,0.0078,1.0,1.0,1,1,0.0001,3.81
rev_24h,4h,positive,4,OK,,,positive_aligned,long_mean_minus_short_mean_spread,"realized_1h_return[return_start_ts, symbol] = close[return_start_ts+1h] / close[return_start_ts] - 1",factor_library_state.json + factor_values.parquet + coverage_summary,factor_level_coverage_summary.csv (primary) / factor_diagnostics_summary.csv (fallback),universe_snapshots.parquet (monthly volume top50),cross-sectional_rank_pct,0.8,0.2,factor_by_factor_streaming,/root/clawd/jerry/momentum/research/factor_runs/crypto_top50_factor_library/factor_diagnostics/overlapping_sleeve_strategy_returns/rev_24h__4h.parquet,9948777,17784,17787,2024-06-02 01:00:00+00:00,2026-06-13 03:00:00+00:00,-0.4548,-0.0588,0.6926,-0.0849,-0.6425,0.4974,-0.0,0.0074,3.9993,4.0,1,4,0.0001,5.08
rev_3h,1h,positive,1,OK,,,positive_aligned,long_mean_minus_short_mean_spread,"realized_1h_return[return_start_ts, symbol] = close[return_start_ts+1h] / close[return_start_ts] - 1",factor_library_state.json + factor_values.parquet + coverage_summary,factor_level_coverage_summary.csv (primary) / factor_diagnostics_summary.csv (fallback),universe_snapshots.parquet (monthly volume top50),cross-sectional_rank_pct,0.8,0.2,factor_by_factor_streaming,/root/clawd/jerry/momentum/research/factor_runs/crypto_top50_factor_library/factor_diagnostics/overlapping_sleeve_strategy_returns/rev_3h__1h.parquet,9948777,17805,17805,2024-06-01 04:00:00+00:00,2026-06-13 00:00:00+00:00,-0.2941,0.1035,0.741,0.1396,-0.6647,0.511,0.0,0.0079,1.0,1.0,1,1,0.0001,4.27
