factor_id,family,n_months,avg_long_count,avg_short_count,avg_turnover,median_turnover,p90_turnover,ref_volume_median_hourly,ref_volume_p10_hourly,volume_concentration_top5,capacity_risk_class,liquidity_risk_class,capacity_liquidity_class,flags,gross_sharpe,cost_sensitivity_class,paper_viability_class,regime_dependency_class,quantile_shape_class,stability_class,stability_score,decile_shape_class,final_quality_class,quality_score,novelty_assessment,participation_100000,p10_participation_100000,capacity_usd_100000,stress_capacity_usd_100000,participation_1000000,p10_participation_1000000,capacity_usd_1000000,stress_capacity_usd_1000000,participation_10000000,p10_participation_10000000,capacity_usd_10000000,stress_capacity_usd_10000000
mom_20h,mom,25,36,36,0.174605,0.174287,0.180386,4049099.1,1163061.04,0.7995,CAPACITY_FRIENDLY,LIQUIDITY_FRIENDLY,CAPACITY_LIQUIDITY_OK,BALANCED_CANDIDATE,2.3498,COST_COLLAPSED,PAPER_MIXED,VOL_DEPENDENT,NO_CLEAR_SHAPE,STABLE_WEAK,62.8,BOTH_TAILS_U_SHAPED,PROMISING_BUT_INCONSISTENT,71.5,HIGHLY_REDUNDANT,6e-05,0.000209,83484285.34,23979981.1,0.000599,0.002085,83484285.34,23979981.1,0.005989,0.020851,83484285.34,23979981.1
mom_40h,mom,25,36,36,0.124619,0.124408,0.130112,4049099.1,1163061.04,0.7995,CAPACITY_FRIENDLY,LIQUIDITY_FRIENDLY,CAPACITY_LIQUIDITY_OK,BALANCED_CANDIDATE,1.1011,COST_COLLAPSED,PAPER_MIXED,BEAR_DEPENDENT,NO_CLEAR_SHAPE,STABLE_WEAK,65.6,NONLINEAR_MIXED,PROMISING_BUT_INCONSISTENT,67.5,HIGHLY_REDUNDANT,4.3e-05,0.000149,116970869.09,33598649.35,0.000427,0.001488,116970869.09,33598649.35,0.004275,0.014882,116970869.09,33598649.35
mom_5h,mom,25,36,36,0.344342,0.344032,0.358688,4049099.1,1163061.04,0.7995,CAPACITY_FRIENDLY,LIQUIDITY_FRIENDLY,CAPACITY_LIQUIDITY_OK,BALANCED_CANDIDATE,-0.4298,INSUFFICIENT_DATA,PAPER_REVIEW_REQUIRED,BEAR_DEPENDENT,NO_CLEAR_SHAPE,STABLE_WEAK,60.4,NONLINEAR_MIXED,PROMISING_BUT_INCONSISTENT,64.5,HIGHLY_REDUNDANT,0.000118,0.000411,42332149.9,12159463.91,0.001181,0.004112,42332149.9,12159463.91,0.011811,0.04112,42332149.9,12159463.91
mom_72h,mom,25,36,36,0.093679,0.092829,0.099339,4049099.1,1163061.04,0.7995,CAPACITY_FRIENDLY,LIQUIDITY_FRIENDLY,CAPACITY_LIQUIDITY_OK,BALANCED_CANDIDATE,0.1103,COST_COLLAPSED,PAPER_WEAK,VOL_DEPENDENT,NO_CLEAR_SHAPE,STABLE_WEAK,64.4,NONLINEAR_MIXED,PROMISING_BUT_INCONSISTENT,63.7,HIGHLY_REDUNDANT,3.2e-05,0.000112,155603501.01,44695465.71,0.000321,0.001119,155603501.01,44695465.71,0.003213,0.011187,155603501.01,44695465.71
mom_accel_20h,mom_accel,25,36,36,0.340876,0.33951,0.353625,4049099.1,1163061.04,0.7995,CAPACITY_FRIENDLY,LIQUIDITY_FRIENDLY,CAPACITY_LIQUIDITY_OK,BALANCED_CANDIDATE,-0.1586,INSUFFICIENT_DATA,PAPER_REVIEW_REQUIRED,REGIME_ROBUST,NO_CLEAR_SHAPE,STABLE_WEAK,58.8,NONLINEAR_MIXED,PROMISING_BUT_INCONSISTENT,61.0,INSUFFICIENT_OVERLAP,0.000117,0.000407,42762664.73,12283124.75,0.001169,0.004071,42762664.73,12283124.75,0.011692,0.040706,42762664.73,12283124.75
price_pos_120h,price_pos,25,36,36,0.134313,0.131974,0.153629,4049099.1,1163061.04,0.7995,CAPACITY_FRIENDLY,LIQUIDITY_FRIENDLY,CAPACITY_LIQUIDITY_OK,BALANCED_CANDIDATE,2.0016,COST_COLLAPSED,PAPER_MIXED,REGIME_ROBUST,NO_CLEAR_SHAPE,STABLE_WEAK,65.2,NONLINEAR_MIXED,PROMISING_BUT_INCONSISTENT,61.2,INSUFFICIENT_OVERLAP,4.6e-05,0.00016,108528026.66,31173531.85,0.000461,0.001604,108528026.66,31173531.85,0.004607,0.016039,108528026.66,31173531.85
price_pos_24h,price_pos,25,36,36,0.278621,0.281347,0.290739,4049099.1,1163061.04,0.7995,CAPACITY_FRIENDLY,LIQUIDITY_FRIENDLY,CAPACITY_LIQUIDITY_OK,BALANCED_CANDIDATE,1.2781,COST_COLLAPSED,PAPER_MIXED,BEAR_DEPENDENT,NO_CLEAR_SHAPE,STABLE_WEAK,64.4,NONLINEAR_MIXED,PROMISING_BUT_INCONSISTENT,59.6,INSUFFICIENT_OVERLAP,9.6e-05,0.000333,52317465.11,15027640.46,0.000956,0.003327,52317465.11,15027640.46,0.009557,0.033272,52317465.11,15027640.46
price_pos_72h,price_pos,25,36,36,0.173084,0.176351,0.187239,4049099.1,1163061.04,0.7995,CAPACITY_FRIENDLY,LIQUIDITY_FRIENDLY,CAPACITY_LIQUIDITY_OK,BALANCED_CANDIDATE,1.676,COST_COLLAPSED,PAPER_MIXED,REGIME_ROBUST,NO_CLEAR_SHAPE,STABLE_WEAK,65.2,NONLINEAR_MIXED,PROMISING_BUT_INCONSISTENT,57.3,HIGHLY_REDUNDANT,5.9e-05,0.000207,84217912.21,24190707.68,0.000594,0.002067,84217912.21,24190707.68,0.005937,0.020669,84217912.21,24190707.68
price_volume_corr_20h,price_volume_corr,25,36,36,0.129925,0.130457,0.134965,4049099.1,1163061.04,0.7995,CAPACITY_FRIENDLY,LIQUIDITY_FRIENDLY,CAPACITY_LIQUIDITY_OK,BALANCED_CANDIDATE,0.9164,COST_COLLAPSED,PAPER_MIXED,REGIME_ROBUST,WEAK_MONOTONIC,STABLE_WEAK,62.8,NONLINEAR_MIXED,PROMISING_BUT_INCONSISTENT,67.0,HIGHLY_REDUNDANT,4.5e-05,0.000155,112193438.76,32226382.84,0.000446,0.001552,112193438.76,32226382.84,0.004457,0.015515,112193438.76,32226382.84
q158_high_low_range,q158_high_low,25,36,36,0.432964,0.428196,0.466985,4049099.1,1163061.04,0.7995,CAPACITY_FRIENDLY,LIQUIDITY_FRIENDLY,CAPACITY_LIQUIDITY_OK,BALANCED_CANDIDATE,1.7373,COST_COLLAPSED,PAPER_MIXED,BULL_DEPENDENT,NO_CLEAR_SHAPE,STABLE_WEAK,58.6,NONLINEAR_MIXED,PROMISING_BUT_INCONSISTENT,69.4,HIGHLY_REDUNDANT,0.000149,0.000517,33667384.0,9670601.22,0.001485,0.00517,33667384.0,9670601.22,0.014851,0.051703,33667384.0,9670601.22
