,a101_vol_xs_z_product_112h,a101_volume_cap_alpha_min_56_84,a101_volume_cap_alpha_min_80_80,a101_volume_high_alpha_min_84_84,a101_volume_low_alpha_min_84_120,a101_volume_xs_z_mean_neg_112h,amihud_illiquidity_20h,bb_zscore_20h,breakout_dist_20h,breakout_dist_48h,candle_body,candle_wick_lower,candle_wick_upper,clv_20h,downside_vol_20h,ema_12_26_gap,funding_rate_change_24h,funding_rate_level_20h,funding_rate_zscore_80h,intraday_ret,klow_close,ksft_5h,ma_gap_10_40,ma_gap_20_80,ma_gap_5_20,mom_10h,mom_120h,mom_20h,mom_40h,mom_5h,mom_72h,mom_accel_20h,mom_vol_adjusted_20h,price_pos_120h,price_pos_24h,price_pos_72h,price_volume_corr_20h,q158_beta_20h,q158_close_close_4h,q158_cntd_20h,q158_cntn_20h,q158_cntp_20h,q158_cord_20h,q158_corr_20h,q158_high_close_0h,q158_high_close_1h,q158_high_close_2h,q158_high_close_3h,q158_high_close_4h,q158_high_low_range,q158_imax_20h,q158_imin_20h,q158_imxd_20h,q158_klen_open,q158_klow_open,q158_klow_range,q158_kmid_open,q158_kmid_range,q158_ksft_open,q158_ksft_range,q158_kup_open,q158_kup_range,q158_low_close_0h,q158_low_close_1h,q158_low_close_2h,q158_low_close_3h,q158_low_close_4h,q158_ma_10h,q158_ma_20h,q158_ma_30h,q158_ma_5h,q158_max_10h,q158_max_20h,q158_max_30h,q158_max_5h,q158_min_10h,q158_min_20h,q158_min_30h,q158_min_5h,q158_open_close_0h,q158_open_close_1h,q158_open_close_2h,q158_open_close_3h,q158_open_close_4h,q158_qtld_20h,q158_qtlu_20h,q158_rank_close_20h,q158_resi_20h,q158_roc_20h,q158_rsqr_20h,q158_rsv_20h,q158_std_10h,q158_std_20h,q158_std_30h,q158_std_5h,q158_sumd_20h,q158_sumn_20h,q158_sump_20h,q158_vma_20h,q158_volume_ratio_1h,q158_volume_ratio_2h,q158_volume_ratio_3h,q158_volume_ratio_4h,q158_vstd_20h,q158_vsumd_20h,q158_vsumn_20h,q158_vsump_20h,q158_wvma_20h,qvol_ma_ratio_20_80,qvol_ma_ratio_5_20,qvol_zscore_20h,qvol_zscore_48h,range_1h,range_24h,range_4h,range_breakout_vol_confirm_20h,realized_kurt_20h,realized_skew_20h,rev_10h,rev_1h,rev_24h,rev_2h,rev_3h,rev_72h,reversal_5h,rsi_14h,rsi_28h,rsi_7h,taker_buy_delta_5h,taker_buy_ratio_20h,taker_buy_zscore_20h,tech_atr,tech_macd,trend_efficiency_24h,up_down_vol_ratio_20h,vol_40h,vol_5h,vol_of_vol_20h,vol_ratio_20_80,vol_ratio_5_20,vol_ret_corr_20h,vol_zscore_20h,vol_zscore_48h,volatility_20h,volume_pressure_20h,vwap_dev_20h,williams_r_14h,wq101_alpha101,wq101_alpha12,wq101_alpha53,wvma_20h,xs_rank_mom_accel,xs_rank_ret_1h,xs_rank_vol
a101_vol_xs_z_product_112h,1.0,,,,,-0.423504,,,,,,,,,,,,,,,,,0.020843,,,,,,0.051033,,,0.018561,,,-0.025477,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.038631,,,,0.005807,,,,0.050337,,,,,,,,,,,,,,,,-0.051575,,,,,,,,,,,,,,,,,,,,-0.013796,,,,,,,-0.01051,,,,,,0.109192,,,,,,,-0.080052,,0.01733,,0.011001,,,,,,,,,,,,,,0.018013,,
mom_5h,,,-0.042284,-0.015451,,,0.005348,0.665458,0.575619,,0.302193,-0.066598,0.066931,0.274145,-0.184034,0.374707,,0.057406,-0.007292,0.445683,-0.0243,0.168524,,0.047374,0.550281,0.720526,,0.54654,,1.0,0.263856,,0.461864,,,0.411185,0.269495,0.364127,-0.882592,0.338695,-0.321987,0.324522,0.274494,0.277638,-0.113105,-0.424567,-0.612066,-0.764455,-0.902481,0.139519,-0.282811,0.269769,-0.320859,0.171717,-0.014466,-0.066337,0.445683,0.301875,0.326774,0.215091,0.213811,0.066404,-0.328009,-0.536556,-0.681805,-0.809158,-0.927014,-0.922322,-0.77471,,-0.802374,-0.499307,-0.42824,,-0.477662,-0.626625,-0.544174,,-0.655512,-0.435901,-0.614782,-0.754973,-0.882571,-0.988821,-0.726108,-0.702287,0.608668,0.761858,-0.530368,0.003181,0.575556,0.095207,0.064489,,0.118718,0.471502,-0.471502,0.471502,-0.044996,-0.026453,-0.03234,-0.042834,-0.048032,-0.029866,0.109007,-0.109007,0.109007,0.045656,0.088223,0.134716,0.111816,,0.139519,,0.098787,0.382083,0.066791,0.262218,-0.720526,-0.446189,,-0.628158,-0.770142,-0.263856,-1.0,0.631412,,0.709041,0.086938,0.127453,0.111647,0.005623,0.203794,,0.39151,,0.144603,,0.028501,0.04915,0.283611,0.083209,,0.095742,0.199124,0.755869,-0.614426,0.291322,-0.080321,-0.084858,0.114237,,0.2309,0.016938
mom_72h,,,-0.167614,-0.163902,,,-0.046479,0.304371,0.266541,,0.077544,-0.016053,0.020514,0.237526,-0.043066,0.69283,,-0.168119,0.026644,0.118857,0.065583,0.034063,,0.880361,0.448338,0.37814,,0.504992,,0.263856,1.0,,0.416206,,,0.621203,0.357374,0.465971,-0.221644,0.322073,-0.300817,0.314058,0.358108,0.395207,0.076922,-0.038882,-0.10106,-0.146054,-0.183821,0.169735,-0.277323,0.27204,-0.318932,0.178167,0.068488,-0.016296,0.118857,0.077455,0.072627,0.054422,0.164939,0.019852,-0.171223,-0.191662,-0.215325,-0.239618,-0.264816,-0.30392,-0.434006,,-0.201999,-0.04176,-0.156408,,0.021708,-0.28349,-0.361375,,-0.222296,-0.110311,-0.154847,-0.190855,-0.221667,-0.252461,-0.444595,-0.353849,0.292585,0.006344,-0.49968,-0.007843,0.266534,0.155227,0.136246,,0.149578,0.41708,-0.41708,0.41708,-0.026843,-0.00976,-0.014194,-0.016425,-0.01501,-0.03441,0.059021,-0.059021,0.059021,-0.013344,0.262227,0.08735,0.050217,,0.169735,,0.165538,0.192089,0.03504,0.227458,-0.37814,-0.118846,,-0.16598,-0.202423,-1.0,-0.263856,0.509694,,0.34178,0.001452,0.12089,0.000488,0.108776,-0.061893,,0.361632,,0.174163,,0.086984,0.019917,0.346878,0.034419,,0.201415,0.192719,0.342826,-0.208321,0.078509,-0.039848,0.006326,0.125985,,0.053141,0.066195
mom_accel_20h,0.018561,,,,,0.013941,,,,,,,,,,,-0.033258,,,,,,-0.171771,,,,,,-0.067938,,,1.0,,,0.340026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.306125,,,,-0.204719,,,,-0.086233,,,,,,,,,,,,,,,,-0.102152,,,,,,,,,,,,,,,,,,,,-0.114095,,,,,,,-0.000144,,,,,,0.161013,,,,,,,-0.02104,,-0.05758,,-0.058368,,,,,,,,,,,,,,0.584783,,
mom_vol_adjusted_20h,,,-0.047991,-0.024089,,,-0.009199,0.749216,0.78757,,0.196301,-0.044476,0.043362,0.592133,-0.250714,0.749596,,0.014007,0.183286,0.214825,-0.008735,0.105952,,0.34498,0.743254,0.62287,,0.82959,,0.461864,0.416206,,1.0,,,0.708651,0.603214,0.793161,-0.41608,0.752583,-0.716117,0.720597,0.618823,0.441668,-0.03015,-0.183519,-0.271347,-0.341281,-0.400634,0.093039,-0.703545,0.700562,-0.815337,0.103361,-0.005148,-0.044252,0.214825,0.196119,0.147059,0.139405,0.133832,0.042912,-0.169465,-0.266516,-0.33398,-0.391339,-0.442118,-0.550229,-0.758918,,-0.381622,-0.306997,-0.514007,,-0.172262,-0.41398,-0.580009,,-0.299543,-0.211078,-0.294534,-0.359911,-0.415978,-0.465292,-0.693035,-0.694445,0.735837,0.04534,-0.871596,-0.06463,0.787417,0.069934,0.015649,,0.080491,0.991804,-0.991804,0.991804,-0.05868,-0.022605,-0.024671,-0.02568,-0.028243,-0.041545,0.09282,-0.09282,0.09282,-0.002403,0.185052,0.144776,0.106725,,0.093039,,0.079307,0.216789,0.046313,0.392087,-0.62287,-0.215121,,-0.297769,-0.362364,-0.416206,-0.461864,0.887898,,0.786239,0.002039,0.267162,0.003295,-0.003282,0.107116,,0.809713,,0.101387,,0.092255,0.024099,0.595609,0.076856,,0.101609,0.237514,0.73325,-0.633684,0.168658,-0.031977,-0.00605,0.060956,,0.118273,0.052069
price_pos_120h,,-0.097971,,,-0.063605,,,,,0.74048,,,,,,,,,,,,,,,,,0.609027,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.074962,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.036388,,,,,,,,,,,
price_pos_24h,-0.025477,,,,,0.026027,,,,,,,,,,,-0.043636,,,,,,0.478797,,,,,,0.413517,,,0.340026,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.726069,,,,-0.531352,,,,-0.548414,,,,,,,,,,,,,,,,-0.060127,,,,,,,,,,,,,,,,,,,,-0.068393,,,,,,,-0.627414,,,,,,0.723656,,,,,,,-0.036625,,-0.003487,,0.011496,,,,,,,,,,,,,,0.235571,,
price_pos_72h,,,0.031439,0.006035,,,-0.037463,0.642392,0.653615,,0.212275,-0.036016,0.036549,0.417133,-0.229747,0.704438,,0.023676,0.140657,0.223616,-0.020863,0.091877,,0.603016,0.561893,0.511088,,0.599529,,0.411185,0.621203,,0.708651,,,1.0,0.488924,0.57844,-0.383843,0.527022,-0.497884,0.50821,0.493982,0.422985,-0.076418,-0.210878,-0.280337,-0.332928,-0.374962,0.049284,-0.520849,0.510999,-0.599049,0.059426,-0.017699,-0.035946,0.223616,0.212093,0.168096,0.158884,0.090632,0.035974,-0.15281,-0.255507,-0.314411,-0.359372,-0.397535,-0.487506,-0.610923,,-0.36586,-0.307379,-0.442115,,-0.204937,-0.349768,-0.442863,,-0.267739,-0.221391,-0.292246,-0.342729,-0.383583,-0.418513,-0.547595,-0.569041,0.629593,0.133533,-0.637192,-0.051097,0.653557,0.021443,-0.018866,,0.033223,0.714596,-0.714596,0.714596,-0.046889,-0.013679,-0.015001,-0.01661,-0.016399,-0.039829,0.067744,-0.067744,0.067744,0.007117,0.179647,0.108231,0.076573,,0.049284,,0.034159,0.232481,0.055685,0.341562,-0.511088,-0.224195,,-0.293084,-0.341889,-0.621203,-0.411185,0.814017,,0.67189,0.022109,0.190073,0.043614,-0.015997,0.058569,,0.584646,,0.056787,,0.055844,0.030889,0.485095,0.052251,,0.042709,0.171893,0.597188,-0.562448,0.181186,-0.032178,-0.022951,0.025638,,0.123241,0.059196
price_volume_corr_20h,,,-0.098956,-0.057027,,,-0.031555,0.451425,0.400662,,0.045509,-0.030067,0.027998,0.245501,-0.223964,0.554061,,-0.113501,0.063575,0.10235,-0.00555,0.160157,,0.338425,0.490755,0.391518,,0.548214,,0.269495,0.357374,,0.603214,,,0.488924,1.0,0.533912,-0.230222,0.325733,-0.307868,0.313941,0.991841,0.592359,0.024536,-0.067742,-0.12308,-0.171093,-0.215086,0.079722,-0.470217,0.445353,-0.531647,0.086777,-0.003313,-0.03049,0.10235,0.045367,0.05177,0.018491,0.107544,0.027441,-0.092662,-0.137141,-0.176377,-0.215297,-0.253208,-0.322632,-0.478989,,-0.199981,-0.11369,-0.258465,,-0.032284,-0.216383,-0.318071,,-0.145385,-0.098198,-0.146059,-0.18841,-0.230079,-0.26781,-0.442279,-0.438991,0.428937,-0.024601,-0.580711,-0.081321,0.400592,0.071513,0.020869,,0.076931,0.629971,-0.629971,0.629971,-0.035077,-0.017114,-0.021309,-0.024302,-0.023493,-0.040267,0.067431,-0.067431,0.067431,-0.024456,0.134544,0.095622,0.058549,,0.079722,,0.075907,0.230232,0.072659,0.584624,-0.391518,-0.102589,,-0.151064,-0.193692,-0.357374,-0.269495,0.576525,,0.452496,-0.016258,0.160813,-0.026365,0.053567,0.051003,,0.561604,,0.089368,,0.030485,0.008481,0.942694,0.041051,,0.104302,0.17758,0.385899,-0.285853,0.052392,-0.037989,0.010139,0.067824,,0.020843,0.020554
q158_beta_20h,,,-0.058987,-0.03321,,,-0.007852,0.575076,0.620888,,0.042497,-0.029686,0.024919,0.473451,-0.272188,0.882284,,0.016259,0.136419,0.070896,0.024757,0.078863,,0.378061,0.932198,0.703971,,0.889771,,0.364127,0.465971,,0.793161,,,0.57844,0.533912,1.0,-0.273224,0.586614,-0.558869,0.560992,0.549026,0.403262,0.082499,-0.014055,-0.093476,-0.177405,-0.265078,0.130364,-0.604833,0.601422,-0.700474,0.134844,0.026161,-0.029695,0.070896,0.042434,0.021742,0.017284,0.136577,0.024537,-0.107254,-0.130395,-0.179634,-0.24599,-0.321195,-0.468797,-0.824113,,-0.205477,-0.247463,-0.536427,,-0.029216,-0.387345,-0.60545,,-0.201877,-0.063653,-0.124292,-0.194643,-0.273126,-0.356725,-0.75505,-0.74853,0.580981,-0.174112,-0.908934,-0.060827,0.620726,0.106805,0.02418,,0.125273,0.797795,-0.797795,0.797795,-0.082772,-0.016973,-0.024672,-0.029456,-0.033263,-0.074482,0.091738,-0.091738,0.091738,-0.00987,0.203328,0.170575,0.101112,,0.130364,,0.120393,0.007192,0.047963,0.371289,-0.703971,-0.070978,,-0.134303,-0.205319,-0.465971,-0.364127,0.739313,,0.602702,-0.045763,0.192864,-0.06176,0.0127,0.161907,,0.64301,,0.152086,,0.074719,0.045576,0.523129,0.073167,,0.13038,0.284966,0.745396,-0.48907,0.046639,-0.023203,0.064448,0.089028,,0.025712,0.046345
q158_close_close_4h,,,0.027527,0.005835,,,-0.008552,-0.646486,-0.55489,,-0.34758,0.057713,-0.071581,-0.251474,0.205365,-0.284284,,-0.066543,-0.00025,-0.492245,0.064841,-0.144392,,-0.021399,-0.398003,-0.622912,,-0.466082,,-0.882592,-0.221644,,-0.41608,,,-0.383843,-0.230222,-0.273224,1.0,-0.306984,0.292432,-0.29353,-0.234599,-0.237073,0.197473,0.52178,0.727446,0.905896,0.927831,-0.065053,0.234158,-0.235589,0.272771,-0.098843,0.054091,0.057382,-0.492245,-0.34721,-0.370155,-0.256189,-0.177683,-0.071122,0.30563,0.5645,0.741935,0.901243,0.928214,0.884123,0.706421,,0.907208,0.529566,0.43689,,0.581739,0.543743,0.468076,,0.614398,0.487067,0.692012,0.857535,0.999439,0.888754,0.657568,0.662151,-0.584329,-0.789188,0.46551,-0.004473,-0.554819,-0.007308,-0.008152,,-0.002047,-0.426029,0.426029,-0.426029,0.019525,0.026,0.038215,0.037202,0.013732,0.014909,-0.074962,0.074962,-0.074962,-0.025237,-0.046761,-0.076529,-0.081219,,-0.065053,,0.010918,-0.451823,-0.044103,-0.235398,0.622912,0.492759,,0.695908,0.857585,0.221644,0.882592,-0.590462,,-0.690075,-0.102953,-0.120838,-0.139994,0.007742,-0.153866,,-0.35123,,-0.050217,,-0.0045,-0.026247,-0.247535,-0.053998,,-0.031158,-0.175336,-0.708572,0.598832,-0.333647,0.08346,0.109816,-0.046443,,-0.267255,-0.009609
q158_cntd_20h,,,0.025312,0.021879,,,-0.019779,0.569992,0.606407,,0.188454,-0.031763,0.034469,0.574919,-0.090072,0.551362,,0.01554,0.152467,0.161967,-0.009419,-0.057416,,0.263679,0.545156,0.454011,,0.610316,,0.338695,0.322073,,0.752583,,,0.527022,0.325733,0.586614,-0.306984,1.0,-0.954963,0.954047,0.335635,0.27482,-0.02754,-0.138664,-0.202515,-0.252146,-0.29419,0.064928,-0.539801,0.534249,-0.623679,0.070836,-0.007015,-0.031413,0.161967,0.188303,0.112797,0.140397,0.093169,0.034294,-0.125047,-0.199928,-0.250179,-0.291548,-0.326351,-0.40476,-0.55946,,-0.283655,-0.22617,-0.383092,,-0.127501,-0.313283,-0.437625,,-0.22882,-0.158993,-0.21975,-0.26814,-0.306906,-0.341979,-0.508983,-0.514923,0.579829,0.030354,-0.643897,-0.052399,0.60624,0.049463,0.008029,,0.059751,0.738251,-0.738251,0.738251,-0.035269,-0.011557,-0.007499,-0.008119,-0.010699,-0.006234,0.072832,-0.072832,0.072832,0.030876,0.136498,0.116289,0.086861,,0.064928,,0.062005,0.0955,0.030456,0.000506,-0.454011,-0.162245,,-0.222246,-0.269691,-0.322073,-0.338695,0.661943,,0.607688,0.003963,0.202183,0.002205,-0.013169,0.082115,,0.825981,,0.080615,,0.070476,0.030012,0.316867,0.064237,,0.070081,0.211482,0.55537,-0.501903,0.149989,-0.014015,-0.007689,0.063592,,0.113898,0.051588
q158_cntn_20h,,,-0.012132,-0.003417,,,-0.069789,-0.540441,-0.57624,,-0.179929,0.026578,-0.037882,-0.536202,0.105217,-0.525169,,-0.015426,-0.155516,-0.154054,0.006645,0.054893,,-0.249033,-0.518454,-0.431259,,-0.580051,,-0.321987,-0.300817,,-0.716117,,,-0.497884,-0.307868,-0.558869,0.292432,-0.954963,1.0,-0.822164,-0.319004,-0.251325,0.03028,0.135044,0.195348,0.242372,0.282076,-0.056139,0.521957,-0.49502,0.590534,-0.061738,0.004342,0.023122,-0.154054,-0.17974,-0.107149,-0.133566,-0.091215,-0.040811,0.114872,0.18761,0.235951,0.275457,0.308715,0.385417,0.532871,,0.270388,0.227909,0.380947,,0.131703,0.285652,0.401949,,0.207215,0.151532,0.209545,0.255657,0.292375,0.325639,0.475936,0.499327,-0.550357,-0.028696,0.613549,0.056246,-0.574911,-0.02919,0.015889,,-0.041504,-0.70202,0.70202,-0.70202,0.005202,-0.014576,-0.015005,-0.01051,-0.008288,-0.027723,-0.06912,0.06912,-0.06912,-0.040786,-0.114869,-0.112715,-0.084851,,-0.056139,,-0.045408,-0.077168,-0.024182,0.004904,0.431259,0.154426,,0.211562,0.256599,0.300817,0.321987,-0.628728,,-0.57674,-0.002861,-0.214533,-0.001838,0.025689,-0.077791,,-0.73124,,-0.06121,,-0.051084,-0.032602,-0.301694,-0.063346,,-0.042502,-0.196079,-0.530278,0.476746,-0.144122,0.012658,0.007028,-0.045941,,-0.109216,-0.092866
q158_cntp_20h,,,0.038608,0.040429,,,-0.108387,0.547712,0.581419,,0.179778,-0.034084,0.027863,0.561446,-0.066541,0.527241,,0.015575,0.148739,0.155103,-0.011357,-0.0547,,0.254307,0.52227,0.435409,,0.585075,,0.324522,0.314058,,0.720597,,,0.50821,0.313941,0.560992,-0.29353,0.954047,-0.822164,1.0,0.32169,0.273417,-0.022247,-0.129603,-0.191182,-0.238893,-0.279448,0.067847,-0.508458,0.525012,-0.60012,0.073527,-0.009071,-0.036903,0.155103,0.17968,0.108154,0.134419,0.086597,0.024569,-0.123851,-0.194031,-0.241604,-0.281061,-0.314237,-0.387206,-0.535152,,-0.271043,-0.203692,-0.350227,,-0.111568,-0.312479,-0.433634,,-0.229655,-0.151944,-0.209902,-0.256155,-0.293435,-0.327122,-0.495812,-0.483586,0.55657,0.029252,-0.615671,-0.043721,0.582441,0.065401,0.031449,,0.072696,0.707338,-0.707338,0.707338,-0.062408,-0.036882,-0.029533,-0.026183,-0.028889,-0.039957,0.069922,-0.069922,0.069922,0.018045,0.145831,0.109264,0.080949,,0.067847,,0.073077,0.103885,0.034007,0.005922,-0.435409,-0.155261,,-0.212655,-0.25818,-0.314058,-0.324522,0.634922,,0.583242,0.0047,0.170511,0.002365,0.00068,0.07895,,0.846128,,0.092821,,0.083598,0.024653,0.303218,0.059263,,0.091524,0.2077,0.529925,-0.481362,0.142156,-0.0141,-0.007652,0.075602,,0.108181,0.005184
q158_cord_20h,,,-0.099669,-0.060409,,,-0.025732,0.461661,0.412465,,0.045095,-0.029438,0.029511,0.253851,-0.240777,0.565394,,-0.103337,0.064667,0.102272,-0.010459,0.160063,,0.338278,0.504308,0.401333,,0.562255,,0.274494,0.358108,,0.618823,,,0.493982,0.991841,0.549026,-0.234599,0.335635,-0.319004,0.32169,1.0,0.5982,0.018605,-0.072479,-0.128334,-0.177197,-0.222308,0.071319,-0.480718,0.458209,-0.54521,0.078374,-0.008201,-0.029786,0.102272,0.044963,0.051469,0.01782,0.103349,0.02902,-0.086388,-0.133737,-0.17522,-0.216107,-0.255677,-0.329815,-0.491291,,-0.202974,-0.12781,-0.277359,,-0.042553,-0.211974,-0.318715,,-0.138063,-0.098404,-0.14765,-0.191321,-0.234437,-0.273489,-0.449639,-0.454058,0.440633,-0.027485,-0.595778,-0.082029,0.412371,0.060103,0.009273,,0.066406,0.644029,-0.644029,0.644029,-0.036309,-0.017989,-0.022547,-0.025033,-0.024935,-0.04129,0.066756,-0.066756,0.066756,-0.028005,0.130894,0.095742,0.059775,,0.071319,,0.064211,0.23016,0.067791,0.575017,-0.401333,-0.102531,,-0.152281,-0.196123,-0.358108,-0.274494,0.587389,,0.462893,-0.017702,0.167289,-0.02806,0.049446,0.057148,,0.57345,,0.077467,,0.022071,0.006542,0.959203,0.041833,,0.08958,0.182136,0.397715,-0.295591,0.052829,-0.039601,0.010841,0.057695,,0.02126,0.020559
q158_corr_20h,,,-0.067419,-0.054475,,,-0.02425,0.362493,0.189563,,0.042879,-0.024967,0.034284,0.199809,-0.102841,0.478613,,-0.182298,0.048118,0.086023,0.008829,0.076078,,0.370906,0.414865,0.372957,,0.416043,,0.277638,0.395207,,0.441668,,,0.422985,0.592359,0.403262,-0.237073,0.27482,-0.251325,0.273417,0.5982,1.0,0.045897,-0.052491,-0.117768,-0.172084,-0.219259,0.095102,-0.30781,0.302732,-0.354542,0.100998,0.010956,-0.0258,0.086023,0.042796,0.036358,0.015836,0.121182,0.033267,-0.093155,-0.135883,-0.183776,-0.228001,-0.268992,-0.322162,-0.415101,,-0.199656,-0.081797,-0.093902,,-0.030011,-0.215991,-0.233524,,-0.159962,-0.081768,-0.142515,-0.191961,-0.236999,-0.276204,-0.406963,-0.361548,0.309119,0.073678,-0.428269,0.007278,0.189746,0.086412,0.082347,,0.083721,0.451312,-0.451312,0.451312,-0.012813,-0.013635,-0.015346,-0.015089,-0.010675,0.006495,0.065953,-0.065953,0.065953,0.021062,0.184283,0.08501,0.046629,,0.095102,,0.086742,0.512437,0.077502,0.34689,-0.372957,-0.086183,,-0.147593,-0.196877,-0.395207,-0.277638,0.488498,,0.3677,-0.020734,0.129213,-0.020442,0.047116,0.041713,,0.424639,,0.103016,,0.049861,0.001972,0.595967,0.031029,,0.125641,0.124832,0.238215,-0.163609,0.049098,-0.026844,0.00685,0.102369,,0.019184,-0.00656
q158_high_close_0h,,,-0.100608,-0.09213,,,-0.032665,-0.165591,-0.17104,,-0.441712,-0.250364,0.102592,-0.101985,0.399251,0.105248,,-0.134096,-0.100382,-0.554195,0.24636,-0.026742,,0.082539,0.109327,-0.006123,,0.042223,,-0.113105,0.076922,,-0.03015,,,-0.076418,0.024536,0.082499,0.197473,-0.02754,0.03028,-0.022247,0.018605,0.045897,1.0,0.631113,0.435281,0.326541,0.25697,0.744651,-0.079631,-0.027468,-0.030284,0.700118,0.228732,-0.250659,-0.554195,-0.44149,-0.670733,-0.513698,0.568002,0.102141,-0.058724,0.254373,0.183693,0.133545,0.096745,0.201743,0.093429,,0.359889,0.502929,0.390035,,0.625273,-0.177411,-0.192956,,-0.133185,0.595529,0.361407,0.264415,0.197541,0.156198,-0.029127,0.198479,-0.138033,-0.295035,0.015498,0.021901,-0.170978,0.423143,0.357797,,0.494637,-0.040296,0.040296,-0.040296,-0.234919,-0.136156,-0.133931,-0.123488,-0.128516,-0.139009,0.295045,-0.295045,0.295045,0.097235,0.196439,0.24153,0.347462,,0.744651,,0.562991,0.210818,0.07903,-0.020268,0.006123,0.553575,,0.322902,0.223303,-0.076922,0.113105,-0.10106,,-0.16574,-0.150152,0.015635,-0.256777,0.13784,0.065253,,-0.019737,,0.48213,,0.164146,0.17684,0.002954,0.350762,,0.430077,0.003397,-0.145705,0.208066,-0.399394,0.029723,0.254708,0.348109,,-0.302967,0.040354
q158_high_close_1h,,,-0.052811,-0.055757,,,-0.025755,-0.401729,-0.353721,,-0.574725,0.051774,-0.063718,-0.165891,0.342068,-0.006157,,-0.114963,-0.062135,-0.77738,0.291517,-0.076967,,0.056457,-0.021647,-0.250365,,-0.155966,,-0.424567,-0.038882,,-0.183519,,,-0.210878,-0.067742,-0.014055,0.52178,-0.138664,0.135044,-0.129603,-0.072479,-0.052491,0.631113,1.0,0.789593,0.630531,0.533725,0.273406,0.031047,-0.093444,0.072298,0.218371,0.275114,0.051136,-0.77738,-0.574215,-0.64592,-0.45935,0.04706,-0.063438,0.256917,0.601723,0.60634,0.49919,0.426329,0.529097,0.356966,,0.747306,0.564718,0.439748,,0.693319,0.123126,0.075943,,0.214092,0.788092,0.81486,0.628028,0.521859,0.451073,0.255205,0.40791,-0.345298,-0.598112,0.190347,0.012064,-0.353645,0.287936,0.234588,,0.32912,-0.195083,0.195083,-0.195083,-0.081801,0.087914,-0.022831,-0.031539,-0.035184,-0.041748,0.076096,-0.076096,0.076096,0.037843,0.118465,0.144312,0.065414,,0.273406,,0.372941,-0.488654,0.023982,-0.113526,0.250365,0.777055,,0.78858,0.604375,0.038882,0.424567,-0.317159,,-0.417384,-0.19271,-0.039942,-0.316503,0.089388,-0.008953,,-0.154135,,0.305376,,0.104479,0.107184,-0.094572,0.080763,,0.263622,-0.071995,-0.407806,0.401448,-0.536025,0.102593,0.221336,0.189557,,-0.444381,0.024219
q158_high_close_2h,,,-0.02847,-0.038247,,,-0.023036,-0.511841,-0.442102,,-0.436226,0.052037,-0.06899,-0.205203,0.336062,-0.091774,,-0.115417,-0.0426,-0.611715,0.213857,-0.103589,,0.039465,-0.136515,-0.391582,,-0.269716,,-0.612066,-0.10106,,-0.271347,,,-0.280337,-0.12308,-0.093476,0.727446,-0.202515,0.195348,-0.191182,-0.128334,-0.117768,0.435281,0.789593,1.0,0.848401,0.718618,0.155693,0.10301,-0.148268,0.145918,0.11292,0.200664,0.05151,-0.611715,-0.435816,-0.483974,-0.336564,-0.03622,-0.068605,0.226366,0.610696,0.748536,0.721565,0.62514,0.700354,0.504209,,0.884803,0.610829,0.483339,,0.73066,0.262788,0.202813,,0.356865,0.615767,0.873076,0.877229,0.727604,0.635754,0.407429,0.535975,-0.449384,-0.726493,0.295036,0.011481,-0.442017,0.232323,0.189163,,0.256768,-0.283593,0.283593,-0.283593,-0.025254,0.057,0.106011,0.014552,0.004205,-0.004531,-0.002986,0.002986,-0.002986,0.01539,0.082286,0.088316,-0.027514,,0.155693,,0.298046,-0.543247,0.001398,-0.160372,0.391582,0.611759,,0.859561,0.852742,0.10106,0.612066,-0.430219,,-0.537811,-0.137141,-0.068129,-0.215353,0.07646,-0.052976,,-0.229079,,0.235271,,0.082994,0.079755,-0.149414,-0.006242,,0.199916,-0.116434,-0.542503,0.488847,-0.412952,0.10117,0.159229,0.129324,,-0.337147,0.016623
