factor_id,horizon,month,rank_ic,rolling_ic_3m,rolling_ic_6m,long_short_return,rolling_ls_3m,rolling_ls_6m
amihud_illiquidity_20h,72h,2025-04,0.056063,0.019735,0.013045,-0.02648267,-0.01067836,-0.00624004
amihud_illiquidity_20h,72h,2025-05,-0.033638,-0.006972,-0.002852,-0.00574445,-0.01108417,-0.00728501
amihud_illiquidity_20h,72h,2025-06,-0.015501,0.002308,-0.007121,-0.00097584,-0.01106765,-0.00587927
amihud_illiquidity_20h,72h,2025-07,0.005615,-0.014508,0.002614,-0.01022123,-0.00564717,-0.00816277
amihud_illiquidity_20h,72h,2025-08,0.016406,0.002174,-0.002399,-0.01512917,-0.00877541,-0.00992979
amihud_illiquidity_20h,72h,2025-09,-0.026465,-0.001481,0.000414,-0.00136536,-0.00890525,-0.00998645
amihud_illiquidity_20h,72h,2025-10,-0.007805,-0.005954,-0.010231,-0.00967239,-0.00872231,-0.00718474
amihud_illiquidity_20h,72h,2025-11,0.046119,0.00395,0.003062,-0.01043145,-0.0071564,-0.00796591
amihud_illiquidity_20h,72h,2025-12,0.051111,0.029809,0.014164,-0.01873418,-0.01294601,-0.01092563
amihud_illiquidity_20h,72h,2026-01,0.076171,0.057801,0.025923,-0.02332929,-0.01749831,-0.01311031
amihud_illiquidity_20h,72h,2026-02,-0.002167,0.041705,0.022828,0.00066237,-0.01380037,-0.01047838
amihud_illiquidity_20h,72h,2026-03,0.037524,0.037176,0.033492,-0.01984289,-0.01416994,-0.01355797
amihud_illiquidity_20h,72h,2026-04,0.105489,0.046948,0.052375,-0.03583752,-0.01833935,-0.01791883
amihud_illiquidity_20h,72h,2026-05,0.011237,0.051417,0.046561,-0.00090625,-0.01886222,-0.01633129
amihud_illiquidity_20h,72h,2026-06,0.009778,0.042168,0.039672,-0.00321086,-0.01331821,-0.01374407
bb_zscore_20h,1h,2024-06,-0.006735,-0.006735,-0.006735,-8.032e-05,-8.032e-05,-8.032e-05
bb_zscore_20h,1h,2024-07,-0.019045,-0.01289,-0.01289,-2.679e-05,-5.355e-05,-5.355e-05
bb_zscore_20h,1h,2024-08,-0.037987,-0.021256,-0.021256,0.00028983,6.091e-05,6.091e-05
bb_zscore_20h,1h,2024-09,-0.032352,-0.029795,-0.02403,-4.338e-05,7.322e-05,3.483e-05
bb_zscore_20h,1h,2024-10,-0.039537,-0.036625,-0.027131,0.00017857,0.00014167,6.358e-05
bb_zscore_20h,1h,2024-11,-0.034223,-0.035371,-0.028313,-0.00015821,-7.67e-06,2.662e-05
bb_zscore_20h,1h,2024-12,-0.054579,-0.04278,-0.036287,0.0004799,0.00016675,0.00011999
bb_zscore_20h,1h,2025-01,-0.019206,-0.036003,-0.036314,-7.149e-05,8.34e-05,0.00011254
bb_zscore_20h,1h,2025-02,-0.010221,-0.028002,-0.031686,-0.00016335,8.169e-05,3.701e-05
bb_zscore_20h,1h,2025-03,-0.026901,-0.018776,-0.030778,0.000158,-2.561e-05,7.057e-05
bb_zscore_20h,1h,2025-04,-0.032088,-0.02307,-0.029536,0.00040861,0.00013442,0.00010891
bb_zscore_20h,1h,2025-05,-0.022048,-0.027012,-0.027507,-0.00015906,0.00013585,0.00010877
bb_zscore_20h,1h,2025-06,-0.030608,-0.028248,-0.023512,0.00016102,0.00013686,5.562e-05
bb_zscore_20h,1h,2025-07,-0.04214,-0.031599,-0.027334,-0.00012507,-4.104e-05,4.669e-05
bb_zscore_20h,1h,2025-08,-0.037321,-0.03669,-0.031851,-5.057e-05,-4.87e-06,6.549e-05
bb_zscore_20h,1h,2025-09,-0.029472,-0.036311,-0.03228,-0.00033986,-0.00017183,-1.749e-05
bb_zscore_20h,1h,2025-10,-0.032682,-0.033158,-0.032379,-0.00035662,-0.00024902,-0.00014503
bb_zscore_20h,1h,2025-11,-0.034065,-0.032073,-0.034381,-0.00013941,-0.00027863,-0.00014175
bb_zscore_20h,1h,2025-12,-0.039306,-0.035351,-0.035831,-0.00020158,-0.00023254,-0.00020219
bb_zscore_20h,1h,2026-01,-0.036057,-0.036476,-0.034817,3.219e-05,-0.00010293,-0.00017597
