factor_id,horizon,n_windows,window_ls_mean,window_ls_std,window_ls_win_rate,window_ls_ann_edge,window_ls_ann_vol,window_ls_sharpe,bars_per_year,overlap_warning,nonoverlap_available,nonoverlap_n_windows,nonoverlap_window_ls_win_rate
rsi_14h,72h,25,-0.0057664364,0.0106164225,0.32,-0.7015830953,0.1171019154,-5.9912179332,121.66666666666667,VERY_HIGH_OVERLAP,True,9,0.4444444444
rsi_28h,1h,25,-8.68128e-05,0.0002179464,0.36,-0.760480128,0.0203986653,-37.2808767383,8760.0,LOW_OVERLAP,True,25,0.36
rsi_28h,24h,25,-0.0021952404,0.0047770309,0.32,-0.801262746,0.0912650472,-8.7795138511,365.0,HIGH_OVERLAP,True,25,0.32
rsi_28h,4h,25,-0.0003883252,0.0008909343,0.32,-0.850432188,0.0416934407,-20.3972656874,2190.0,MODERATE_OVERLAP,True,25,0.32
rsi_28h,72h,25,-0.0065615964,0.012932713,0.4,-0.798327562,0.1426512051,-5.5963604487,121.66666666666667,VERY_HIGH_OVERLAP,True,9,0.4444444444
rsi_7h,1h,25,-4.2128e-05,0.0002371502,0.36,-0.36904128,0.0221960425,-16.6264449832,8760.0,LOW_OVERLAP,True,25,0.36
rsi_7h,24h,25,-0.0020534956,0.0038949532,0.32,-0.749525894,0.0744129764,-10.0725159809,365.0,HIGH_OVERLAP,True,25,0.32
rsi_7h,4h,25,-0.0003381088,0.00073796,0.32,-0.740458272,0.0345346357,-21.441033214,2190.0,MODERATE_OVERLAP,True,25,0.32
rsi_7h,72h,25,-0.0049113348,0.0084161197,0.28,-0.597545734,0.0928320003,-6.4368507844,121.66666666666667,VERY_HIGH_OVERLAP,True,9,0.3333333333
taker_buy_delta_5h,1h,24,-3.89358e-05,0.0001801287,0.5,-0.341077608,0.0168591226,-20.2310414929,8760.0,LOW_OVERLAP,True,24,0.5
taker_buy_delta_5h,24h,24,0.0013887421,0.0064260119,0.5416666667,0.5068908665,0.122768785,4.1288253087,365.0,HIGH_OVERLAP,True,24,0.5416666667
taker_buy_delta_5h,4h,24,-0.0002617092,0.0015380409,0.5,-0.573143148,0.0719763703,-7.9629348559,2190.0,MODERATE_OVERLAP,True,24,0.5
taker_buy_delta_5h,72h,24,0.0032011687,0.0139663151,0.6666666667,0.3894755252,0.1540521064,2.5282064245,121.66666666666667,VERY_HIGH_OVERLAP,True,8,0.5
taker_buy_ratio_20h,1h,24,-2.40067e-05,0.000450265,0.6666666667,-0.210298692,0.0421424949,-4.9901813495,8760.0,LOW_OVERLAP,True,24,0.6666666667
taker_buy_ratio_20h,24h,24,0.0034946725,0.0095891319,0.7916666667,1.2755554625,0.1832001077,6.9626348936,365.0,HIGH_OVERLAP,True,24,0.7916666667
