factor_id,paper_return_btc_corr,paper_return_btc_beta,long_short_btc_corr,long_short_btc_beta,ic_btc_return_corr,bull_minus_bear_paper_return,highvol_minus_lowvol_paper_return,drawdown_minus_normal_paper_return,regime_dependency_class,main_regime_note_zh,main_regime_note_en
price_pos_72h,0.020078939648567877,0.028147983548039865,0.05076795573831976,0.0027402860393104574,-0.03495921259803706,-0.025393537694098925,-0.028479846872875435,0.11321004354118536,REGIME_ROBUST,跨市场稳健,Regime-robust
price_volume_corr_20h,0.06978971100041235,0.06420586916146348,0.09475521839116467,0.0033176592468164884,-0.11426910327898009,0.023092710035937204,-0.022188156704515433,0.006923662932842876,REGIME_ROBUST,跨市场稳健,Regime-robust
q158_high_low_range,0.17716824906864131,0.32577422437756764,0.07832842843901304,0.006164855641325138,0.08852995056487806,0.12998026473770463,-0.18791445460786377,0.10979875524814485,BULL_DEPENDENT,牛市依赖,Bull-dependent
qvol_ma_ratio_20_80,0.240794216502152,0.26461599922833295,0.15827231547819554,0.006235665640131047,0.20166850212687526,0.06769557373810703,-0.09113492979281816,0.04021757204105758,BULL_DEPENDENT,牛市依赖,Bull-dependent
qvol_ma_ratio_5_20,0.28064981613923706,0.34790305495026597,0.19603713502732564,0.0046357715254172,0.1161039931371807,0.06861839707403483,-0.12138357735067774,0.013824126969590386,BULL_DEPENDENT,牛市依赖,Bull-dependent
qvol_zscore_20h,0.06595896939540992,0.07748820310239966,0.09300981818850852,0.0018821060279983093,0.04226228284703266,-0.006731963372366076,-0.0439448331570127,0.05360698550713791,REGIME_ROBUST,跨市场稳健,Regime-robust
qvol_zscore_48h,0.23037859949897038,0.28468922398250396,0.14175232633113846,0.004421509289803885,0.05586909801865607,0.07061350783608344,-0.03679208063107447,0.05767728273463819,BULL_DEPENDENT,牛市依赖,Bull-dependent
range_1h,0.17716824906864131,0.32577422437756764,0.07832842843901304,0.006164855641325138,0.08852995056487806,0.12998026473770463,-0.18791445460786377,0.10979875524814485,BULL_DEPENDENT,牛市依赖,Bull-dependent
range_24h,0.18640655633376876,0.3184739107385276,0.08080426113928897,0.006705603701901507,0.11919181415650194,0.1406932796318161,-0.1866834664521899,0.0765793108861991,BULL_DEPENDENT,牛市依赖,Bull-dependent
range_4h,0.0973799385073942,0.16292562691427953,0.07522747803432579,0.006044658061966536,0.08452551278112977,0.06263396050127916,-0.1607294748590829,0.061305696001561855,BULL_DEPENDENT,牛市依赖,Bull-dependent
realized_kurt_20h,0.22378184204383508,0.16672545701288247,-0.2005580062719488,-0.00565601244854591,-0.3263316260032429,0.06936040801093782,-0.07462276687818392,0.008636041570388941,BULL_DEPENDENT,牛市依赖,Bull-dependent
realized_skew_20h,0.017526458918355053,0.015671908227632196,0.18358904281418795,0.006385286844598356,0.12070332224478776,0.053443900306819725,-0.040966864493654956,0.031844052934390826,BULL_DEPENDENT,牛市依赖,Bull-dependent
rev_10h,0.10973018563415868,0.13305239572704883,-0.033105086456018944,-0.0012370977889395226,0.0955754480060075,-0.004090118153931274,0.11086082723990448,-0.014261048256825379,VOL_DEPENDENT,波动率依赖,Volatility-dependent
rev_1h,0.08456940165318964,0.15593319907559583,-0.008356692090934408,-0.00013186004632863364,0.02087447778481778,0.09931086333785684,-0.043423050696707606,-0.12203500122071341,DRAWDOWN_FRAGILE,回撤脆弱,Fragile during drawdowns
rev_24h,0.014621596476454769,0.012819745763510191,-0.0654517959877321,-0.003278359137416674,0.1704658091703889,-0.019501460851527597,0.08835910004884394,0.03514853927844492,VOL_DEPENDENT,波动率依赖,Volatility-dependent
rev_3h,0.0813449003314649,0.17630837312915396,-0.01579913178492975,-0.00037822686287231104,0.054625482625927785,0.03908771702170791,-0.008532717429362156,-0.08443426499010717,DRAWDOWN_FRAGILE,回撤脆弱,Fragile during drawdowns
rev_72h,0.025772057800314177,0.02956602126894752,-0.11367259556805964,-0.007643739824972603,0.08913997382597481,0.02349435528453407,0.05450893325095224,-0.06700932961103714,DRAWDOWN_FRAGILE,回撤脆弱,Fragile during drawdowns
reversal_5h,0.15130146613947637,0.24322906126923752,-0.005545502610045919,-0.00015925265873791415,0.05672260239173143,0.07303115327670859,-0.002055206250391694,-0.06260572359050277,DRAWDOWN_FRAGILE,回撤脆弱,Fragile during drawdowns
rsi_14h,-0.01807940151751244,-0.024211086768949747,-0.06239153875251532,-0.0031977469343889087,-0.06172103600469586,-0.030764773202000537,-0.009678084239747975,0.04283446318474843,REGIME_ROBUST,跨市场稳健,Regime-robust
rsi_28h,-0.034372589560876465,-0.047320073741950006,-0.07256067563133016,-0.0044052834829808535,-0.04935190177986464,-0.031117654331917197,-0.0461196977322557,0.03308330416612721,REGIME_ROBUST,跨市场稳健,Regime-robust
rsi_7h,-0.056656330628943374,-0.07736854424671365,-0.04012716424260397,-0.0016651090539019106,-0.03663524022739435,-0.03258495540264806,-0.04874985329247968,0.04426354905204276,REGIME_ROBUST,跨市场稳健,Regime-robust
taker_buy_delta_5h,-0.24531797596702273,-0.23826825973628443,-0.06222628134872423,-0.004049301588425981,-0.15159512523140678,-0.041172470644120086,0.034915412167233366,0.009632754334592077,REGIME_ROBUST,跨市场稳健,Regime-robust
taker_buy_ratio_20h,-0.10461357703999233,-0.0770752214971034,-0.07244543485039061,-0.006849982674640625,-0.1246387866654131,-0.07390121177029634,0.03419540227146535,0.021454593055096532,BEAR_DEPENDENT,熊市依赖,Bear-dependent
taker_buy_zscore_20h,-0.08004426529369368,-0.08024237764003905,0.07579734426224564,0.001157526569297401,-0.09804194252445475,-0.006031224460804188,-0.0018454030405248914,-0.04427888043241573,REGIME_ROBUST,跨市场稳健,Regime-robust
tech_atr,-0.34032510060338517,-0.2522329554077971,-0.19522356799370222,-0.009183289827917544,-0.0513121033783169,-0.054265397878052304,-0.03217576729557235,-0.027168514747816848,BEAR_DEPENDENT,熊市依赖,Bear-dependent
tech_macd,-0.17532537183890337,-0.1755963337431187,-0.1148262652935666,-0.003893220498313361,-0.19648260185916358,-0.021349954549892962,0.037737337030539615,0.03582519319118967,REGIME_ROBUST,跨市场稳健,Regime-robust
trend_efficiency_24h,0.3531351370746922,0.41812441211546597,0.19085345039125462,0.005877004184153107,0.22362652661187846,0.08132211260200092,-0.09298130700140622,-0.009846196898924579,BULL_DEPENDENT,牛市依赖,Bull-dependent
vol_40h,0.05737305648328786,0.10071926438546343,-0.03627610878660845,-0.003104748612904373,0.09104748678843105,0.098436660855776,-0.1527818753119016,0.08653624447602883,BULL_DEPENDENT,牛市依赖,Bull-dependent
vol_5h,0.17191535257883184,0.2792672128698361,-0.11271479556895161,-0.007743201250422589,0.11969573578970145,0.12378634572374607,-0.17102727338035228,0.050528577839685306,BULL_DEPENDENT,牛市依赖,Bull-dependent
vol_of_vol_20h,0.01373482838515511,0.020905640520522156,-0.01961389169093317,-0.0014518687594086237,0.027723272011183093,0.05017847751343576,-0.11820952998899042,0.09506919507842397,BULL_DEPENDENT,牛市依赖,Bull-dependent
vol_ratio_20_80,0.10180294143595178,0.10072980379772818,0.1818230309682054,0.006126529527074947,0.09498416351628491,0.04402914061960029,-0.06855198349236508,0.10663160828678407,VOL_DEPENDENT,波动率依赖,Volatility-dependent
vol_ratio_5_20,0.029524377837920033,0.03441196059139694,0.00993258980489972,0.000156292470067103,0.11332552797900144,0.001128493056191164,-0.041211175952874025,-0.04551575086988564,REGIME_ROBUST,跨市场稳健,Regime-robust
vol_ret_corr_20h,0.06789256834907881,0.06282695982775664,0.09626870241883807,0.0032007332603907496,-0.13435402703169136,0.020645383969083386,-0.018647841102065705,0.009110306207171723,REGIME_ROBUST,跨市场稳健,Regime-robust
vol_zscore_20h,0.002032790125329221,0.002273441887195777,0.07658602551171939,0.0015057149527155725,0.04554390140324303,-0.04289767547860773,-0.025705643773911657,0.04751486066779699,REGIME_ROBUST,跨市场稳健,Regime-robust
vol_zscore_48h,0.18021280191330005,0.2127765763987382,0.121003123900972,0.0036750103377917944,0.07554259670177108,0.05470851855162837,-0.042961755033135506,0.06716851273544386,BULL_DEPENDENT,牛市依赖,Bull-dependent
volatility_20h,0.10485680911286818,0.18438918540321897,-0.06597448516046597,-0.005412910154369903,0.07876855111803611,0.11667614761038475,-0.17886746959750616,0.09509557998042178,BULL_DEPENDENT,牛市依赖,Bull-dependent
vwap_dev_20h,-0.03857631298210579,-0.0494883203300023,0.0320069086580177,0.001307368247723498,-0.10605433341030907,0.002967315053238495,-0.051576210030492856,0.07443876572792468,VOL_DEPENDENT,波动率依赖,Volatility-dependent
williams_r_14h,0.12606047774857382,0.15828111230112774,-0.0430889122388518,-0.0013622528030721396,0.08326422670703248,0.08697301304095455,-0.024547383930568982,-0.1061228782319613,DRAWDOWN_FRAGILE,回撤脆弱,Fragile during drawdowns
wq101_alpha101,-0.11606324326728726,-0.15012436259630993,-0.06317455973511539,-0.0008321785509834601,-0.03298894608418128,-0.09586037547132369,0.06859904924085658,0.07567341469874996,BEAR_DEPENDENT,熊市依赖,Bear-dependent
wq101_alpha12,0.021647391488465333,0.019725719541465486,0.14662893994273976,0.001353218358107961,0.01209675170228653,-0.02930768186616215,0.0180792327888719,-0.07393691306046456,DRAWDOWN_FRAGILE,回撤脆弱,Fragile during drawdowns
wq101_alpha53,0.0408874905487871,0.0438966563865183,-0.11588259354319928,-0.0005052864533286859,0.026202532122275614,0.07044608493575509,-0.13535733801942634,-0.06750802116163573,DRAWDOWN_FRAGILE,回撤脆弱,Fragile during drawdowns
wvma_20h,0.1260394419341758,0.20539732135047425,-0.048800119824814296,-0.0033586780778133776,-0.008903073866978466,0.10832797079781356,-0.1371001767055463,0.07986202387663624,BULL_DEPENDENT,牛市依赖,Bull-dependent
xs_rank_ret_1h,-0.03645332630189218,-0.05684632461581998,0.00183476586346799,2.87712525330554e-05,-0.02087447778481778,-0.04999908840318659,0.04789938204509103,0.12647677534958837,REGIME_ROBUST,跨市场稳健,Regime-robust
xs_rank_vol,0.5285525666693347,0.46631818783051504,0.3849679426635491,0.015076896093396176,0.12100114413821371,0.11235921589101427,-0.08198619482396634,-0.0009731926280753716,BULL_DEPENDENT,牛市依赖,Bull-dependent
