factor_id,horizon,horizon_hours,n_months,rankic_mean,rankic_std,naive_t_stat,naive_n_periods,monthly_naive_t_stat,robust_standard_error,robust_t_stat,robust_p_value,effective_n_proxy,nw_lag,overlap_ratio,tstat_inflation_ratio,significance_class_naive,significance_class_robust,overlap_warning
wvma_20h,72h,72,25,-0.07516565,0.03681022,-59.0509,17716,-10.2099,0.00364145,-20.6417,0.0,25.0,5,0.1,2.8608,ROBUST_SIGNIFICANT_NEGATIVE,ROBUST_SIGNIFICANT_NEGATIVE,SEVERE_OVERLAP
xs_rank_mom_accel,1h,1,25,-0.02415687,0.0080581,-20.511,17781,-14.9892,0.00162619,-14.8549,0.0,22.3,1,0.0014,1.3808,ROBUST_SIGNIFICANT_NEGATIVE,ROBUST_SIGNIFICANT_NEGATIVE,NO_MAJOR_OVERLAP
xs_rank_mom_accel,4h,4,25,-0.02463949,0.01071787,-21.0051,17779,-11.4946,0.00153638,-16.0374,0.0,286.31,4,0.0056,1.3098,ROBUST_SIGNIFICANT_NEGATIVE,ROBUST_SIGNIFICANT_NEGATIVE,MODERATE_OVERLAP
xs_rank_mom_accel,24h,24,25,-0.01827414,0.0164462,-15.7569,17759,-5.5557,0.00414485,-4.4089,1e-05,16.34,5,0.0333,3.5739,ROBUST_SIGNIFICANT_NEGATIVE,ROBUST_SIGNIFICANT_NEGATIVE,HIGH_OVERLAP
xs_rank_mom_accel,72h,72,25,-0.01038632,0.00678356,-9.5026,17711,-7.6555,0.00188059,-5.5229,0.0,10.17,5,0.1,1.7206,ROBUST_SIGNIFICANT_NEGATIVE,ROBUST_SIGNIFICANT_NEGATIVE,SEVERE_OVERLAP
xs_rank_ret_1h,1h,1,25,-0.03678336,0.01211681,-30.6929,17804,-15.1787,0.00267594,-13.7459,0.0,16.23,1,0.0014,2.2329,ROBUST_SIGNIFICANT_NEGATIVE,ROBUST_SIGNIFICANT_NEGATIVE,NO_MAJOR_OVERLAP
xs_rank_ret_1h,4h,4,25,-0.02828191,0.01184106,-23.9276,17802,-11.9423,0.00191493,-14.7692,0.0,48.13,4,0.0056,1.6201,ROBUST_SIGNIFICANT_NEGATIVE,ROBUST_SIGNIFICANT_NEGATIVE,MODERATE_OVERLAP
xs_rank_ret_1h,24h,24,25,-0.01173098,0.00694208,-10.3289,17782,-8.4492,0.00170318,-6.8877,0.0,13.74,5,0.0333,1.4996,ROBUST_SIGNIFICANT_NEGATIVE,ROBUST_SIGNIFICANT_NEGATIVE,HIGH_OVERLAP
xs_rank_ret_1h,72h,72,25,-0.00434668,0.00931019,-4.144,17734,-2.3344,0.00197151,-2.2047,0.027472,20.66,5,0.1,1.8796,ROBUST_SIGNIFICANT_NEGATIVE,ROBUST_SIGNIFICANT_NEGATIVE,SEVERE_OVERLAP
xs_rank_vol,1h,1,25,-0.018764,0.00666869,-16.8386,17787,-14.0687,0.00145317,-12.9125,0.0,16.97,1,0.0014,1.3041,ROBUST_SIGNIFICANT_NEGATIVE,ROBUST_SIGNIFICANT_NEGATIVE,NO_MAJOR_OVERLAP
xs_rank_vol,4h,4,25,-0.02882257,0.00803834,-25.4559,17785,-17.9282,0.00160767,-17.9282,0.0,25.48,4,0.0056,1.4199,ROBUST_SIGNIFICANT_NEGATIVE,ROBUST_SIGNIFICANT_NEGATIVE,MODERATE_OVERLAP
xs_rank_vol,24h,24,25,-0.05425472,0.01991828,-46.5565,17765,-13.6193,0.00256053,-21.1889,0.0,25.0,5,0.0333,2.1972,ROBUST_SIGNIFICANT_NEGATIVE,ROBUST_SIGNIFICANT_NEGATIVE,HIGH_OVERLAP
xs_rank_vol,72h,72,25,-0.06727063,0.03603263,-58.4562,17717,-9.3347,0.00377341,-17.8276,0.0,1100.63,5,0.1,3.279,ROBUST_SIGNIFICANT_NEGATIVE,ROBUST_SIGNIFICANT_NEGATIVE,SEVERE_OVERLAP
