month,btc_monthly_return,btc_monthly_realized_vol,btc_monthly_max_drawdown,btc_open,btc_close,btc_high,btc_low,btc_rolling_3m_return,btc_drawdown_from_peak,btc_trend_regime,btc_vol_regime,btc_drawdown_regime,combined_regime
2025-04,0.14007210591692654,0.5216009222940212,-0.1405730861215152,82517.5,94075.9,95769.6,74457.0,-0.07960834689163498,-0.07960834689163498,BULL,HIGH_VOL,NORMAL,BULL_HIGH_VOL
2025-05,0.11093852755534916,0.37409708301117256,-0.07700533036734514,94125.1,104567.2,111959.5,93327.0,0.24325506850748324,0.0,BULL,LOW_VOL,NORMAL,BULL_LOW_VOL
2025-06,0.023974433902436143,0.32510668899281325,-0.10346676294547852,104544.7,107051.1,110653.6,98115.4,0.2996007152889988,0.0,SIDEWAYS,LOW_VOL,NORMAL,SIDEWAYS_LOW_VOL
2025-07,0.0826194304838852,0.3107777740058984,-0.06352592254605605,107087.4,115934.9,123300.0,105010.0,0.2323549389376025,0.0,BULL,LOW_VOL,NORMAL,BULL_LOW_VOL
2025-08,-0.05924857364865044,0.3222781284606924,-0.1329301184860715,115697.3,108842.4,124545.6,107281.0,0.04088471337092314,-0.061176574094599645,BEAR,LOW_VOL,NORMAL,BEAR_LOW_VOL
2025-09,0.05244509668380637,0.2802256627321461,-0.07613875679347826,108208.4,113883.4,117875.2,107211.5,0.06382279117169265,-0.017695275538254673,BULL,LOW_VOL,NORMAL,BULL_LOW_VOL
2025-10,-0.03900207739707762,0.4302191131396724,-0.1706419760925817,113988.8,109543.0,126208.5,101516.5,-0.05513352752277356,-0.05513352752277356,SIDEWAYS,LOW_VOL,NORMAL,SIDEWAYS_LOW_VOL
2025-11,-0.16775148712135124,0.49986765938487976,-0.26052990047271407,109557.3,91178.9,111216.0,80600.0,-0.16228510212931724,-0.2135336296490531,BEAR,HIGH_VOL,DEEP_DRAWDOWN,BEAR_HIGH_VOL
2025-12,-0.029062030145946882,0.448286760456119,-0.10302846193391602,90320.6,87695.7,94555.0,83786.0,-0.22995186304588722,-0.24357807700700995,SIDEWAYS,HIGH_VOL,DEEP_DRAWDOWN,SIDEWAYS_HIGH_VOL
2026-01,-0.10836542698057938,0.37800000750423773,-0.20386144294408137,87608.2,78114.5,97932.1,75500.0,-0.28690559871466004,-0.32622100851426095,BEAR,LOW_VOL,DEEP_DRAWDOWN,BEAR_LOW_VOL
2026-02,-0.14770515381136073,0.6526053148571507,-0.20451442533382436,78706.8,67081.4,79396.8,59800.0,-0.264288119290757,-0.4213873475545328,BEAR,HIGH_VOL,DEEP_DRAWDOWN,BEAR_HIGH_VOL
2026-03,0.017994505289294027,0.48815951026393256,-0.13204656497942036,66937.1,68141.6,75998.9,64918.2,-0.2229767251986129,-0.4122425602644242,SIDEWAYS,HIGH_VOL,DEEP_DRAWDOWN,SIDEWAYS_HIGH_VOL
2026-04,0.11659180996900709,0.3693591009343117,-0.05225434981773247,68241.5,76197.9,79455.0,65676.1,-0.024535777608510667,-0.3427527000066417,BULL,LOW_VOL,DEEP_DRAWDOWN,BULL_LOW_VOL
2026-05,-0.031280879203830825,0.30660783481352666,-0.11621814284709764,76305.4,73918.5,82828.7,72436.0,0.10192244049766419,-0.3624137339144641,SIDEWAYS,LOW_VOL,DEEP_DRAWDOWN,SIDEWAYS_LOW_VOL
2026-06,-0.13721331863381359,0.6065935766981362,-0.19623315956942666,73653.2,63547.0,74179.9,59080.0,-0.06742723974781928,-0.4518734220670393,BEAR,HIGH_VOL,DEEP_DRAWDOWN,BEAR_HIGH_VOL
