factor_id,horizon,horizon_hours,overlap_warning,return_robust_class,return_mean,naive_t_stat,robust_t_stat,robust_standard_error,nw_lag,n_periods,effective_n_proxy,tstat_inflation_ratio,bootstrap_mean,bootstrap_ci_low,bootstrap_ci_high,bootstrap_sign_consistency,status
a101_volume_low_alpha_min_84_120,1h,1,NO_MAJOR_OVERLAP,RETURN_NOT_SIGNIFICANT,2.1e-05,0.983185,0.979609,2.1e-05,1,25,24.818506,1.00365,1.1e-05,-1.8e-05,3.9e-05,0.7585,COMPUTED
a101_volume_low_alpha_min_84_120,4h,4,MODERATE_OVERLAP,RETURN_NOT_SIGNIFICANT,8.9e-05,1.055761,1.146823,7.8e-05,4,25,29.498629,0.920596,2.9e-05,-9e-05,0.000155,0.665,COMPUTED
a101_volume_low_alpha_min_84_120,24h,24,HIGH_OVERLAP,RETURN_NOT_SIGNIFICANT,0.000743,1.250083,1.341387,0.000554,5,25,28.785259,0.931934,0.000249,-0.000579,0.001194,0.6985,COMPUTED
a101_volume_low_alpha_min_84_120,72h,72,SEVERE_OVERLAP,RETURN_NOT_SIGNIFICANT,0.001806,0.986092,1.061394,0.001701,5,25,28.964004,0.929053,0.000261,-0.002195,0.00299,0.5635,COMPUTED
a101_volume_xs_z_mean_neg_112h,1h,1,NO_MAJOR_OVERLAP,RETURN_NOT_SIGNIFICANT,1e-06,0.039234,0.041814,2.8e-05,1,25,28.39638,0.938293,-4e-06,-4.3e-05,3.9e-05,0.42,COMPUTED
a101_volume_xs_z_mean_neg_112h,4h,4,MODERATE_OVERLAP,RETURN_NOT_SIGNIFICANT,3e-05,0.253412,0.33227,9e-05,4,25,42.980181,0.762669,6e-06,-0.000165,0.000194,0.5225,COMPUTED
a101_volume_xs_z_mean_neg_112h,24h,24,HIGH_OVERLAP,RETURN_NOT_SIGNIFICANT,0.000179,0.245758,0.354402,0.000505,5,25,51.989541,0.693445,6.5e-05,-0.000986,0.00123,0.5345,COMPUTED
a101_volume_xs_z_mean_neg_112h,72h,72,SEVERE_OVERLAP,RETURN_NOT_SIGNIFICANT,0.001483,0.703316,0.992958,0.001493,5,25,49.831085,0.708304,0.001201,-0.002109,0.004557,0.7555,COMPUTED
amihud_illiquidity_20h,1h,1,NO_MAJOR_OVERLAP,RETURN_ROBUST_NEGATIVE,-9.3e-05,-3.504563,-3.426223,2.7e-05,1,25,23.894804,1.022865,-0.00011,-0.000173,-6e-05,1.0,COMPUTED
amihud_illiquidity_20h,4h,4,MODERATE_OVERLAP,RETURN_ROBUST_NEGATIVE,-0.000396,-3.691731,-3.388182,0.000117,4,25,21.057819,1.089591,-0.000455,-0.000686,-0.000253,1.0,COMPUTED
amihud_illiquidity_20h,24h,24,HIGH_OVERLAP,RETURN_ROBUST_NEGATIVE,-0.002199,-3.519843,-3.373665,0.000652,5,25,22.966631,1.043329,-0.002488,-0.003667,-0.001391,1.0,COMPUTED
amihud_illiquidity_20h,72h,72,SEVERE_OVERLAP,RETURN_ROBUST_NEGATIVE,-0.007918,-3.815492,-3.337868,0.002372,5,25,19.132741,1.143093,-0.008452,-0.012798,-0.004256,1.0,COMPUTED
bb_zscore_20h,1h,1,NO_MAJOR_OVERLAP,RETURN_NOT_SIGNIFICANT,-3.4e-05,-0.771805,-0.784951,4.3e-05,1,25,25.858883,0.983253,-3.6e-05,-0.000142,7e-05,0.725,COMPUTED
bb_zscore_20h,4h,4,MODERATE_OVERLAP,RETURN_ROBUST_NEGATIVE,-0.000299,-2.178125,-2.186053,0.000137,4,25,25.18232,0.996373,-0.000312,-0.000579,-3.8e-05,0.9885,COMPUTED
bb_zscore_20h,24h,24,HIGH_OVERLAP,RETURN_ROBUST_NEGATIVE,-0.001777,-2.543189,-3.08663,0.000576,5,25,36.825757,0.823937,-0.001391,-0.002259,-0.000618,1.0,COMPUTED
bb_zscore_20h,72h,72,SEVERE_OVERLAP,RETURN_ROBUST_NEGATIVE,-0.004388,-2.864083,-3.217462,0.001364,5,25,31.549728,0.890168,-0.003943,-0.006533,-0.001366,0.999,COMPUTED
breakout_dist_20h,1h,1,NO_MAJOR_OVERLAP,RETURN_NOT_SIGNIFICANT,4.4e-05,1.110834,1.106927,3.9e-05,1,25,24.82442,1.00353,4.7e-05,-4.4e-05,0.000142,0.8235,COMPUTED
breakout_dist_20h,4h,4,MODERATE_OVERLAP,RETURN_ROBUST_POSITIVE,0.00028,2.080813,2.488853,0.000113,4,25,35.766154,0.836053,0.000302,6.6e-05,0.000535,0.993,COMPUTED
breakout_dist_20h,24h,24,HIGH_OVERLAP,RETURN_ROBUST_POSITIVE,0.001628,2.220895,2.455528,0.000663,5,25,30.561438,0.904447,0.001134,0.000292,0.002146,0.999,COMPUTED
breakout_dist_20h,72h,72,SEVERE_OVERLAP,RETURN_ROBUST_POSITIVE,0.004731,3.265558,3.480878,0.001359,5,25,28.405532,0.938142,0.004209,0.001693,0.006528,1.0,COMPUTED
breakout_dist_48h,1h,1,NO_MAJOR_OVERLAP,RETURN_NOT_SIGNIFICANT,4.6e-05,1.067886,1.162297,3.9e-05,1,25,29.615918,0.918771,3.2e-05,-5.2e-05,0.000122,0.7535,COMPUTED
breakout_dist_48h,4h,4,MODERATE_OVERLAP,RETURN_NOT_SIGNIFICANT,0.000257,1.627389,1.610557,0.000159,4,25,24.485507,1.010451,0.000214,-8.6e-05,0.000515,0.91,COMPUTED
breakout_dist_48h,24h,24,HIGH_OVERLAP,RETURN_NOT_SIGNIFICANT,0.001746,1.863534,1.780229,0.000981,5,25,22.814828,1.046794,0.001182,-0.000447,0.00292,0.914,COMPUTED
breakout_dist_48h,72h,72,SEVERE_OVERLAP,RETURN_ROBUST_POSITIVE,0.005866,2.876379,3.192677,0.001837,5,25,30.800507,0.90093,0.005601,0.001679,0.009165,0.9985,COMPUTED
candle_body,1h,1,NO_MAJOR_OVERLAP,RETURN_ROBUST_NEGATIVE,-0.000133,-2.971544,-2.978635,4.5e-05,1,25,25.119457,0.997619,-0.000141,-0.00021,-6.5e-05,1.0,COMPUTED
candle_body,4h,4,MODERATE_OVERLAP,RETURN_NOT_SIGNIFICANT,4.1e-05,0.36688,0.453596,9e-05,4,25,38.214541,0.808827,7.4e-05,-9.4e-05,0.00026,0.777,COMPUTED
candle_body,24h,24,HIGH_OVERLAP,RETURN_ROBUST_POSITIVE,0.000382,1.469724,2.448393,0.000156,5,25,69.379413,0.600281,0.000299,1.3e-05,0.000553,0.9805,COMPUTED
candle_body,72h,72,SEVERE_OVERLAP,RETURN_ROBUST_POSITIVE,0.001241,2.333069,3.174152,0.000391,5,25,46.27434,0.735021,0.001009,0.00021,0.00176,0.9935,COMPUTED
candle_wick_lower,1h,1,NO_MAJOR_OVERLAP,RETURN_ROBUST_NEGATIVE,-0.000125,-2.732776,-2.311852,5.4e-05,1,25,17.891721,1.182072,-9.5e-05,-0.000201,8e-06,0.961,COMPUTED
candle_wick_lower,4h,4,MODERATE_OVERLAP,RETURN_ROBUST_NEGATIVE,-0.000208,-2.784813,-2.457803,8.5e-05,4,25,19.473409,1.13305,-0.000197,-0.000341,-1.1e-05,0.9815,COMPUTED
candle_wick_lower,24h,24,HIGH_OVERLAP,RETURN_ROBUST_NEGATIVE,-0.000259,-1.714674,-3.079471,8.4e-05,5,25,80.635965,0.556808,-0.000275,-0.000482,-6.3e-05,0.9965,COMPUTED
candle_wick_lower,72h,72,SEVERE_OVERLAP,RETURN_ROBUST_NEGATIVE,-0.001151,-2.169092,-2.30479,0.000499,5,25,28.225845,0.941123,-0.001454,-0.002436,-0.000524,0.999,COMPUTED
candle_wick_upper,1h,1,NO_MAJOR_OVERLAP,RETURN_ROBUST_NEGATIVE,-0.000158,-3.572234,-3.183724,5e-05,1,25,19.857789,1.12203,-0.000136,-0.000242,-2.4e-05,0.9895,COMPUTED
candle_wick_upper,4h,4,MODERATE_OVERLAP,RETURN_ROBUST_NEGATIVE,-0.000244,-3.411997,-3.832823,6.4e-05,4,25,31.547167,0.890205,-0.000253,-0.000384,-0.000124,1.0,COMPUTED
candle_wick_upper,24h,24,HIGH_OVERLAP,RETURN_NOT_SIGNIFICANT,-0.000215,-0.91135,-0.773136,0.000278,5,25,17.992066,1.178771,-0.000182,-0.0008,0.000324,0.7075,COMPUTED
candle_wick_upper,72h,72,SEVERE_OVERLAP,RETURN_NOT_SIGNIFICANT,-0.000635,-0.801956,-0.823542,0.000771,5,25,26.363946,0.973789,-0.000492,-0.002419,0.001041,0.6835,COMPUTED
clv_20h,1h,1,NO_MAJOR_OVERLAP,RETURN_NOT_SIGNIFICANT,-3.8e-05,-1.097967,-1.250681,3.1e-05,1,25,32.438036,0.877895,-4.1e-05,-9.4e-05,7e-06,0.9525,COMPUTED
clv_20h,4h,4,MODERATE_OVERLAP,RETURN_NOT_SIGNIFICANT,0.0001,0.813613,1.265855,7.9e-05,4,25,60.516221,0.642738,8.1e-05,-7.5e-05,0.000217,0.86,COMPUTED
clv_20h,24h,24,HIGH_OVERLAP,RETURN_NOT_SIGNIFICANT,0.001214,1.651938,1.700322,0.000714,5,25,26.485886,0.971545,0.000823,-0.000525,0.00223,0.868,COMPUTED
clv_20h,72h,72,SEVERE_OVERLAP,RETURN_NOT_SIGNIFICANT,0.002075,1.12353,1.431423,0.001449,5,25,40.579514,0.784904,0.001306,-0.000991,0.004131,0.839,COMPUTED
downside_vol_20h,1h,1,NO_MAJOR_OVERLAP,RETURN_NOT_SIGNIFICANT,-3.7e-05,-0.714068,-0.646738,5.7e-05,1,25,20.507712,1.104108,-4.2e-05,-0.000156,7.9e-05,0.7485,COMPUTED
downside_vol_20h,4h,4,MODERATE_OVERLAP,RETURN_NOT_SIGNIFICANT,-0.000137,-0.67362,-0.564489,0.000243,4,25,17.555806,1.193327,-0.000167,-0.000638,0.000304,0.746,COMPUTED
downside_vol_20h,24h,24,HIGH_OVERLAP,RETURN_NOT_SIGNIFICANT,-0.001237,-1.048,-0.916125,0.001351,5,25,19.10412,1.143949,-0.001562,-0.004097,0.000949,0.8755,COMPUTED
downside_vol_20h,72h,72,SEVERE_OVERLAP,RETURN_NOT_SIGNIFICANT,-0.003539,-1.005167,-0.950221,0.003724,5,25,22.341532,1.057824,-0.003924,-0.010881,0.002941,0.855,COMPUTED
ema_12_26_gap,1h,1,NO_MAJOR_OVERLAP,RETURN_ROBUST_POSITIVE,0.000113,2.506826,2.470628,4.6e-05,1,25,24.283209,1.014652,9.2e-05,2.8e-05,0.000156,0.9975,COMPUTED
ema_12_26_gap,4h,4,MODERATE_OVERLAP,RETURN_ROBUST_POSITIVE,0.000422,2.448734,3.059954,0.000138,4,25,39.037899,0.800252,0.000324,9.3e-05,0.000533,0.996,COMPUTED
ema_12_26_gap,24h,24,HIGH_OVERLAP,RETURN_ROBUST_POSITIVE,0.001675,1.731618,2.233111,0.00075,5,25,41.577331,0.775428,0.00111,-0.000223,0.002472,0.9385,COMPUTED
ema_12_26_gap,72h,72,SEVERE_OVERLAP,RETURN_ROBUST_POSITIVE,0.005792,2.205394,2.697796,0.002147,5,25,37.409833,0.81748,0.006148,0.001763,0.010656,0.998,COMPUTED
funding_rate_change_24h,1h,1,NO_MAJOR_OVERLAP,RETURN_NOT_SIGNIFICANT,0.000149,0.889402,0.893896,0.000167,1,24,24.2431,0.994974,2e-05,-6.9e-05,0.000298,0.3195,COMPUTED
funding_rate_change_24h,4h,4,MODERATE_OVERLAP,RETURN_NOT_SIGNIFICANT,7.8e-05,0.371747,0.382332,0.000205,4,24,25.386111,0.972316,-6.2e-05,-0.000236,0.000243,0.2665,COMPUTED
funding_rate_change_24h,24h,24,HIGH_OVERLAP,RETURN_NOT_SIGNIFICANT,-0.000243,-0.627954,-0.774955,0.000314,4,24,36.551845,0.81031,-2.5e-05,-0.000505,0.000477,0.545,COMPUTED
funding_rate_change_24h,72h,72,SEVERE_OVERLAP,RETURN_NOT_SIGNIFICANT,0.000922,0.974548,1.23116,0.000749,4,24,38.303083,0.791569,0.000831,-0.000351,0.00198,0.9125,COMPUTED
funding_rate_level_20h,1h,1,NO_MAJOR_OVERLAP,RETURN_ROBUST_NEGATIVE,-0.000226,-2.158335,-2.070066,0.000109,1,24,22.077088,1.042641,-0.00016,-0.000365,-1.6e-05,0.989,COMPUTED
funding_rate_level_20h,4h,4,MODERATE_OVERLAP,RETURN_NOT_SIGNIFICANT,-0.000339,-1.517897,-1.515085,0.000224,4,24,23.911164,1.001856,-0.000449,-0.000836,-7.1e-05,0.9895,COMPUTED
funding_rate_level_20h,24h,24,HIGH_OVERLAP,NAIVE_ONLY_RETURN_SIGNIFICANT,-0.002497,-2.427371,-1.944825,0.001284,4,24,15.406363,1.248118,-0.00246,-0.004927,-8.6e-05,0.9785,COMPUTED
funding_rate_level_20h,72h,72,SEVERE_OVERLAP,RETURN_ROBUST_NEGATIVE,-0.012252,-3.263323,-2.304669,0.005316,4,24,11.970391,1.415962,-0.010567,-0.020206,-0.002086,0.996,COMPUTED
funding_rate_zscore_80h,1h,1,NO_MAJOR_OVERLAP,RETURN_NOT_SIGNIFICANT,0.000181,0.943359,0.955632,0.000189,1,24,24.628564,0.987157,3.9e-05,-4.5e-05,0.000376,0.3115,COMPUTED
funding_rate_zscore_80h,4h,4,MODERATE_OVERLAP,RETURN_NOT_SIGNIFICANT,0.000269,0.640819,0.640698,0.000419,4,24,23.990998,1.000188,-1.6e-05,-0.000285,0.000703,0.274,COMPUTED
funding_rate_zscore_80h,24h,24,HIGH_OVERLAP,RETURN_NOT_SIGNIFICANT,0.000118,0.189008,0.188535,0.000625,4,24,23.880193,1.002505,0.000189,-0.000897,0.001411,0.6105,COMPUTED
funding_rate_zscore_80h,72h,72,SEVERE_OVERLAP,RETURN_NOT_SIGNIFICANT,0.002714,1.326932,1.111329,0.002442,4,24,16.834464,1.194005,0.002292,-0.002001,0.006756,0.839,COMPUTED
intraday_ret,1h,1,NO_MAJOR_OVERLAP,RETURN_ROBUST_NEGATIVE,-0.000118,-2.12686,-2.041208,5.8e-05,1,25,23.026958,1.041962,-0.000125,-0.000242,-2e-06,0.9765,COMPUTED
intraday_ret,4h,4,MODERATE_OVERLAP,RETURN_NOT_SIGNIFICANT,-4.9e-05,-0.358394,-0.458681,0.000106,4,25,40.94875,0.781357,-1.2e-05,-0.000219,0.000198,0.5365,COMPUTED
intraday_ret,24h,24,HIGH_OVERLAP,RETURN_NOT_SIGNIFICANT,0.000402,1.528302,1.692684,0.000238,5,25,30.667126,0.902887,0.000321,-0.000112,0.000847,0.905,COMPUTED
intraday_ret,72h,72,SEVERE_OVERLAP,RETURN_ROBUST_POSITIVE,0.001474,2.291065,2.618409,0.000563,5,25,32.654281,0.874984,0.001378,0.000227,0.002787,0.992,COMPUTED
klow_close,1h,1,NO_MAJOR_OVERLAP,RETURN_NOT_SIGNIFICANT,-4.8e-05,-1.307342,-1.138319,4.2e-05,1,25,18.95349,1.148485,-2.8e-05,-8.8e-05,5e-05,0.788,COMPUTED
klow_close,4h,4,MODERATE_OVERLAP,RETURN_NOT_SIGNIFICANT,9.8e-05,0.758163,0.588696,0.000167,4,25,15.072931,1.287867,0.000103,-0.00022,0.000447,0.7045,COMPUTED
klow_close,24h,24,HIGH_OVERLAP,RETURN_NOT_SIGNIFICANT,0.001154,1.579521,1.137404,0.001015,5,25,12.963391,1.388707,0.001159,-0.000705,0.003148,0.8645,COMPUTED
klow_close,72h,72,SEVERE_OVERLAP,RETURN_NOT_SIGNIFICANT,0.003155,1.376657,1.120431,0.002816,5,25,16.559939,1.228685,0.003272,-0.001945,0.00895,0.872,COMPUTED
ksft_5h,1h,1,NO_MAJOR_OVERLAP,RETURN_NOT_SIGNIFICANT,3.2e-05,1.127054,1.051219,3e-05,1,25,21.748893,1.07214,2.6e-05,-2.4e-05,7.5e-05,0.8425,COMPUTED
ksft_5h,4h,4,MODERATE_OVERLAP,RETURN_ROBUST_POSITIVE,0.000133,1.653263,2.439006,5.4e-05,4,25,54.410359,0.677843,0.000125,1.5e-05,0.000233,0.9905,COMPUTED
ksft_5h,24h,24,HIGH_OVERLAP,RETURN_NOT_SIGNIFICANT,0.000301,1.061401,1.302665,0.000231,5,25,37.657074,0.814792,0.000207,-0.000251,0.000619,0.808,COMPUTED
ksft_5h,72h,72,SEVERE_OVERLAP,RETURN_NOT_SIGNIFICANT,0.000187,0.345627,0.725262,0.000258,5,25,110.081333,0.476555,0.000409,-2.6e-05,0.00079,0.9645,COMPUTED
ma_gap_10_40,1h,1,NO_MAJOR_OVERLAP,RETURN_NOT_SIGNIFICANT,8.6e-05,1.933881,1.880701,4.6e-05,1,25,23.64394,1.028277,6.1e-05,5e-06,0.000129,0.9855,COMPUTED
ma_gap_10_40,4h,4,MODERATE_OVERLAP,RETURN_ROBUST_POSITIVE,0.000323,1.862798,2.006435,0.000161,4,25,29.00404,0.928412,0.00021,7e-06,0.000449,0.982,COMPUTED
ma_gap_10_40,24h,24,HIGH_OVERLAP,RETURN_NOT_SIGNIFICANT,0.001324,1.390806,1.532077,0.000864,5,25,30.336708,0.907791,0.000717,-0.000746,0.002246,0.838,COMPUTED
ma_gap_10_40,72h,72,SEVERE_OVERLAP,RETURN_ROBUST_POSITIVE,0.00527,2.215432,2.326677,0.002265,5,25,27.573717,0.952187,0.005464,0.000983,0.010156,0.995,COMPUTED
ma_gap_20_80,1h,1,NO_MAJOR_OVERLAP,RETURN_NOT_SIGNIFICANT,3.8e-05,0.959642,0.929085,4.1e-05,1,25,23.433246,1.032889,1.7e-05,-4.1e-05,7.4e-05,0.726,COMPUTED
ma_gap_20_80,4h,4,MODERATE_OVERLAP,RETURN_NOT_SIGNIFICANT,0.000139,0.928749,1.195042,0.000117,4,25,41.391322,0.777169,7e-05,-0.000146,0.000285,0.7385,COMPUTED
ma_gap_20_80,24h,24,HIGH_OVERLAP,RETURN_NOT_SIGNIFICANT,0.001198,1.174435,1.551045,0.000772,5,25,43.604407,0.75719,0.001054,-0.000562,0.00273,0.9055,COMPUTED
ma_gap_20_80,72h,72,SEVERE_OVERLAP,RETURN_NOT_SIGNIFICANT,0.005117,1.638526,1.74201,0.002937,5,25,28.257545,0.940595,0.006607,0.001272,0.012092,0.994,COMPUTED
ma_gap_5_20,1h,1,NO_MAJOR_OVERLAP,RETURN_ROBUST_POSITIVE,0.000104,2.732931,3.169636,3.3e-05,1,25,33.628028,0.862222,0.000101,3.8e-05,0.000163,1.0,COMPUTED
ma_gap_5_20,4h,4,MODERATE_OVERLAP,RETURN_ROBUST_POSITIVE,0.000449,2.896398,4.826226,9.3e-05,4,25,69.412719,0.600137,0.000426,0.000251,0.000615,1.0,COMPUTED
ma_gap_5_20,24h,24,HIGH_OVERLAP,RETURN_ROBUST_POSITIVE,0.001629,2.157659,2.409014,0.000676,5,25,31.164,0.89566,0.001053,0.000297,0.002004,0.999,COMPUTED
ma_gap_5_20,72h,72,SEVERE_OVERLAP,RETURN_ROBUST_POSITIVE,0.004442,2.459017,2.777564,0.001599,5,25,31.896645,0.885314,0.004198,0.001211,0.007469,0.9995,COMPUTED
mom_10h,1h,1,NO_MAJOR_OVERLAP,RETURN_NOT_SIGNIFICANT,3.1e-05,0.737216,0.771154,4e-05,1,25,27.3547,0.955991,2.5e-05,-5.3e-05,0.000119,0.6785,COMPUTED
mom_10h,4h,4,MODERATE_OVERLAP,RETURN_ROBUST_POSITIVE,0.00032,2.238564,3.301843,9.7e-05,4,25,54.389362,0.677974,0.000329,0.000127,0.00052,1.0,COMPUTED
mom_10h,24h,24,HIGH_OVERLAP,RETURN_ROBUST_POSITIVE,0.001488,2.138488,2.39498,0.000621,5,25,31.356685,0.892904,0.001026,0.000241,0.001984,0.995,COMPUTED
mom_10h,72h,72,SEVERE_OVERLAP,RETURN_ROBUST_POSITIVE,0.003998,2.554392,2.681718,0.001491,5,25,27.554419,0.952521,0.003752,0.000967,0.006854,0.9995,COMPUTED
mom_120h,1h,1,NO_MAJOR_OVERLAP,RETURN_ROBUST_POSITIVE,6.6e-05,2.140372,2.22929,3e-05,1,25,27.120295,0.960114,6.9e-05,1.6e-05,0.000121,0.9965,COMPUTED
mom_120h,4h,4,MODERATE_OVERLAP,RETURN_ROBUST_POSITIVE,0.000277,2.214705,2.97578,9.3e-05,4,25,45.134616,0.744244,0.000304,0.000111,0.00049,0.9995,COMPUTED
mom_120h,24h,24,HIGH_OVERLAP,RETURN_ROBUST_POSITIVE,0.001414,1.722769,2.206185,0.000641,5,25,40.998677,0.780881,0.001808,0.000608,0.003057,0.999,COMPUTED
mom_120h,72h,72,SEVERE_OVERLAP,RETURN_NOT_SIGNIFICANT,0.005196,1.743345,1.648006,0.003153,5,25,22.340393,1.057851,0.00719,0.00125,0.013263,0.9945,COMPUTED
mom_20h,1h,1,NO_MAJOR_OVERLAP,RETURN_ROBUST_POSITIVE,0.000121,2.529514,2.459761,4.9e-05,1,25,23.640244,1.028357,0.000112,2e-06,0.000236,0.977,COMPUTED
mom_20h,4h,4,MODERATE_OVERLAP,RETURN_ROBUST_POSITIVE,0.000565,3.017419,2.890268,0.000195,4,25,22.937442,1.043993,0.000528,0.000189,0.000936,1.0,COMPUTED
mom_20h,24h,24,HIGH_OVERLAP,RETURN_NOT_SIGNIFICANT,0.001643,1.804327,1.986454,0.000827,5,25,30.301686,0.908315,0.000942,-0.000123,0.002195,0.9545,COMPUTED
mom_20h,72h,72,SEVERE_OVERLAP,RETURN_ROBUST_POSITIVE,0.004812,2.325192,2.426775,0.001983,5,25,27.232119,0.958141,0.004596,0.00074,0.008717,0.996,COMPUTED
mom_40h,1h,1,NO_MAJOR_OVERLAP,RETURN_NOT_SIGNIFICANT,7.8e-05,1.724171,1.557737,5e-05,1,25,20.406463,1.106843,5.5e-05,-2.1e-05,0.000126,0.9185,COMPUTED
mom_40h,4h,4,MODERATE_OVERLAP,RETURN_NOT_SIGNIFICANT,0.000312,1.641844,1.787401,0.000175,4,25,29.629232,0.918565,0.000204,-6.6e-05,0.000494,0.907,COMPUTED
mom_40h,24h,24,HIGH_OVERLAP,RETURN_NOT_SIGNIFICANT,0.001562,1.677054,1.916107,0.000815,5,25,32.63513,0.87524,0.001116,-0.000348,0.002687,0.9225,COMPUTED
mom_40h,72h,72,SEVERE_OVERLAP,RETURN_ROBUST_POSITIVE,0.005311,2.005814,2.120971,0.002504,5,25,27.952962,0.945706,0.005887,0.001059,0.010946,0.9925,COMPUTED
mom_5h,1h,1,NO_MAJOR_OVERLAP,RETURN_NOT_SIGNIFICANT,-8e-06,-0.163506,-0.167696,5e-05,1,25,26.2977,0.975015,-8e-06,-8.6e-05,6.8e-05,0.5675,COMPUTED
mom_5h,4h,4,MODERATE_OVERLAP,RETURN_NOT_SIGNIFICANT,0.000125,0.841181,1.111891,0.000112,4,25,43.680284,0.756532,0.000156,-6.5e-05,0.000381,0.911,COMPUTED
mom_5h,24h,24,HIGH_OVERLAP,RETURN_ROBUST_POSITIVE,0.001309,2.619855,2.740809,0.000478,5,25,27.361701,0.955869,0.001038,0.000277,0.001917,0.9995,COMPUTED
mom_5h,72h,72,SEVERE_OVERLAP,RETURN_ROBUST_POSITIVE,0.003031,2.473938,2.585121,0.001172,5,25,27.29757,0.956991,0.002893,0.000674,0.005447,1.0,COMPUTED
mom_72h,1h,1,NO_MAJOR_OVERLAP,RETURN_NOT_SIGNIFICANT,3.1e-05,0.789543,0.748158,4.1e-05,1,25,22.447865,1.055316,1.3e-05,-6.9e-05,9e-05,0.629,COMPUTED
mom_72h,4h,4,MODERATE_OVERLAP,RETURN_NOT_SIGNIFICANT,0.000101,0.649416,0.692144,0.000146,4,25,28.397979,0.938267,5.2e-05,-0.000228,0.000338,0.6415,COMPUTED
