factor,label,month,IC_mean,RankIC_mean,spread_mean,spread_t,n_timestamps
mom_20h,ret_fwd_24h,2026-02,-0.05044634902233257,-0.031522323215000286,-0.0026244192365671337,-1.372727227131558,672
mom_20h,ret_fwd_24h,2026-03,-0.015997583491081647,-0.008059610941150652,0.0021143630366604734,1.1906760812124322,744
mom_20h,ret_fwd_24h,2026-04,0.011977106117371007,-0.05232533013205282,0.0010568068304831054,0.5139216697948618,720
mom_20h,ret_fwd_24h,2026-05,0.027832339180679837,0.04563683537931301,0.018974229647230646,7.695617982296001,744
mom_20h,ret_fwd_24h,2026-06,0.170380091180621,0.16623091924516842,0.10198800271535458,14.424115868990102,253
mom_20h,ret_fwd_72h,2025-12,0.0059345112746514075,-0.01057925425809422,0.0015484173111895419,0.47783016979698667,399
mom_20h,ret_fwd_72h,2026-01,0.055134937896827205,0.04277717538628355,0.0120440972456057,6.178949055511991,744
mom_20h,ret_fwd_72h,2026-02,-0.016988477714057485,-0.026201194763619734,0.005184833611124146,1.7004709639284583,672
mom_20h,ret_fwd_72h,2026-03,-0.03896581704676256,-0.01904206844027933,-0.008461770865153515,-3.4021294103113138,744
mom_20h,ret_fwd_72h,2026-04,-0.07054105150430486,-0.010701347205548885,-0.02009499368289407,-5.369627671891792,720
mom_20h,ret_fwd_72h,2026-05,0.0345919206754448,0.07587292981708813,0.02794580897996241,6.082571737348492,744
mom_20h,ret_fwd_72h,2026-06,0.1584413504220173,0.051344713495154154,0.1908311514777086,16.128261257598368,205
reversal_5h,ret_fwd_1h,2025-12,-0.022721535645001713,0.034997535245982446,-2.5140330979732604e-06,-0.005991147098667541,414
reversal_5h,ret_fwd_1h,2026-01,0.009536498102675265,0.03151381520350075,-4.674675053196439e-06,-0.018874999301420642,744
reversal_5h,ret_fwd_1h,2026-02,0.0013235023497679484,0.012300062882295777,-0.00046354118963809823,-1.1156452006719615,672
reversal_5h,ret_fwd_1h,2026-03,-0.02620117317392027,0.019974441389459006,-0.0002269350451054477,-0.7252257858622156,744
reversal_5h,ret_fwd_1h,2026-04,0.011694227573105762,0.027972255568894225,0.0002610780231968022,0.6214307212263347,720
reversal_5h,ret_fwd_1h,2026-05,-0.006645125534779672,0.025083065484258215,-0.0002024973771362356,-0.46040005315141136,744
reversal_5h,ret_fwd_1h,2026-06,-0.03623610358085103,0.017817909772604695,-0.0008542992862035813,-0.6665459191552812,276
