factor,label,symbol,mean_forward_return,mean_factor_exposure,n_q5,n_q1,spread_contribution
mom_20h,ret_fwd_4h,HOMEUSDT,0.0007005480665075183,0.003631434132196717,1379,1162,-0.0015956467177769135
mom_20h,ret_fwd_4h,HUSDT,0.003102652910883957,0.016499609186861063,1706,1461,0.006327144841516648
mom_20h,ret_fwd_4h,HYPEUSDT,0.0008652386231459304,0.004355322511064465,1190,951,0.0016638313516117466
mom_20h,ret_fwd_4h,IDUSDT,-0.0005240853588481879,-0.0021976828355502356,661,969,0.0023834467460417726
mom_20h,ret_fwd_4h,INJUSDT,0.00022165043620789754,0.0010892064093236012,732,618,0.0029595169344862975
mom_20h,ret_fwd_4h,LABUSDT,0.006467205605024401,0.03292413305615936,1834,1427,-0.006944012270847381
mom_20h,ret_fwd_4h,LINKUSDT,-0.0004133493711193543,-0.0020501689297662148,151,111,-0.005063252667585067
mom_20h,ret_fwd_4h,LTCUSDT,-0.0005225624207777401,-0.0026309770901421004,207,207,-0.0031723434114692382
mom_20h,ret_fwd_4h,NEARUSDT,0.0004464390049183235,0.002291359939596859,778,562,0.002090639542891531
mom_20h,ret_fwd_4h,ONDOUSDT,1.1941070315799739e-05,2.2466169548380515e-05,676,697,0.0004722052111755476
mom_20h,ret_fwd_4h,PAXGUSDT,-1.072708107572556e-05,-6.0959300984773926e-05,965,752,0.0003166548199023011
mom_20h,ret_fwd_4h,PLAYUSDT,0.002279025588061902,0.012107584985105578,1584,1762,0.0020135244610390013
mom_20h,ret_fwd_4h,SIRENUSDT,0.007454331444760503,0.037687877199582144,1719,1305,0.011333039786098106
mom_20h,ret_fwd_4h,SKYAIUSDT,0.003591307990749971,0.01707258453728866,1793,1438,-0.0005761209558011915
mom_20h,ret_fwd_4h,SOLUSDT,-0.0005380359355221486,-0.002653638986811509,251,269,-0.003871341706766094
mom_20h,ret_fwd_4h,SPACEUSDT,0.00014397576871150316,0.0010980418915994801,1131,1339,0.002272935622608222
mom_20h,ret_fwd_4h,STGUSDT,0.0020077902233589734,0.010059712589831172,1272,1139,0.0024570155849294793
mom_20h,ret_fwd_4h,SUIUSDT,-0.000521192810409497,-0.002598314795727546,375,539,-0.00010557600176116838
mom_20h,ret_fwd_4h,TAOUSDT,-4.7583948833060713e-05,-0.00031943316315559086,871,852,0.002113299183474543
mom_20h,ret_fwd_4h,TONUSDT,0.0002570063401976603,0.001242422695456276,893,756,0.0035786882558002803
mom_20h,ret_fwd_4h,TRUMPUSDT,-0.0007367471815096243,-0.004505148759457359,386,703,-0.00010876715849776446
mom_20h,ret_fwd_4h,TRXUSDT,0.00010906224981464596,0.0006499552004815063,1079,613,-0.0003970494860216407
mom_20h,ret_fwd_4h,UNIUSDT,-0.00055789507962891,-0.002816418434103665,439,584,8.12193264908606e-05
mom_20h,ret_fwd_4h,VELVETUSDT,0.002856465179840975,0.014303502824474262,1448,1438,0.007198346248265363
mom_20h,ret_fwd_4h,WLDUSDT,0.00018826209737227067,0.0010092557802357325,764,814,-0.001926617346542449
mom_20h,ret_fwd_4h,XLMUSDT,-9.241103628392588e-06,-9.981942256433709e-05,442,486,0.0015810176523490013
mom_20h,ret_fwd_4h,XMRUSDT,9.289257659293684e-05,0.00043639060721673895,1054,947,-5.740466202287255e-05
mom_20h,ret_fwd_4h,XPLUSDT,-7.076750579875551e-05,-0.00151638845451485,1100,1401,3.2178426706933353e-05
mom_20h,ret_fwd_4h,XRPUSDT,-0.0004288616494454331,-0.002163629941028727,245,198,0.0015183538033669672
mom_20h,ret_fwd_4h,ZECUSDT,0.0004280318196843832,0.00246748496766935,1293,1275,0.004157722173835645
mom_20h,ret_fwd_24h,1000PEPEUSDT,-0.0008988614775930013,-0.0010352876773946395,502,573,-0.0010059244482007275
mom_20h,ret_fwd_24h,ADAUSDT,-0.003925078325623387,-0.0035750304087623537,258,324,-0.015083622335666519
mom_20h,ret_fwd_24h,AIOUSDT,0.008015662598777548,0.006187222106501191,1572,1375,-0.00032892114092540614
mom_20h,ret_fwd_24h,ALLOUSDT,0.014175822728039819,0.011474597405844753,1209,1362,0.04089763831306757
mom_20h,ret_fwd_24h,ARBUSDT,-0.004047422166728383,-0.0037655738818347063,489,604,-0.00627250937801592
mom_20h,ret_fwd_24h,AVAXUSDT,-0.0029732928857969993,-0.0027349670588055646,234,228,-0.02138342412357907
mom_20h,ret_fwd_24h,BCHUSDT,-0.004861980812062107,-0.004394635892515277,681,668,0.001947461255704332
mom_20h,ret_fwd_24h,BEATUSDT,0.016207736750363057,0.014960838384859225,1814,1669,0.030842598848528097
mom_20h,ret_fwd_24h,BNBUSDT,-0.001693677387886359,-0.0016189361090036527,242,202,0.007877974992308587
mom_20h,ret_fwd_24h,BTCUSDT,-0.0014924758919587803,-0.0014334604787166472,233,134,0.012117764994932901
mom_20h,ret_fwd_24h,CHZUSDT,0.0007038842372142614,0.00019615749050423003,1070,1033,0.019689789151245904
mom_20h,ret_fwd_24h,CRVUSDT,-0.0011540631520349333,-0.001605158692761565,686,754,-0.0012886858881085818
mom_20h,ret_fwd_24h,DOGEUSDT,-0.0016988236430403119,-0.0016748139579808295,323,331,-0.00896339726078111
mom_20h,ret_fwd_24h,DOTUSDT,-0.0030653159738014196,-0.002791974804942767,391,465,-0.003448661129082436
mom_20h,ret_fwd_24h,ENAUSDT,-0.004494496232450103,-0.004290911826403143,645,1142,0.007601692834768821
mom_20h,ret_fwd_24h,EPICUSDT,0.004113895766089928,0.0026266468847382218,1037,1168,0.015962557958473383
mom_20h,ret_fwd_24h,ESPORTSUSDT,0.00999747917968118,0.004206152874341807,1407,1456,0.027823748397337377
mom_20h,ret_fwd_24h,ETHUSDT,-0.0027538049114140123,-0.0025341438539988738,327,283,0.007557476538103947
mom_20h,ret_fwd_24h,FILUSDT,-0.0018783911638810958,-0.0017719453822436918,580,595,-0.012958048189415743
mom_20h,ret_fwd_24h,HMSTRUSDT,0.003828818569406542,0.0025454294599090385,780,800,0.00447108537384837
mom_20h,ret_fwd_24h,HOMEUSDT,0.0043761546768131794,0.0040932320823467375,1379,1144,0.0018017526299385798
mom_20h,ret_fwd_24h,HUSDT,0.020461384783362596,0.01249255416889477,1686,1461,0.025143264471447282
mom_20h,ret_fwd_24h,HYPEUSDT,0.005577420647292196,0.004097694822289552,1190,951,0.0011726797616797829
mom_20h,ret_fwd_24h,IDUSDT,-0.0024019728446167004,-0.002988066418942159,649,963,0.012991222863972376
mom_20h,ret_fwd_24h,INJUSDT,0.001555059331499358,0.0008811772230889267,731,618,0.0084116137651021
mom_20h,ret_fwd_24h,LABUSDT,0.039493663475275616,0.03229448503054925,1825,1427,-0.009272280949819266
mom_20h,ret_fwd_24h,LINKUSDT,-0.0022571951987769884,-0.0021543210528459224,151,111,-0.014441139609103123
mom_20h,ret_fwd_24h,LTCUSDT,-0.0030561727952396617,-0.0026780844923364345,207,196,-0.008488465323455346
mom_20h,ret_fwd_24h,NEARUSDT,0.002986517590540724,0.0021978425658298844,778,555,0.01803532189210384
mom_20h,ret_fwd_24h,ONDOUSDT,0.0003983126705476508,-0.00023476137663469045,676,697,-0.006860586552633802
mom_20h,ret_fwd_24h,PAXGUSDT,-5.071376444876623e-05,-0.0001585068346804015,965,745,-0.0004927225250955067
mom_20h,ret_fwd_24h,PLAYUSDT,0.014713997492831815,0.013382022521462276,1584,1742,0.012070994457440337
mom_20h,ret_fwd_24h,SIRENUSDT,0.04509081590624423,0.03870404802082633,1719,1285,-0.018739953270439466
mom_20h,ret_fwd_24h,SKYAIUSDT,0.020591629413470206,0.015407567068727767,1773,1438,-0.012229341022679679
mom_20h,ret_fwd_24h,SOLUSDT,-0.0030586337187694223,-0.0028171949066754815,251,269,-0.0006873512113627078
mom_20h,ret_fwd_24h,SPACEUSDT,0.0013986704549831263,-0.00014561056325094795,1114,1339,0.008824665818152146
mom_20h,ret_fwd_24h,STGUSDT,0.012333540707393273,0.008570085610446705,1253,1139,0.022916972055475687
mom_20h,ret_fwd_24h,SUIUSDT,-0.0028334816838566394,-0.0027000880130077956,375,535,0.003721433784605199
mom_20h,ret_fwd_24h,TAOUSDT,-5.600023140263297e-05,-0.0004667853881943543,871,852,0.008265193173148208
mom_20h,ret_fwd_24h,TONUSDT,0.0017926435492187935,0.0010913610331400013,893,752,0.024345193097059303
mom_20h,ret_fwd_24h,TRUMPUSDT,-0.005118861401535288,-0.004740093155585643,384,703,-0.005440504773071058
mom_20h,ret_fwd_24h,TRXUSDT,0.0007536175058284393,0.0007449894994485982,1079,593,-0.0027836088549909902
mom_20h,ret_fwd_24h,UNIUSDT,-0.003143114576034108,-0.002938815133544407,439,580,-0.011512056748394329
mom_20h,ret_fwd_24h,VELVETUSDT,0.017634931697957143,0.010805759561508687,1429,1438,0.05815187127577662
mom_20h,ret_fwd_24h,WLDUSDT,0.0013878908914868493,0.000695761549999916,764,811,0.0004735564457836792
mom_20h,ret_fwd_24h,XLMUSDT,0.00012436331540635072,-0.00019214771897472583,442,481,0.012243802132069742
mom_20h,ret_fwd_24h,XMRUSDT,0.0005467154851972431,-4.055727065548918e-05,1047,947,0.0013308227110091315
mom_20h,ret_fwd_24h,XPLUSDT,-0.0011176528488412022,-0.0023889075523407396,1088,1401,-0.0069030731554177716
mom_20h,ret_fwd_24h,XRPUSDT,-0.00238320151072315,-0.0022778540658348126,245,195,-0.005135354346478575
mom_20h,ret_fwd_24h,ZECUSDT,0.003028696400883564,0.0023778525546094306,1293,1268,0.024350460384713512
mom_20h,ret_fwd_72h,1000PEPEUSDT,-0.00248686275208037,-0.0009150051882426314,502,573,0.03189021279736868
mom_20h,ret_fwd_72h,ADAUSDT,-0.012094262710157939,-0.0034703688842523343,258,324,-0.035875433730182864
mom_20h,ret_fwd_72h,AIOUSDT,0.017114043655318417,0.004032347636007558,1546,1360,-0.055056495268187254
mom_20h,ret_fwd_72h,ALLOUSDT,0.04767917180798364,0.012193730705934191,1203,1336,0.0781518050257296
mom_20h,ret_fwd_72h,ARBUSDT,-0.012452317544765801,-0.003668711981664871,489,603,0.006991101628692839
mom_20h,ret_fwd_72h,AVAXUSDT,-0.008992468773624094,-0.0026058445838440976,234,228,-0.013737972786043207
mom_20h,ret_fwd_72h,BCHUSDT,-0.015226885551195208,-0.004218247831299221,681,668,0.01412309340860017
mom_20h,ret_fwd_72h,BEATUSDT,0.055640913585717065,0.011794352896478415,1766,1669,0.09100791276800503
mom_20h,ret_fwd_72h,BNBUSDT,-0.005247665263243973,-0.0015676115879815129,242,202,0.011413369910976339
mom_20h,ret_fwd_72h,BTCUSDT,-0.0048249685838355,-0.0013938621186538542,233,134,0.010736013740292996
mom_20h,ret_fwd_72h,CHZUSDT,0.0028621655017827554,8.517594279734885e-05,1050,1019,0.030406198938337594
mom_20h,ret_fwd_72h,CRVUSDT,-0.005569866439229752,-0.002379533939290811,653,754,-0.021014091791592047
mom_20h,ret_fwd_72h,DOGEUSDT,-0.00557384439040945,-0.001588817230172022,323,331,-0.012965250591395111
mom_20h,ret_fwd_72h,DOTUSDT,-0.00936128074770913,-0.0026448299681623186,391,465,-0.030510754560306733
mom_20h,ret_fwd_72h,ENAUSDT,-0.013415489782384023,-0.00379888980822817,645,1114,0.01170963454300472
mom_20h,ret_fwd_72h,EPICUSDT,0.01084959841342348,0.0018663031510968834,1011,1168,0.055948083463669404
mom_20h,ret_fwd_72h,ESPORTSUSDT,0.023355152786723735,0.0026662020753232215,1379,1444,-0.016560732148957397
mom_20h,ret_fwd_72h,ETHUSDT,-0.008268455118478304,-0.0024551954553449678,327,283,-0.009093041190179757
mom_20h,ret_fwd_72h,FILUSDT,-0.0062242137346878905,-0.0016295805742885523,580,595,-0.02831659417033661
mom_20h,ret_fwd_72h,HMSTRUSDT,0.00701350207099348,0.0001875541032569458,742,799,-0.024902342452531666
mom_20h,ret_fwd_72h,HOMEUSDT,0.014325785450507044,0.0031113280366102647,1347,1144,0.004889820914466169
mom_20h,ret_fwd_72h,HUSDT,0.04812247519647391,0.01189680726675201,1660,1443,0.01284476528506455
mom_20h,ret_fwd_72h,HYPEUSDT,0.017018195846203402,0.00475611782631434,1190,921,0.002104952174186551
mom_20h,ret_fwd_72h,IDUSDT,-0.010090648859979779,-0.0037403292988606126,616,951,-0.026291272761473923
mom_20h,ret_fwd_72h,INJUSDT,0.004710763132017611,0.0013406022224253537,731,596,-0.008955266974588098
mom_20h,ret_fwd_72h,LABUSDT,0.11954828113147531,0.03435267692949073,1824,1381,0.011286574846103486
mom_20h,ret_fwd_72h,LINKUSDT,-0.006966606208691159,-0.002034555074223966,151,111,-0.031083468974806083
mom_20h,ret_fwd_72h,LTCUSDT,-0.009441494014646399,-0.0026363887709950893,204,196,-0.013388411175702256
mom_20h,ret_fwd_72h,NEARUSDT,0.009553031340527197,0.0025112725316492252,774,536,-0.000873461537452512
mom_20h,ret_fwd_72h,ONDOUSDT,0.0007881815581805599,9.031941259498017e-05,676,690,-0.004838337414669864
mom_20h,ret_fwd_72h,PAXGUSDT,-0.0002646144691134658,0.00010382454598064493,964,734,0.004562252782566074
mom_20h,ret_fwd_72h,PLAYUSDT,0.04753995499530552,0.015060926690877679,1567,1711,-0.038456048475992606
mom_20h,ret_fwd_72h,SIRENUSDT,0.11157869636654714,0.04159307503680216,1719,1240,-0.11901468414092622
mom_20h,ret_fwd_72h,SKYAIUSDT,0.055588245185353824,0.016103022932435006,1761,1408,-0.03321468244989039
mom_20h,ret_fwd_72h,SOLUSDT,-0.00965459208485367,-0.0026908631525557167,251,269,-0.02577395743164687
mom_20h,ret_fwd_72h,SPACEUSDT,0.0004372880817792085,-0.0007548945797658452,1102,1337,0.023447741903667944
mom_20h,ret_fwd_72h,STGUSDT,0.036761681409206944,0.0057499563123582075,1210,1138,0.047832883794014035
mom_20h,ret_fwd_72h,SUIUSDT,-0.008671284203559696,-0.002656471734166499,375,535,0.022385123121712446
mom_20h,ret_fwd_72h,TAOUSDT,0.0007227765260787439,-0.0002525613412626479,871,850,0.01812766721846054
mom_20h,ret_fwd_72h,TONUSDT,0.006965017326052482,0.001405052235088042,893,745,0.032572955810916696
mom_20h,ret_fwd_72h,TRUMPUSDT,-0.016096802024670023,-0.0047877789781278,384,703,-0.013360856266951184
mom_20h,ret_fwd_72h,TRXUSDT,0.0025214478248938303,0.0007994070239233143,1074,591,-0.0038242514434210398
mom_20h,ret_fwd_72h,UNIUSDT,-0.010044129889851894,-0.002838135937884101,439,580,-0.016849208588206516
mom_20h,ret_fwd_72h,VELVETUSDT,0.053077279607653974,0.005055199712935011,1386,1433,0.15464707672846972
mom_20h,ret_fwd_72h,WLDUSDT,0.004157575090607869,0.0011174811136593409,756,787,0.00786081370974544
mom_20h,ret_fwd_72h,XLMUSDT,0.0011396927271586886,0.0001191612691699347,442,467,0.0337539397412108
mom_20h,ret_fwd_72h,XMRUSDT,-0.0004707287055419884,-0.00032929368610766697,1034,944,0.01834395097520907
mom_20h,ret_fwd_72h,XPLUSDT,-0.005109074636415949,-0.0019382364864744817,1088,1370,0.012417435516505735
mom_20h,ret_fwd_72h,XRPUSDT,-0.007647220405948633,-0.002073994328847291,245,195,-0.007677430028083448
mom_20h,ret_fwd_72h,ZECUSDT,0.010129178600897407,0.0028164834516939304,1291,1247,0.035024277062189364
reversal_5h,ret_fwd_1h,1000PEPEUSDT,-4.997738594777214e-05,0.000247963610954861,613,574,-0.0006864739295897388
reversal_5h,ret_fwd_1h,ADAUSDT,-0.0001684899163132645,0.0008423193472238306,301,281,-0.00037374587008135547
