factor_name,category,expected_direction,horizon,raw_mean_rank_ic,direction_adjusted_mean_rank_ic,raw_rank_ic_std,direction_adjusted_rank_ic_std,raw_icir,direction_adjusted_icir,icir,t_stat,ic_win_rate_raw,ic_win_rate_adjusted,n_periods,n_symbols_avg,coverage,missing_rate,used_in_current_signal,status,formula_proxy,required_columns,lookback_window,notes,top_bucket_mean_return,bottom_bucket_mean_return,long_short_spread_mean,long_short_spread_t_stat,long_short_win_rate,long_short_spread_std,long_short_spread_annualized_return,long_short_spread_annualized_vol,long_short_spread_max_drawdown,long_short_spread_positive_period_rate,n_monthly_periods,annualization_method
wq101_alpha88,wq101,conditional,1h,0.01721831,0.01721831,0.1233147,0.1233147,0.139629,0.139629,0.139629,18.5675,0.5565,0.5565,17683,122.0,2161019,0.346298,False,DIRECTION_UNKNOWN,"WorldQuant 101 Alpha#88: min(rank(decay_linear(rank(open)+rank(low)-rank(high)-rank(close),8)), ts_rank(decay_linear(correlation(ts_rank(close,8),ts_rank(adv60,21),8),7),3))",open|high|low|close|volume,95,"WorldQuant 101 Alpha#88: min(rank(decay_linear(rank(open)+rank(low)-rank(high)-rank(close),8)), ts_rank(decay_linear(correlation(ts_rank(close,8),ts_rank(adv60,21),8),7),3))",-3.351e-05,-2.243e-05,-1.423e-05,-0.3896,0.5153,0.00019093,-0.03808744,0.00066138,-0.00127372,0.44,25,per_bar_mean_x_bars_per_year
wq101_alpha88,wq101,conditional,4h,0.02496153,0.02496153,0.1245359,0.1245359,0.200436,0.200436,0.200436,26.652,0.586,0.586,17681,122.0,2161019,0.346298,False,DIRECTION_UNKNOWN,"WorldQuant 101 Alpha#88: min(rank(decay_linear(rank(open)+rank(low)-rank(high)-rank(close),8)), ts_rank(decay_linear(correlation(ts_rank(close,8),ts_rank(adv60,21),8),7),3))",open|high|low|close|volume,95,"WorldQuant 101 Alpha#88: min(rank(decay_linear(rank(open)+rank(low)-rank(high)-rank(close),8)), ts_rank(decay_linear(correlation(ts_rank(close,8),ts_rank(adv60,21),8),7),3))",-0.00015671,-6.565e-05,-9.543e-05,-1.3017,0.5104,0.000773,-0.188425,0.00267775,-0.00618178,0.52,25,per_bar_mean_x_bars_per_year
wq101_alpha88,wq101,conditional,24h,0.0329002,0.0329002,0.12591799,0.12591799,0.261283,0.261283,0.261283,34.7231,0.6112,0.6112,17661,122.0,2161019,0.346298,False,DIRECTION_UNKNOWN,"WorldQuant 101 Alpha#88: min(rank(decay_linear(rank(open)+rank(low)-rank(high)-rank(close),8)), ts_rank(decay_linear(correlation(ts_rank(close,8),ts_rank(adv60,21),8),7),3))",open|high|low|close|volume,95,"WorldQuant 101 Alpha#88: min(rank(decay_linear(rank(open)+rank(low)-rank(high)-rank(close),8)), ts_rank(decay_linear(correlation(ts_rank(close,8),ts_rank(adv60,21),8),7),3))",-0.00074,-0.00032175,-0.00042191,-2.3091,0.5103,0.00384591,-0.20428058,0.01332262,-0.0288736,0.52,25,per_bar_mean_x_bars_per_year
wq101_alpha88,wq101,conditional,72h,0.03298187,0.03298187,0.1235409,0.1235409,0.266971,0.266971,0.266971,35.4308,0.6117,0.6117,17613,122.0,2161019,0.346298,False,DIRECTION_UNKNOWN,"WorldQuant 101 Alpha#88: min(rank(decay_linear(rank(open)+rank(low)-rank(high)-rank(close),8)), ts_rank(decay_linear(correlation(ts_rank(close,8),ts_rank(adv60,21),8),7),3))",open|high|low|close|volume,95,"WorldQuant 101 Alpha#88: min(rank(decay_linear(rank(open)+rank(low)-rank(high)-rank(close),8)), ts_rank(decay_linear(correlation(ts_rank(close,8),ts_rank(adv60,21),8),7),3))",-0.00249399,0.00029679,-0.0027824,-7.6301,0.4994,0.01112296,-0.3771731,0.03853108,-0.1080644,0.44,25,per_bar_mean_x_bars_per_year
wq101_alpha92,wq101,conditional,1h,0.00639645,0.00639645,0.18795125,0.18795125,0.034032,0.034032,0.034032,3.8206,0.5169,0.5169,12603,39.2,682006,0.793695,False,DIRECTION_UNKNOWN,"WorldQuant 101 Alpha#92: min(ts_rank(decay_linear(mid+close < low+open,15),19), ts_rank(decay_linear(correlation(rank(low),rank(adv30),8),7),7))",open|high|low|close|volume,49,"WorldQuant 101 Alpha#92: min(ts_rank(decay_linear(mid+close < low+open,15),19), ts_rank(decay_linear(correlation(rank(low),rank(adv30),8),7),7))",5.203e-05,8.04e-05,-3.1e-05,-0.3414,0.5065,0.00050188,0.50537413,0.00173858,-0.00212766,0.44,25,per_bar_mean_x_bars_per_year
wq101_alpha92,wq101,conditional,4h,0.00658558,0.00658558,0.18871222,0.18871222,0.034897,0.034897,0.034897,3.9172,0.5161,0.5161,12600,39.2,682006,0.793695,False,DIRECTION_UNKNOWN,"WorldQuant 101 Alpha#92: min(ts_rank(decay_linear(mid+close < low+open,15),19), ts_rank(decay_linear(correlation(rank(low),rank(adv30),8),7),7))",open|high|low|close|volume,49,"WorldQuant 101 Alpha#92: min(ts_rank(decay_linear(mid+close < low+open,15),19), ts_rank(decay_linear(correlation(rank(low),rank(adv30),8),7),7))",8.1e-06,0.00018779,-0.00020146,-1.104,0.502,0.0016748,-0.39183446,0.00580169,-0.01045063,0.44,25,per_bar_mean_x_bars_per_year
wq101_alpha92,wq101,conditional,24h,0.00419764,0.00419764,0.19129669,0.19129669,0.021943,0.021943,0.021943,2.4612,0.5091,0.5091,12580,39.2,682006,0.793695,False,DIRECTION_UNKNOWN,"WorldQuant 101 Alpha#92: min(ts_rank(decay_linear(mid+close < low+open,15),19), ts_rank(decay_linear(correlation(rank(low),rank(adv30),8),7),7))",open|high|low|close|volume,49,"WorldQuant 101 Alpha#92: min(ts_rank(decay_linear(mid+close < low+open,15),19), ts_rank(decay_linear(correlation(rank(low),rank(adv30),8),7),7))",0.00053357,0.00191248,-0.00177927,-3.5671,0.4949,0.00543276,-0.38047235,0.01881962,-0.04617196,0.36,25,per_bar_mean_x_bars_per_year
wq101_alpha92,wq101,conditional,72h,0.00138663,0.00138663,0.18893075,0.18893075,0.007339,0.007339,0.007339,0.8216,0.5003,0.5003,12532,39.2,682006,0.793695,False,DIRECTION_UNKNOWN,"WorldQuant 101 Alpha#92: min(ts_rank(decay_linear(mid+close < low+open,15),19), ts_rank(decay_linear(correlation(rank(low),rank(adv30),8),7),7))",open|high|low|close|volume,49,"WorldQuant 101 Alpha#92: min(ts_rank(decay_linear(mid+close < low+open,15),19), ts_rank(decay_linear(correlation(rank(low),rank(adv30),8),7),7))",0.00226412,0.0039731,-0.00335232,-2.8229,0.4851,0.01241248,-0.38754805,0.04299808,-0.0867949,0.48,25,per_bar_mean_x_bars_per_year
wq101_alpha94,wq101,conditional,1h,0.00298902,0.00298902,0.12551097,0.12551097,0.023815,0.023815,0.023815,3.1705,0.5157,0.5157,17724,171.6,3042114,0.07977,False,DIRECTION_UNKNOWN,"WorldQuant 101 Alpha#94: -rank(vwap-ts_min(vwap,12)) ^ ts_rank(correlation(ts_rank(vwap,20),ts_rank(adv60,4),18),3)",volume|quote_volume,82,"WorldQuant 101 Alpha#94: -rank(vwap-ts_min(vwap,12)) ^ ts_rank(correlation(ts_rank(vwap,20),ts_rank(adv60,4),18),3)",-2.828e-05,3.58e-06,-3.186e-05,-1.1362,0.4907,0.00011025,-0.27592354,0.0003819,-0.00085207,0.4,25,per_bar_mean_x_bars_per_year
wq101_alpha94,wq101,conditional,4h,0.00485278,0.00485278,0.12989456,0.12989456,0.037359,0.037359,0.037359,4.9734,0.5153,0.5153,17722,171.6,3042114,0.07977,False,DIRECTION_UNKNOWN,"WorldQuant 101 Alpha#94: -rank(vwap-ts_min(vwap,12)) ^ ts_rank(correlation(ts_rank(vwap,20),ts_rank(adv60,4),18),3)",volume|quote_volume,82,"WorldQuant 101 Alpha#94: -rank(vwap-ts_min(vwap,12)) ^ ts_rank(correlation(ts_rank(vwap,20),ts_rank(adv60,4),18),3)",-8.828e-05,1.95e-05,-0.00010777,-1.8587,0.4845,0.00037088,-0.24500085,0.00128476,-0.00341798,0.44,25,per_bar_mean_x_bars_per_year
wq101_alpha94,wq101,conditional,24h,-0.00423356,-0.00423356,0.13230592,0.13230592,-0.031998,-0.031998,-0.031998,-4.2573,0.4918,0.4918,17702,171.6,3042114,0.07977,False,DIRECTION_UNKNOWN,"WorldQuant 101 Alpha#94: -rank(vwap-ts_min(vwap,12)) ^ ts_rank(correlation(ts_rank(vwap,20),ts_rank(adv60,4),18),3)",volume|quote_volume,82,"WorldQuant 101 Alpha#94: -rank(vwap-ts_min(vwap,12)) ^ ts_rank(correlation(ts_rank(vwap,20),ts_rank(adv60,4),18),3)",-0.00054555,-6.85e-06,-0.00053871,-3.6542,0.4753,0.00265582,-0.27507764,0.00920002,-0.02149028,0.4,25,per_bar_mean_x_bars_per_year
