symbol,known_at,effective_from,effective_to,sector,industry,subindustry,taxonomy_version,source,quality_flag
ESPUSDT,2026-06-28T00:00:00Z,2026-02-10T09:00:00Z,,,,,reviewed_v1,manual_review,REVIEW
ETCUSDT,2026-06-28T00:00:00Z,2024-06-01T01:00:00Z,,,,,reviewed_v1,manual_review,REVIEW
ETHFIUSDT,2026-06-28T00:00:00Z,2024-06-01T01:00:00Z,,,,,reviewed_v1,manual_review,REVIEW
ETHUSDT,2026-06-28T00:00:00Z,2024-06-01T01:00:00Z,,,,,reviewed_v1,manual_review,REVIEW
EVAAUSDT,2026-06-28T00:00:00Z,2025-10-03T11:00:00Z,,,,,reviewed_v1,manual_review,REVIEW
FARTCOINUSDT,2026-06-28T00:00:00Z,2024-12-20T19:00:00Z,,,,,reviewed_v1,manual_review,REVIEW
FETUSDT,2026-06-28T00:00:00Z,2024-06-01T01:00:00Z,,,,,reviewed_v1,manual_review,REVIEW
FFUSDT,2026-06-28T00:00:00Z,2025-09-29T14:00:00Z,,,,,reviewed_v1,manual_review,REVIEW
FHEUSDT,2026-06-28T00:00:00Z,2025-04-12T16:00:00Z,,,,,reviewed_v1,manual_review,REVIEW
FIDAUSDT,2026-06-28T00:00:00Z,2024-09-19T13:00:00Z,,,,,reviewed_v1,manual_review,REVIEW
FILUSDT,2026-06-28T00:00:00Z,2024-06-01T01:00:00Z,,,,,reviewed_v1,manual_review,REVIEW
FOLKSUSDT,2026-06-28T00:00:00Z,2025-11-06T13:00:00Z,,,,,reviewed_v1,manual_review,REVIEW
GALAUSDT,2026-06-28T00:00:00Z,2024-06-01T01:00:00Z,,,,,reviewed_v1,manual_review,REVIEW
GASUSDT,2026-06-28T00:00:00Z,2024-06-01T01:00:00Z,,,,,reviewed_v1,manual_review,REVIEW
GIGGLEUSDT,2026-06-28T00:00:00Z,2025-10-09T10:00:00Z,,,,,reviewed_v1,manual_review,REVIEW
GOATUSDT,2026-06-28T00:00:00Z,2024-10-24T14:00:00Z,,,,,reviewed_v1,manual_review,REVIEW
GUNUSDT,2026-06-28T00:00:00Z,2025-03-31T14:00:00Z,,,,,reviewed_v1,manual_review,REVIEW
HAEDALUSDT,2026-06-28T00:00:00Z,2025-05-01T04:00:00Z,,,,,reviewed_v1,manual_review,REVIEW
HBARUSDT,2026-06-28T00:00:00Z,2024-06-01T01:00:00Z,,,,,reviewed_v1,manual_review,REVIEW
HEMIUSDT,2026-06-28T00:00:00Z,2025-08-29T05:00:00Z,,,,,reviewed_v1,manual_review,REVIEW
HIVEUSDT,2026-06-28T00:00:00Z,2024-12-23T12:00:00Z,,,,,reviewed_v1,manual_review,REVIEW
HMSTRUSDT,2026-06-28T00:00:00Z,2024-09-26T13:00:00Z,,,,,reviewed_v1,manual_review,REVIEW
HOMEUSDT,2026-06-28T00:00:00Z,2025-06-10T12:00:00Z,,,,,reviewed_v1,manual_review,REVIEW
HUMAUSDT,2026-06-28T00:00:00Z,2025-05-26T14:00:00Z,,,,,reviewed_v1,manual_review,REVIEW
HUSDT,2026-06-28T00:00:00Z,2025-06-25T10:00:00Z,,,,,reviewed_v1,manual_review,REVIEW
HYPERUSDT,2026-06-28T00:00:00Z,2025-04-22T14:00:00Z,,,,,reviewed_v1,manual_review,REVIEW
HYPEUSDT,2026-06-28T00:00:00Z,2025-05-30T11:00:00Z,,,,,reviewed_v1,manual_review,REVIEW
ICPUSDT,2026-06-28T00:00:00Z,2024-06-01T01:00:00Z,,,,,reviewed_v1,manual_review,REVIEW
INITUSDT,2026-06-28T00:00:00Z,2025-04-16T07:00:00Z,,,,,reviewed_v1,manual_review,REVIEW
INJUSDT,2026-06-28T00:00:00Z,2024-06-01T01:00:00Z,,,,,reviewed_v1,manual_review,REVIEW
IOUSDT,2026-06-28T00:00:00Z,2024-06-11T15:00:00Z,,,,,reviewed_v1,manual_review,REVIEW
IPUSDT,2026-06-28T00:00:00Z,2025-02-13T18:00:00Z,,,,,reviewed_v1,manual_review,REVIEW
JASMYUSDT,2026-06-28T00:00:00Z,2024-06-01T01:00:00Z,,,,,reviewed_v1,manual_review,REVIEW
JELLYJELLYUSDT,2026-06-28T00:00:00Z,2025-03-26T17:00:00Z,,,,,reviewed_v1,manual_review,REVIEW
JTOUSDT,2026-06-28T00:00:00Z,2024-06-01T01:00:00Z,,,,,reviewed_v1,manual_review,REVIEW
JUPUSDT,2026-06-28T00:00:00Z,2024-06-01T01:00:00Z,,,,,reviewed_v1,manual_review,REVIEW
KAITOUSDT,2026-06-28T00:00:00Z,2025-02-20T14:00:00Z,,,,,reviewed_v1,manual_review,REVIEW
KATUSDT,2026-06-28T00:00:00Z,2026-03-02T06:00:00Z,,,,,reviewed_v1,manual_review,REVIEW
KERNELUSDT,2026-06-28T00:00:00Z,2025-04-14T13:00:00Z,,,,,reviewed_v1,manual_review,REVIEW
KGENUSDT,2026-06-28T00:00:00Z,2025-10-07T15:00:00Z,,,,,reviewed_v1,manual_review,REVIEW
KITEUSDT,2026-06-28T00:00:00Z,2025-10-29T11:00:00Z,,,,,reviewed_v1,manual_review,REVIEW
LABUSDT,2026-06-28T00:00:00Z,2025-10-17T15:00:00Z,,,,,reviewed_v1,manual_review,REVIEW
LAUSDT,2026-06-28T00:00:00Z,2025-06-05T10:00:00Z,,,,,reviewed_v1,manual_review,REVIEW
LAYERUSDT,2026-06-28T00:00:00Z,2025-02-11T16:00:00Z,,,,,reviewed_v1,manual_review,REVIEW
