variant_id,fee_bps,slippage_bps,total_cost_bps,gross_mean_spread,gross_median_spread,estimated_cost_per_rebalance,net_mean_spread,net_median_spread,net_hit_rate,net_cumulative_spread,cost_drag_fraction,survives_cost_flag
signal_v0_core_only__1h__original_no_guard,5,1,6,-0.0003055965123666366,0.00015278108346727937,0.0001125,-0.0004180965123666368,4.028108346727937e-05,0.502568493150685,-7.325050896663477,0.36813247353107603,True
signal_v0_core_only__1h__original_no_guard,5,5,10,-0.0003055965123666366,0.00015278108346727937,0.0001875,-0.0004930965123666368,-3.471891653272064e-05,0.49788812785388126,-8.639050896663477,0.6135541225517934,False
signal_v0_core_only__1h__original_no_guard,5,10,15,-0.0003055965123666366,0.00015278108346727937,0.00028125000000000003,-0.0005868465123666367,-0.00012846891653272067,0.49155251141552514,-10.281550896663473,0.9203311838276903,False
signal_v0_core_only__1h__original_no_guard,5,25,30,-0.0003055965123666366,0.00015278108346727937,0.0005625000000000001,-0.0008680965123666369,-0.0004097189165327207,0.47220319634703195,-15.209050896663479,1.8406623676553806,False
signal_v0_core_only__1h__original_no_guard,10,1,11,-0.0003055965123666366,0.00015278108346727937,0.00020625,-0.0005118465123666365,-5.346891653272063e-05,0.49651826484018263,-8.967550896663472,0.6749095348069728,False
signal_v0_core_only__1h__original_no_guard,10,5,15,-0.0003055965123666366,0.00015278108346727937,0.00028125000000000003,-0.0005868465123666367,-0.00012846891653272067,0.49155251141552514,-10.281550896663473,0.9203311838276903,False
signal_v0_core_only__1h__original_no_guard,10,10,20,-0.0003055965123666366,0.00015278108346727937,0.000375,-0.0006805965123666369,-0.00022221891653272064,0.4855593607305936,-11.924050896663477,1.2271082451035868,False
signal_v0_core_only__1h__original_no_guard,10,25,35,-0.0003055965123666366,0.00015278108346727937,0.00065625,-0.0009618465123666368,-0.0005034689165327207,0.46558219178082194,-16.851550896663475,2.147439428931277,False
signal_v0_pm_full_structured__1h__original_no_guard,2,1,3,-0.000315989771495641,0.00010178146226310714,5.625e-05,-0.00037223977149564126,4.553146226310714e-05,0.502568493150685,-6.521640796603635,0.17801209113117117,True
signal_v0_pm_full_structured__1h__original_no_guard,2,5,7,-0.000315989771495641,0.00010178146226310714,0.00013125,-0.0004472397714956408,-2.9468537736892852e-05,0.4988584474885845,-7.835640796603627,0.4153615459727327,False
signal_v0_pm_full_structured__1h__original_no_guard,2,10,12,-0.000315989771495641,0.00010178146226310714,0.000225,-0.000540989771495641,-0.00012321853773689285,0.4930936073059361,-9.47814079660363,0.7120483645246847,False
signal_v0_pm_full_structured__1h__original_no_guard,2,25,27,-0.000315989771495641,0.00010178146226310714,0.00050625,-0.0008222397714956407,-0.00040446853773689283,0.47368721461187213,-14.405640796603626,1.6021088201805405,False
signal_v0_pm_full_structured__1h__original_no_guard,5,1,6,-0.000315989771495641,0.00010178146226310714,0.0001125,-0.0004284897714956412,-1.0718537736892857e-05,0.499486301369863,-7.507140796603633,0.35602418226234234,False
signal_v0_pm_full_structured__1h__original_no_guard,5,5,10,-0.000315989771495641,0.00010178146226310714,0.0001875,-0.0005034897714956411,-8.571853773689286e-05,0.4958904109589041,-8.821140796603633,0.5933736371039039,False
signal_v0_pm_full_structured__1h__original_no_guard,5,10,15,-0.000315989771495641,0.00010178146226310714,0.00028125000000000003,-0.0005972397714956411,-0.0001794685377368929,0.48881278538812784,-10.463640796603631,0.890060455655856,False
signal_v0_pm_full_structured__1h__original_no_guard,5,25,30,-0.000315989771495641,0.00010178146226310714,0.0005625000000000001,-0.0008784897714956413,-0.0004607185377368929,0.4702625570776256,-15.391140796603636,1.780120911311712,False
signal_v0_pm_full_structured__1h__original_no_guard,10,1,11,-0.000315989771495641,0.00010178146226310714,0.00020625,-0.000522239771495641,-0.00010446853773689286,0.4945776255707763,-9.14964079660363,0.6527110008142943,False
signal_v0_pm_full_structured__1h__original_no_guard,10,5,15,-0.000315989771495641,0.00010178146226310714,0.00028125000000000003,-0.0005972397714956411,-0.0001794685377368929,0.48881278538812784,-10.463640796603631,0.890060455655856,False
signal_v0_pm_full_structured__1h__original_no_guard,10,10,20,-0.000315989771495641,0.00010178146226310714,0.000375,-0.0006909897714956412,-0.00027321853773689287,0.4827054794520548,-12.106140796603633,1.1867472742078078,False
signal_v0_pm_full_structured__1h__original_no_guard,10,25,35,-0.000315989771495641,0.00010178146226310714,0.00065625,-0.0009722397714956411,-0.0005544685377368929,0.46409817351598176,-17.03364079660363,2.076807729863664,False
signal_v0_family_balanced_diagnostic__1h__original_no_guard,2,1,3,-0.0003180691660871789,4.2259867226212395e-05,5.9999999999999995e-05,-0.0003780691660871788,-1.77401327737876e-05,0.49891552511415527,-6.623771789847373,0.18863821582616006,False
signal_v0_family_balanced_diagnostic__1h__original_no_guard,2,5,7,-0.0003180691660871789,4.2259867226212395e-05,0.00014000000000000001,-0.000458069166087179,-9.774013277378762e-05,0.49389269406392694,-8.025371789847377,0.4401558369277069,False
signal_v0_family_balanced_diagnostic__1h__original_no_guard,2,10,12,-0.0003180691660871789,4.2259867226212395e-05,0.00023999999999999998,-0.0005580691660871789,-0.00019774013277378758,0.4857305936073059,-9.777371789847374,0.7545528633046402,False
signal_v0_family_balanced_diagnostic__1h__original_no_guard,2,25,27,-0.0003180691660871789,4.2259867226212395e-05,0.00054,-0.0008580691660871788,-0.0004977401327737876,0.46592465753424656,-15.033371789847372,1.6977439424354406,False
signal_v0_family_balanced_diagnostic__1h__original_no_guard,5,1,6,-0.0003180691660871789,4.2259867226212395e-05,0.00011999999999999999,-0.00043806916608717897,-7.77401327737876e-05,0.49526255707762556,-7.674971789847375,0.3772764316523201,False
signal_v0_family_balanced_diagnostic__1h__original_no_guard,5,5,10,-0.0003180691660871789,4.2259867226212395e-05,0.0002,-0.0005180691660871787,-0.00015774013277378761,0.48961187214611873,-9.076571789847371,0.6287940527538669,False
signal_v0_family_balanced_diagnostic__1h__original_no_guard,5,10,15,-0.0003180691660871789,4.2259867226212395e-05,0.00030000000000000003,-0.000618069166087179,-0.00025774013277378763,0.4816780821917808,-10.828571789847377,0.9431910791308004,False
signal_v0_family_balanced_diagnostic__1h__original_no_guard,5,25,30,-0.0003180691660871789,4.2259867226212395e-05,0.0006000000000000001,-0.0009180691660871788,-0.0005577401327737877,0.46135844748858446,-16.084571789847374,1.8863821582616007,False
signal_v0_family_balanced_diagnostic__1h__original_no_guard,10,1,11,-0.0003180691660871789,4.2259867226212395e-05,0.00022000000000000003,-0.0005380691660871787,-0.00017774013277378764,0.48789954337899544,-9.426971789847371,0.6916734580292537,False
signal_v0_family_balanced_diagnostic__1h__original_no_guard,10,5,15,-0.0003180691660871789,4.2259867226212395e-05,0.00030000000000000003,-0.000618069166087179,-0.00025774013277378763,0.4816780821917808,-10.828571789847377,0.9431910791308004,False
signal_v0_family_balanced_diagnostic__1h__original_no_guard,10,10,20,-0.0003180691660871789,4.2259867226212395e-05,0.0004,-0.0007180691660871788,-0.0003577401327737876,0.4752283105022831,-12.580571789847372,1.2575881055077338,False
signal_v0_family_balanced_diagnostic__1h__original_no_guard,10,25,35,-0.0003180691660871789,4.2259867226212395e-05,0.0007000000000000001,-0.0010180691660871789,-0.0006577401327737877,0.45496575342465756,-17.836571789847373,2.2007791846385345,False
