factor_i,factor_j,family_i,family_j,same_family,tier_i,tier_j,pearson_corr,spearman_corr,abs_spearman_corr,n_pairwise_obs,redundancy_level
mom_10h,vol_zscore_20h,momentum,volume_liquidity,False,TIER_2_PROMISING_BUT_NEEDS_REVIEW,TIER_4_UNSTABLE_OR_SIGN_FLIP,0.060171,0.050929,0.050929,550234,LOW_REDUNDANCY
mom_10h,vol_zscore_48h,momentum,volume_liquidity,False,TIER_2_PROMISING_BUT_NEEDS_REVIEW,TIER_4_UNSTABLE_OR_SIGN_FLIP,0.079451,0.055333,0.055333,549081,LOW_REDUNDANCY
mom_10h,qvol_zscore_20h,momentum,quote_volume_liquidity,False,TIER_2_PROMISING_BUT_NEEDS_REVIEW,TIER_4_UNSTABLE_OR_SIGN_FLIP,0.093386,0.086473,0.086473,550234,LOW_REDUNDANCY
mom_10h,qvol_zscore_48h,momentum,quote_volume_liquidity,False,TIER_2_PROMISING_BUT_NEEDS_REVIEW,TIER_4_UNSTABLE_OR_SIGN_FLIP,0.121327,0.092379,0.092379,549081,LOW_REDUNDANCY
mom_10h,ma_gap_5_20,momentum,trend_ma,False,TIER_2_PROMISING_BUT_NEEDS_REVIEW,TIER_2_PROMISING_BUT_NEEDS_REVIEW,0.841819,0.809562,0.809562,551711,MODERATE_REDUNDANCY
mom_10h,ma_gap_10_40,momentum,trend_ma,False,TIER_2_PROMISING_BUT_NEEDS_REVIEW,TIER_4_UNSTABLE_OR_SIGN_FLIP,0.487281,0.416662,0.416662,550863,LOW_REDUNDANCY
mom_10h,breakout_dist_20h,momentum,breakout,False,TIER_2_PROMISING_BUT_NEEDS_REVIEW,TIER_2_PROMISING_BUT_NEEDS_REVIEW,0.549383,0.788071,0.788071,551711,MODERATE_REDUNDANCY
mom_10h,breakout_dist_48h,momentum,breakout,False,TIER_2_PROMISING_BUT_NEEDS_REVIEW,TIER_2_PROMISING_BUT_NEEDS_REVIEW,0.466438,0.630265,0.630265,550543,LOW_REDUNDANCY
mom_10h,candle_body,momentum,intraday_candle,False,TIER_2_PROMISING_BUT_NEEDS_REVIEW,TIER_2_PROMISING_BUT_NEEDS_REVIEW,0.189987,0.262055,0.262055,552163,LOW_REDUNDANCY
mom_10h,candle_wick_upper,momentum,intraday_candle,False,TIER_2_PROMISING_BUT_NEEDS_REVIEW,TIER_2_PROMISING_BUT_NEEDS_REVIEW,0.040877,0.063078,0.063078,552163,LOW_REDUNDANCY
