timestamp,upper_side_return,lower_side_return,gross_paper_spread,one_way_turnover,low_cost_drag,mid_cost_drag,low_cost_net_spread,mid_cost_net_spread,n_upper_with_label,n_lower_with_label,label_status,cum_gross_spread,cum_low_cost_net,cum_mid_cost_net
2026-05-24 09:00:00+00:00,0.0012943164160345716,-0.008677960894245294,0.009972277310279866,0.125,8.75e-05,0.0001875,0.009884777310279865,0.009784777310279866,8,8,AVAILABLE,-0.04133038499727329,-0.0700741349972734,-0.10292413499727322
2026-05-24 10:00:00+00:00,0.00013523699758725277,0.004303762256167805,-0.004168525258580552,0.1875,0.00013125,0.00028125000000000003,-0.004299775258580552,-0.004449775258580552,8,8,AVAILABLE,-0.04549891025585384,-0.07437391025585395,-0.10737391025585377
2026-05-24 11:00:00+00:00,-9.89554002283552e-05,-0.006596083397680426,0.006497127997452071,0.125,8.75e-05,0.0001875,0.006409627997452071,0.0063096279974520705,8,8,AVAILABLE,-0.03900178225840177,-0.06796428225840188,-0.1010642822584017
2026-05-24 12:00:00+00:00,-0.0013132160764389167,-0.005821421518597547,0.00450820544215863,0.1875,0.00013125,0.00028125000000000003,0.00437695544215863,0.00422695544215863,8,8,AVAILABLE,-0.03449357681624314,-0.06358732681624325,-0.09683732681624306
2026-05-24 13:00:00+00:00,-0.0020879894006651523,0.003743231417353679,-0.005831220818018831,0.0625,4.375e-05,9.375e-05,-0.005874970818018832,-0.005924970818018831,8,8,AVAILABLE,-0.04032479763426197,-0.06946229763426208,-0.1027622976342619
2026-05-24 14:00:00+00:00,-0.001653032228079776,0.005545422222983168,-0.007198454451062944,0.125,8.75e-05,0.0001875,-0.007285954451062944,-0.007385954451062944,8,8,AVAILABLE,-0.047523252085324916,-0.07674825208532503,-0.11014825208532483
2026-05-24 15:00:00+00:00,0.00023330575758305494,-0.002233200208797352,0.002466505966380407,0.0625,4.375e-05,9.375e-05,0.002422755966380407,0.002372755966380407,8,8,AVAILABLE,-0.04505674611894451,-0.07432549611894462,-0.10777549611894442
2026-05-24 16:00:00+00:00,0.00037663666768959075,0.00035159983017362534,2.5036837515965416e-05,0.125,8.75e-05,0.0001875,-6.246316248403458e-05,-0.0001624631624840346,8,8,AVAILABLE,-0.04503170928142854,-0.07438795928142866,-0.10793795928142845
2026-05-24 17:00:00+00:00,0.00048554231230100997,-0.00052376615195137,0.00100930846425238,0.0625,4.375e-05,9.375e-05,0.0009655584642523801,0.00091555846425238,8,8,AVAILABLE,-0.04402240081717616,-0.07342240081717628,-0.10702240081717607
2026-05-24 18:00:00+00:00,-0.0012292553853679236,0.0023461837583017287,-0.0035754391436696523,0.125,8.75e-05,0.0001875,-0.003662939143669652,-0.0037629391436696524,8,8,AVAILABLE,-0.047597839960845816,-0.07708533996084593,-0.11078533996084572
2026-05-24 19:00:00+00:00,0.0005360801799317375,0.009225338016400263,-0.008689257836468525,0.0,0.0,0.0,-0.008689257836468525,-0.008689257836468525,8,8,AVAILABLE,-0.05628709779731434,-0.08577459779731446,-0.11947459779731424
2026-05-24 20:00:00+00:00,-0.0018628321446210946,-0.0010461180238439949,-0.0008167141207770998,0.125,8.75e-05,0.0001875,-0.0009042141207770998,-0.0010042141207770997,8,8,AVAILABLE,-0.05710381191809144,-0.08667881191809156,-0.12047881191809134
2026-05-24 21:00:00+00:00,-0.005956831970833722,0.0069850761908594045,-0.012941908161693126,0.0625,4.375e-05,9.375e-05,-0.012985658161693127,-0.013035658161693126,8,8,AVAILABLE,-0.07004572007978457,-0.09966447007978468,-0.13351447007978448
2026-05-24 22:00:00+00:00,0.005157245639233726,-0.00549078094598425,0.010648026585217976,0.1875,0.00013125,0.00028125000000000003,0.010516776585217977,0.010366776585217976,8,8,AVAILABLE,-0.0593976934945666,-0.08914769349456671,-0.1231476934945665
2026-05-24 23:00:00+00:00,0.003221836307581216,-0.002963080442615375,0.006184916750196591,0.25,0.000175,0.000375,0.006009916750196591,0.005809916750196591,8,8,AVAILABLE,-0.053212776744370006,-0.08313777674437012,-0.1173377767443699
2026-05-25 00:00:00+00:00,0.0012987222871298984,-0.00986779236864438,0.011166514655774278,0.125,8.75e-05,0.0001875,0.011079014655774277,0.010979014655774277,8,8,AVAILABLE,-0.04204626208859573,-0.07205876208859584,-0.10635876208859563
2026-05-25 01:00:00+00:00,-0.0029792308052165525,0.0030643267721493436,-0.006043557577365896,0.1875,0.00013125,0.00028125000000000003,-0.0061748075773658965,-0.006324807577365896,8,8,AVAILABLE,-0.048089819665961625,-0.07823356966596173,-0.11268356966596152
2026-05-25 02:00:00+00:00,0.00020115939353072126,-0.0002687169395661354,0.00046987633309685667,0.0625,4.375e-05,9.375e-05,0.00042612633309685666,0.0003761263330968567,8,8,AVAILABLE,-0.04761994333286477,-0.07780744333286488,-0.11230744333286466
2026-05-25 03:00:00+00:00,-7.15067642734768e-05,0.000606477376919004,-0.0006779841411924808,0.125,8.75e-05,0.0001875,-0.0007654841411924809,-0.0008654841411924808,8,8,AVAILABLE,-0.04829792747405725,-0.07857292747405736,-0.11317292747405713
2026-05-25 04:00:00+00:00,0.0036094199932350385,-0.0017625192642243617,0.0053719392574594,0.0625,4.375e-05,9.375e-05,0.0053281892574594,0.0052781892574594,8,8,AVAILABLE,-0.04292598821659785,-0.07324473821659797,-0.10789473821659773
2026-05-25 05:00:00+00:00,0.001016187269246356,0.0011522214125749344,-0.00013603414332857833,0.25,0.000175,0.000375,-0.00031103414332857835,-0.0005110341433285783,8,8,AVAILABLE,-0.04306202235992643,-0.07355577235992654,-0.10840577235992631
2026-05-25 06:00:00+00:00,0.0007492379078360561,-0.0006132072749287926,0.0013624451827648487,0.25,0.000175,0.000375,0.0011874451827648487,0.0009874451827648488,8,8,AVAILABLE,-0.04169957717716158,-0.07236832717716168,-0.10741832717716146
2026-05-25 07:00:00+00:00,8.688100881514005e-05,-0.020355846559951436,0.020442727568766576,0.3125,0.00021875,0.00046875,0.020223977568766576,0.019973977568766576,8,8,AVAILABLE,-0.021256849608395002,-0.052144349608395105,-0.08744434960839488
