variant_id,signal_id,horizon,direction_variant,guard_variant,mean_rankic,median_rankic,rankic_t_stat,rankic_positive_rate,mean_spread,median_spread,winsorized_spread_1_99,winsorized_spread_5_95,tail_trim_spread,spread_hit_rate,cumulative_spread_return,max_drawdown,n_timestamps,n_observations,upper_bucket_count_avg,lower_bucket_count_avg,bucket0_lower_leg_exposure_fraction,dropped_timestamp_count,dropped_timestamp_fraction
signal_v0_pm_full_structured__1h__original_no_guard,signal_v0_pm_full_structured,1h,original,no_guard,0.03144088396963735,0.03221178671291199,17.43198451874846,0.5533675799086758,-0.000315989771495641,0.00010178146226310714,-0.0002989096527388888,-0.00023137278652084526,-0.0003121542633078862,0.5072488584474886,-5.536140796603631,-5.757111580097748,17520,753360,8.6,8.6,0.5802898048488802,0,0.0
signal_v0_pm_full_structured__1h__original_bucket0_guard,signal_v0_pm_full_structured,1h,original,bucket0_guard,0.03144088396963735,0.03221178671291199,17.43198451874846,0.5533675799086758,-0.0001310971809016209,0.00012052968138361411,-0.00011845334361221065,-7.934358586303317e-05,-0.000132436234107804,0.5105593607305936,-2.2968226093963984,-2.5131129741705602,17520,753360,8.6,8.6,0.0,0,0.0
signal_v0_pm_full_structured__1h__inverted_no_guard,signal_v0_pm_full_structured,1h,inverted,no_guard,-0.03144088396963735,-0.03221178671291199,-17.43198451874846,0.4463470319634703,0.000315989771495641,-0.00010178146226310714,0.00029890965273888956,0.00023137278652084526,0.0003121542633078862,0.49275114155251143,5.536140796603631,-0.5351626344811755,17520,753360,8.6,8.6,0.5802898048488802,0,0.0
signal_v0_pm_full_structured__1h__inverted_bucket0_guard,signal_v0_pm_full_structured,1h,inverted,bucket0_guard,-0.03144088396963735,-0.03221178671291199,-17.43198451874846,0.4463470319634703,0.0003126722362139277,-9.259362018115033e-05,0.00029377344235906577,0.0002254412724212023,0.0003085173492775536,0.4939497716894977,5.478017578468013,-0.6975188333477305,17520,753360,8.6,8.6,0.0,0,0.0
signal_v0_pm_full_structured__4h__original_no_guard,signal_v0_pm_full_structured,4h,original,no_guard,0.036522655804266765,0.03823254468909304,20.1949375013375,0.5654680365296804,-0.001182195888883728,-4.6856622768619294e-05,-0.0010640142350932002,-0.0008597274150617753,-0.001159422581263063,0.49817351598173515,-20.712071973242914,-22.00484552730946,17520,753360,8.6,8.6,0.5802898048488802,0,0.0
signal_v0_pm_full_structured__4h__original_bucket0_guard,signal_v0_pm_full_structured,4h,original,bucket0_guard,0.036522655804266765,0.03823254468909304,20.1949375013375,0.5654680365296804,-0.0005705463883569951,6.474133397125585e-05,-0.0005245519057715658,-0.0003911558673414501,-0.0005669873133756138,0.503310502283105,-9.995972724014555,-11.09621421025082,17520,753360,8.6,8.6,0.0,0,0.0
signal_v0_pm_full_structured__4h__inverted_no_guard,signal_v0_pm_full_structured,4h,inverted,no_guard,-0.036522655804266765,-0.03823254468909304,-20.1949375013375,0.4343036529680365,0.001182195888883728,4.6856622768619294e-05,0.0010640142350932021,0.0008597274150617747,0.0011594225812630622,0.5018264840182648,20.712071973242914,-2.2321384451254356,17520,753360,8.6,8.6,0.5802898048488802,0,0.0
signal_v0_pm_full_structured__4h__inverted_bucket0_guard,signal_v0_pm_full_structured,4h,inverted,bucket0_guard,-0.036522655804266765,-0.03823254468909304,-20.1949375013375,0.4343036529680365,0.0011942846029595455,2.506728107338086e-06,0.0010514960715750346,0.0008152226827134456,0.0011690667281479008,0.5000570776255707,20.923866243851236,-3.08884554152346,17520,753360,8.6,8.6,0.0,0,0.0
signal_v0_pm_full_structured__24h__original_no_guard,signal_v0_pm_full_structured,24h,original,no_guard,0.03784935661205868,0.03848720800889878,21.077013996280566,0.5641992232122458,-0.006593719067212754,-0.00119979153801025,-0.00623129022404318,-0.005040121326633504,-0.006585013576108734,0.48206534155814484,-115.44283342876089,-118.4371254877747,17508,752844,8.6,8.6,0.5798617226570993,12,0.0006849315068493151
signal_v0_pm_full_structured__24h__original_bucket0_guard,signal_v0_pm_full_structured,24h,original,bucket0_guard,0.03784935661205868,0.03848720800889878,21.077013996280566,0.5641992232122458,-0.003691345601879274,-0.0008030302931243769,-0.003288368421674028,-0.002654597350841818,-0.003673292955550854,0.4842928946767192,-64.62807879770233,-69.41006065897919,17508,752844,8.6,8.6,0.0,12,0.0006849315068493151
