factor_id,family,label,expected_direction,static_RankIC_mean,dynamic_RankIC_mean,delta_RankIC,rankic_same_sign,static_IC_mean,dynamic_IC_mean,delta_IC,stability_bucket
vol_zscore_48h,volume_liquidity,ret_fwd_4h,positive,-0.0047949353648124,-0.0085567031363931,0.00376177,True,0.0057054709713293,-0.0126161591970369,0.01832163,WEAK_BOTH
vol_zscore_48h,volume_liquidity,ret_fwd_24h,positive,-0.0044225886737529,-0.0053719204325045,0.00094933,True,0.0139125018534896,-0.0118323333935824,0.02574484,WEAK_BOTH
vol_zscore_48h,volume_liquidity,ret_fwd_72h,positive,0.0002022141851465,-0.0020881858879544,0.0022904,False,0.0137617930676204,-0.0083310522959773,0.02209285,SIGN_FLIP
qvol_zscore_20h,quote_volume_liquidity,ret_fwd_1h,positive,0.0027859766777329,-0.0054254093388208,0.00821139,False,0.0075390901981316,-0.0061243893642571,0.01366348,SIGN_FLIP
qvol_zscore_20h,quote_volume_liquidity,ret_fwd_4h,positive,-0.0036841078392828,-0.0075069285563741,0.00382282,True,0.0038071145266266,-0.01115693002802,0.01496404,WEAK_BOTH
qvol_zscore_20h,quote_volume_liquidity,ret_fwd_24h,positive,-0.0055343102848045,-0.0030366893456277,-0.00249762,True,0.010823207288501,-0.0087665889830682,0.0195898,WEAK_BOTH
qvol_zscore_20h,quote_volume_liquidity,ret_fwd_72h,positive,-0.0012960541866357,-9.265153698397598e-06,-0.00128679,True,0.0071994534610783,-0.0056671906848002,0.01286664,WEAK_BOTH
qvol_zscore_48h,quote_volume_liquidity,ret_fwd_1h,positive,0.0020938767052475,-0.0060150420478096,0.00810892,False,0.0089798249037673,-0.006703413096462,0.01568324,SIGN_FLIP
qvol_zscore_48h,quote_volume_liquidity,ret_fwd_4h,positive,-0.004569073194686,-0.0094435864071874,0.00487451,True,0.006003274540935,-0.0127663447276134,0.01876962,WEAK_BOTH
qvol_zscore_48h,quote_volume_liquidity,ret_fwd_24h,positive,-0.0040084942680031,-0.0065584235239909,0.00254993,True,0.014293331442557,-0.0125880816493867,0.02688141,WEAK_BOTH
qvol_zscore_48h,quote_volume_liquidity,ret_fwd_72h,positive,0.0002117588614756,-0.0036527208269472,0.00386448,False,0.013682334199357,-0.0089671254813597,0.02264946,SIGN_FLIP
ma_gap_5_20,trend_ma,ret_fwd_1h,positive,-0.0072222122648002,-0.0129452082925602,0.005723,True,0.0111541746699555,-0.0005818511810862,0.01173603,DYNAMIC_ONLY
ma_gap_5_20,trend_ma,ret_fwd_4h,positive,-0.0138565794574959,-0.0193975772659241,0.005541,True,0.0021676624482184,-0.0043981404738678,0.0065658,STABLE_NEGATIVE
ma_gap_5_20,trend_ma,ret_fwd_24h,positive,-0.01086600500633,-0.0215326316063314,0.01066663,True,-0.0002702193114594,-0.0133221981364514,0.01305198,STABLE_NEGATIVE
ma_gap_5_20,trend_ma,ret_fwd_72h,positive,0.0067086165670587,-0.0110795184176392,0.01778813,False,-0.0007807352942894,-0.0097520840981368,0.00897135,SIGN_FLIP
ma_gap_10_40,trend_ma,ret_fwd_1h,positive,0.0005645004733757,-0.007859125239953,0.00842363,False,0.0076306225969692,0.0004775177230634,0.0071531,SIGN_FLIP
ma_gap_10_40,trend_ma,ret_fwd_4h,positive,-0.0019295883999922,-0.0164845676298431,0.01455498,True,0.0067150645416256,-0.0051976118926471,0.01191268,DYNAMIC_ONLY
ma_gap_10_40,trend_ma,ret_fwd_24h,positive,0.0144687216195351,-0.0162665765809722,0.0307353,False,0.0169007153866674,-0.007987184472696,0.0248879,SIGN_FLIP
ma_gap_10_40,trend_ma,ret_fwd_72h,positive,0.0242293655515174,-0.0131902869946921,0.03741965,False,0.0071762543796269,-0.0100586187717789,0.01723487,SIGN_FLIP
breakout_dist_20h,breakout,ret_fwd_1h,positive,-0.0165921586618322,-0.0153854682634525,-0.00120669,True,0.002556311676568,-0.0024017019831523,0.00495801,STABLE_NEGATIVE
breakout_dist_20h,breakout,ret_fwd_4h,positive,-0.0177906582464749,-0.0143517915550542,-0.00343887,True,0.0020186011475725,-0.0017166526708496,0.00373525,STABLE_NEGATIVE
breakout_dist_20h,breakout,ret_fwd_24h,positive,-0.0058794675196273,-0.0025723681378839,-0.0033071,True,0.0078390786565313,0.0023362330123387,0.00550285,WEAK_BOTH
breakout_dist_20h,breakout,ret_fwd_72h,positive,0.0080259629817581,0.0070229176042754,0.00100305,True,0.0058550531102851,0.0060353740060184,-0.00018032,WEAK_BOTH
breakout_dist_48h,breakout,ret_fwd_1h,positive,-0.0067919275463059,-0.0114342480943953,0.00464232,True,0.0077376341240373,-0.0005526012354237,0.00829024,DYNAMIC_ONLY
breakout_dist_48h,breakout,ret_fwd_4h,positive,-0.0062803867428906,-0.0125646396669374,0.00628425,True,0.0114033327228523,-0.0014264157136077,0.01282975,DYNAMIC_ONLY
breakout_dist_48h,breakout,ret_fwd_24h,positive,0.0020532440768713,-0.0062010203905866,0.00825426,False,0.0187209785528294,0.0002028471355442,0.01851813,SIGN_FLIP
breakout_dist_48h,breakout,ret_fwd_72h,positive,0.0210176671910409,0.0070554213616262,0.01396225,True,0.0199196414821182,0.0070286630806352,0.01289098,STATIC_ONLY
candle_body,intraday_candle,ret_fwd_1h,conditional,-0.0275063998540277,-0.0217118661632971,-0.00579453,True,-0.0060931157000457,-0.0100086785145104,0.00391556,STABLE_NEGATIVE
candle_body,intraday_candle,ret_fwd_4h,conditional,-0.0200545202843999,-0.0165411277842784,-0.00351339,True,-0.0013345803330148,-0.0065591807289429,0.0052246,STABLE_NEGATIVE
candle_body,intraday_candle,ret_fwd_24h,conditional,-0.0084877617699018,-0.0058734953847196,-0.00261427,True,-0.0014375357163646,-0.0022234316309899,0.0007859,WEAK_BOTH
candle_body,intraday_candle,ret_fwd_72h,conditional,-0.001399920694959,-0.000889898647076,-0.00051002,True,0.002465531970867,-3.1399738193032272e-06,0.00246867,WEAK_BOTH
candle_wick_upper,intraday_candle,ret_fwd_1h,negative,0.0106693096275417,0.007061106069349,0.0036082,True,0.0098097385411243,0.0047593525308858,0.00505039,STATIC_ONLY
candle_wick_upper,intraday_candle,ret_fwd_4h,negative,0.0026668671233255,0.001127193583553,0.00153967,True,0.0034031880158555,0.002243597775732,0.00115959,WEAK_BOTH
candle_wick_upper,intraday_candle,ret_fwd_24h,negative,-0.0065251699037437,-0.0043772648496586,-0.00214791,True,-0.0005978979014937,0.0004692280802938,-0.00106713,WEAK_BOTH
candle_wick_upper,intraday_candle,ret_fwd_72h,negative,-0.0061082373951266,-0.0058779816440674,-0.00023026,True,0.002425166865882,-0.0004850605595819,0.00291023,WEAK_BOTH
candle_wick_lower,intraday_candle,ret_fwd_1h,positive,-0.0080164262938165,-0.0018909508364652,-0.00612548,True,-0.0067643411778587,-0.0016479797509124,-0.00511636,WEAK_BOTH
candle_wick_lower,intraday_candle,ret_fwd_4h,positive,-0.0006056834136866,0.0017393100500071,-0.00234499,False,-0.0017770489178857,0.000296664910373,-0.00207371,SIGN_FLIP
candle_wick_lower,intraday_candle,ret_fwd_24h,positive,-7.594034415784734e-05,0.0030377875493493,-0.00311373,False,-0.0013449863378165,-0.0010509758611259,-0.00029401,SIGN_FLIP
candle_wick_lower,intraday_candle,ret_fwd_72h,positive,0.0017129024902752,0.0018195050661253,-0.0001066,True,0.0027078765092484,-0.0010052778734281,0.00371315,WEAK_BOTH
xs_rank_ret_1h,cross_sectional_normalized,ret_fwd_1h,conditional,-0.0301308249110669,-0.0294271188660994,-0.00070371,True,-0.0056545990350778,-0.0115285956338834,0.005874,STABLE_NEGATIVE
xs_rank_ret_1h,cross_sectional_normalized,ret_fwd_4h,conditional,-0.0248361304386322,-0.0228637880440459,-0.00197234,True,-0.0046944930491621,-0.0093541437357447,0.00465965,STABLE_NEGATIVE
xs_rank_ret_1h,cross_sectional_normalized,ret_fwd_24h,conditional,-0.0120698197973055,-0.0081723755741737,-0.00389744,True,-0.0022199609213373,-0.0029099802060345,0.00069002,STATIC_ONLY
xs_rank_ret_1h,cross_sectional_normalized,ret_fwd_72h,conditional,-0.0023208297299803,-0.000467953203486,-0.00185288,True,0.0020850170188461,0.0011257083751755,0.00095931,WEAK_BOTH
xs_rank_vol,cross_sectional_normalized,ret_fwd_1h,conditional,-0.0113702864908407,-0.0220752277951292,0.01070494,True,-0.0007599784203113,-0.0110452097477574,0.01028523,STABLE_NEGATIVE
xs_rank_vol,cross_sectional_normalized,ret_fwd_4h,conditional,-0.0191462766355419,-0.0326565626437222,0.01351029,True,-0.0003434647878029,-0.0170142473214543,0.01667078,STABLE_NEGATIVE
xs_rank_vol,cross_sectional_normalized,ret_fwd_24h,conditional,-0.0303554758191865,-0.0604893091068119,0.03013383,True,-0.0038224243220111,-0.0321129427977101,0.02829052,STABLE_NEGATIVE
xs_rank_vol,cross_sectional_normalized,ret_fwd_72h,conditional,-0.0359089367527873,-0.0785457040799167,0.04263677,True,-0.0025068717630134,-0.0448766669449357,0.0423698,STABLE_NEGATIVE
