factor_id,symbol,selected_rows,missing_rows,missing_rate
bb_zscore_20h,TRUTHUSDT,744,0,0.0
bb_zscore_20h,TRXUSDT,7992,0,0.0
bb_zscore_20h,TSTUSDT,744,0,0.0
bb_zscore_20h,MEMEUSDT,720,0,0.0
bb_zscore_20h,UAIUSDT,720,0,0.0
bb_zscore_20h,UBUSDT,1033,0,0.0
bb_zscore_20h,SOMIUSDT,744,0,0.0
bb_zscore_20h,ZILUSDT,744,0,0.0
bb_zscore_20h,VIRTUALUSDT,6504,0,0.0
bb_zscore_20h,VVVUSDT,2497,0,0.0
bb_zscore_20h,WCTUSDT,2208,0,0.0
bb_zscore_20h,WLFIUSDT,4344,0,0.0
bb_zscore_20h,XAUTUSDT,744,0,0.0
bb_zscore_20h,XLMUSDT,5377,0,0.0
bb_zscore_20h,XMRUSDT,672,0,0.0
bb_zscore_20h,XNYUSDT,720,0,0.0
bb_zscore_20h,XPINUSDT,720,0,0.0
bb_zscore_20h,XPLUSDT,4368,0,0.0
bb_zscore_20h,ZBTUSDT,1488,0,0.0
bb_zscore_20h,ZECUSDT,5377,0,0.0
bb_zscore_20h,ZENUSDT,2232,0,0.0
bb_zscore_20h,ZEREBROUSDT,744,0,0.0
bb_zscore_20h,USUALUSDT,1416,0,0.0
bb_zscore_20h,TREEUSDT,720,0,0.0
bb_zscore_20h,BABYUSDT,744,0,0.0
bb_zscore_20h,BANANAS31USDT,2208,0,0.0
bb_zscore_20h,BARDUSDT,1464,0,0.0
bb_zscore_20h,BASEDUSDT,744,0,0.0
bb_zscore_20h,BASUSDT,720,0,0.0
bb_zscore_20h,BEATUSDT,2449,0,0.0
bb_zscore_20h,BERAUSDT,2880,0,0.0
bb_zscore_20h,BIGTIMEUSDT,1464,0,0.0
bb_zscore_20h,BILLUSDT,289,0,0.0
bb_zscore_20h,BIOUSDT,3169,0,0.0
bb_zscore_20h,BIRBUSDT,744,0,0.0
bb_zscore_20h,BLESSUSDT,720,0,0.0
bb_zscore_20h,LABUSDT,289,0,0.0
bb_zscore_20h,BROCCOLI714USDT,672,0,0.0
bb_zscore_20h,BRUSDT,720,0,0.0
bb_zscore_20h,BSBUSDT,1033,0,0.0
bb_zscore_20h,BULLAUSDT,1488,0,0.0
bb_zscore_20h,BUSDT,289,0,0.0
bb_zscore_20h,CAKEUSDT,2184,0,0.0
bb_zscore_20h,CATIUSDT,1464,0,0.0
bb_zscore_20h,CFXUSDT,744,0,0.0
bb_zscore_20h,CGPTUSDT,672,0,0.0
bb_zscore_20h,CHIPUSDT,1033,0,0.0
bb_zscore_20h,CKBUSDT,744,0,0.0
bb_zscore_20h,CLOUSDT,672,0,0.0
bb_zscore_20h,COAIUSDT,720,0,0.0
bb_zscore_20h,COOKIEUSDT,720,0,0.0
bb_zscore_20h,BREVUSDT,672,0,0.0
bb_zscore_20h,0GUSDT,1488,0,0.0
