factor_name,category,expected_direction,horizon,raw_mean_rank_ic,direction_adjusted_mean_rank_ic,raw_rank_ic_std,direction_adjusted_rank_ic_std,raw_icir,direction_adjusted_icir,icir,t_stat,ic_win_rate_raw,ic_win_rate_adjusted,n_periods,n_symbols_avg,coverage,missing_rate,used_in_current_signal,status,formula_proxy,required_columns,lookback_window,notes,top_bucket_mean_return,bottom_bucket_mean_return,long_short_spread_mean,long_short_spread_t_stat,long_short_win_rate,long_short_spread_std,long_short_spread_annualized_return,long_short_spread_annualized_vol,long_short_spread_max_drawdown,long_short_spread_positive_period_rate,n_monthly_periods,annualization_method
q158_klen_open,alpha158_kbar,conditional,1h,-0.03741554,-0.03741554,0.20537318,0.20537318,-0.182183,-0.182183,-0.182183,-24.3097,0.419,0.419,17805,186.2,3316259,0.0,False,DIRECTION_UNKNOWN,Alpha158 KLEN: (high - low) / open; 1h kbar range length normalized by open,open|high|low,1,Alpha158 KLEN: (high - low) / open; 1h kbar range length normalized by open,8.923e-05,-1.719e-05,0.00010642,2.2155,0.5041,0.00028947,0.98523431,0.00100274,-0.00122495,0.68,25,per_bar_mean_x_bars_per_year
q158_klow_open,alpha158_kbar,positive,72h,-0.05492423,-0.05492423,0.14730261,0.14730261,-0.372867,-0.372867,-0.372867,-49.6557,0.3415,0.3415,17735,186.2,3316259,0.0,False,COMPUTED,"Alpha158 KLOW: (min(open, close) - low) / open; lower shadow normalized by open",open|low|close,1,"Alpha158 KLOW: (min(open, close) - low) / open; lower shadow normalized by open",0.00268578,-0.00021046,0.00289624,7.7311,0.4833,0.01150442,0.3822678,0.03985249,-0.03524292,0.6,25,per_bar_mean_x_bars_per_year
q158_ksft_open,alpha158_kbar,positive,1h,-0.03887002,-0.03887002,0.15774591,0.15774591,-0.246409,-0.246409,-0.246409,-32.8797,0.3845,0.3845,17805,186.2,3316259,0.0,False,COMPUTED,Alpha158 KSFT: (2*close - high - low) / open; signed close-location shift normalized by open,open|high|low|close,1,Alpha158 KSFT: (2*close - high - low) / open; signed close-location shift normalized by open,-5.991e-05,0.00011936,-0.00017927,-4.5152,0.4678,0.00023399,-1.65145671,0.00081055,-0.00472167,0.2,25,per_bar_mean_x_bars_per_year
q158_ksft_open,alpha158_kbar,positive,4h,-0.02478603,-0.02478603,0.15578465,0.15578465,-0.159104,-0.159104,-0.159104,-21.229,0.4302,0.4302,17803,186.2,3316259,0.0,False,COMPUTED,Alpha158 KSFT: (2*close - high - low) / open; signed close-location shift normalized by open,open|high|low|close,1,Alpha158 KSFT: (2*close - high - low) / open; signed close-location shift normalized by open,6.02e-05,0.00016791,-0.00010771,-1.3924,0.4898,0.00060527,-0.24666209,0.00209673,-0.00298187,0.32,25,per_bar_mean_x_bars_per_year
q158_ksft_open,alpha158_kbar,positive,24h,-0.00659059,-0.00659059,0.15224601,0.15224601,-0.043289,-0.043289,-0.043289,-5.7727,0.4825,0.4825,17783,186.2,3316259,0.0,False,COMPUTED,Alpha158 KSFT: (2*close - high - low) / open; signed close-location shift normalized by open,open|high|low|close,1,Alpha158 KSFT: (2*close - high - low) / open; signed close-location shift normalized by open,0.00068287,0.00047988,0.00020299,1.0652,0.5047,0.00123703,0.09538013,0.00428518,-0.00494679,0.6,25,per_bar_mean_x_bars_per_year
q158_ksft_open,alpha158_kbar,positive,72h,-3.169e-05,-3.169e-05,0.14662042,0.14662042,-0.000216,-0.000216,-0.000216,-0.0288,0.5008,0.5008,17735,186.2,3316259,0.0,False,COMPUTED,Alpha158 KSFT: (2*close - high - low) / open; signed close-location shift normalized by open,open|high|low|close,1,Alpha158 KSFT: (2*close - high - low) / open; signed close-location shift normalized by open,0.0019264,0.00119776,0.00072864,2.0187,0.5016,0.0027553,0.08790528,0.00954465,-0.00712893,0.64,25,per_bar_mean_x_bars_per_year
q158_ksft_range,alpha158_kbar,positive,1h,-0.03340933,-0.03340933,0.12244744,0.12244744,-0.272846,-0.272846,-0.272846,-36.4073,0.3776,0.3776,17805,186.2,3316259,0.0,False,COMPUTED,Alpha158 KSFT2: (2*close - high - low) / (high - low + eps); signed close-location shift normalized by range,high|low|close,1,Alpha158 KSFT2: (2*close - high - low) / (high - low + eps); signed close-location shift normalized by range,-0.0001202,0.00011832,-0.00023852,-7.4556,0.4591,0.00024069,-2.11497538,0.00083377,-0.00604277,0.16,25,per_bar_mean_x_bars_per_year
q158_ksft_range,alpha158_kbar,positive,4h,-0.02117525,-0.02117525,0.12198779,0.12198779,-0.173585,-0.173585,-0.173585,-23.1611,0.4211,0.4211,17803,186.2,3316259,0.0,False,COMPUTED,Alpha158 KSFT2: (2*close - high - low) / (high - low + eps); signed close-location shift normalized by range,high|low|close,1,Alpha158 KSFT2: (2*close - high - low) / (high - low + eps); signed close-location shift normalized by range,-7.247e-05,0.00011699,-0.00018946,-2.9565,0.4789,0.00049717,-0.38853386,0.00172224,-0.00467199,0.32,25,per_bar_mean_x_bars_per_year
q158_ksft_range,alpha158_kbar,positive,24h,-0.00473872,-0.00473872,0.11886127,0.11886127,-0.039868,-0.039868,-0.039868,-5.3165,0.4788,0.4788,17783,186.2,3316259,0.0,False,COMPUTED,Alpha158 KSFT2: (2*close - high - low) / (high - low + eps); signed close-location shift normalized by range,high|low|close,1,Alpha158 KSFT2: (2*close - high - low) / (high - low + eps); signed close-location shift normalized by range,0.00025872,0.00012906,0.00012966,0.8092,0.5038,0.00099516,0.07154708,0.00344733,-0.00297601,0.48,25,per_bar_mean_x_bars_per_year
q158_ksft_range,alpha158_kbar,positive,72h,0.00042078,0.00042078,0.11502965,0.11502965,0.003658,0.003658,0.003658,0.4872,0.5014,0.5014,17735,186.2,3316259,0.0,False,COMPUTED,Alpha158 KSFT2: (2*close - high - low) / (high - low + eps); signed close-location shift normalized by range,high|low|close,1,Alpha158 KSFT2: (2*close - high - low) / (high - low + eps); signed close-location shift normalized by range,0.0006329,0.00037691,0.00025599,0.8361,0.5032,0.00213564,0.04183864,0.00739806,-0.00652345,0.44,25,per_bar_mean_x_bars_per_year
q158_rsv_20h,alpha158_rolling,conditional,1h,-0.02172221,-0.02172221,0.13430691,0.13430691,-0.161736,-0.161736,-0.161736,-21.5703,0.4314,0.4314,17787,186.1,3311205,0.001524,False,DIRECTION_UNKNOWN,"Alpha158 RSV20: (close - Min(low,20)) / (Max(high,20) - Min(low,20) + eps); 1h adaptation of rolling price position",high|low|close,20,"Alpha158 RSV20: (close - Min(low,20)) / (Max(high,20) - Min(low,20) + eps); 1h adaptation of rolling price position",4.022e-05,1.16e-06,3.906e-05,1.137,0.4985,0.00019633,0.37552333,0.0006801,-0.0007576,0.64,25,per_bar_mean_x_bars_per_year
q158_rsv_20h,alpha158_rolling,conditional,4h,-0.02110261,-0.02110261,0.13842687,0.13842687,-0.152446,-0.152446,-0.152446,-20.3302,0.434,0.434,17785,186.1,3311205,0.001524,False,DIRECTION_UNKNOWN,"Alpha158 RSV20: (close - Min(low,20)) / (Max(high,20) - Min(low,20) + eps); 1h adaptation of rolling price position",high|low|close,20,"Alpha158 RSV20: (close - Min(low,20)) / (Max(high,20) - Min(low,20) + eps); 1h adaptation of rolling price position",0.00018447,-7.596e-05,0.00026043,3.6871,0.5068,0.00067485,0.60843218,0.00233775,-0.00105474,0.68,25,per_bar_mean_x_bars_per_year
q158_rsv_20h,alpha158_rolling,conditional,24h,-0.00903279,-0.00903279,0.1409014,0.1409014,-0.064107,-0.064107,-0.064107,-8.5445,0.471,0.471,17765,186.1,3311205,0.001524,False,DIRECTION_UNKNOWN,"Alpha158 RSV20: (close - Min(low,20)) / (Max(high,20) - Min(low,20) + eps); 1h adaptation of rolling price position",high|low|close,20,"Alpha158 RSV20: (close - Min(low,20)) / (Max(high,20) - Min(low,20) + eps); 1h adaptation of rolling price position",0.00077349,-0.00030433,0.00107781,5.909,0.511,0.00376549,0.52968266,0.01304405,-0.00511371,0.68,25,per_bar_mean_x_bars_per_year
q158_rsv_20h,alpha158_rolling,conditional,72h,0.00149521,0.00149521,0.13030414,0.13030414,0.011475,0.011475,0.011475,1.5274,0.5015,0.5015,17717,186.1,3311205,0.001524,False,DIRECTION_UNKNOWN,"Alpha158 RSV20: (close - Min(low,20)) / (Max(high,20) - Min(low,20) + eps); 1h adaptation of rolling price position",high|low|close,20,"Alpha158 RSV20: (close - Min(low,20)) / (Max(high,20) - Min(low,20) + eps); 1h adaptation of rolling price position",0.00244722,-0.00106238,0.0035096,10.2881,0.5297,0.00828418,0.46693927,0.02869725,-0.01360239,0.64,25,per_bar_mean_x_bars_per_year
