factor_name,category,expected_direction,horizon,period,bucket,bucket_label,mean_forward_return,median_forward_return,n_timestamps,n_obs,status
a101_volume_cap_alpha_min_80_80,alpha101_curated_volume_cap_regression,conditional,1h,2025-06,3,Q4,-0.00010069,-2.726e-05,720,,DIRECTION_UNKNOWN
a101_volume_cap_alpha_min_80_80,alpha101_curated_volume_cap_regression,conditional,1h,2025-06,4,Q5,-9.436e-05,-0.0001994,720,,DIRECTION_UNKNOWN
a101_volume_cap_alpha_min_80_80,alpha101_curated_volume_cap_regression,conditional,1h,2025-07,0,Q1,0.00012744,0.00024348,744,,DIRECTION_UNKNOWN
a101_volume_cap_alpha_min_80_80,alpha101_curated_volume_cap_regression,conditional,1h,2025-07,1,Q2,0.00024661,0.00047832,744,,DIRECTION_UNKNOWN
a101_volume_cap_alpha_min_80_80,alpha101_curated_volume_cap_regression,conditional,1h,2025-07,2,Q3,0.00036044,0.00037376,744,,DIRECTION_UNKNOWN
a101_volume_cap_alpha_min_80_80,alpha101_curated_volume_cap_regression,conditional,1h,2025-07,3,Q4,0.00026012,0.00050379,744,,DIRECTION_UNKNOWN
a101_volume_cap_alpha_min_80_80,alpha101_curated_volume_cap_regression,conditional,1h,2025-07,4,Q5,0.00023387,0.00050567,744,,DIRECTION_UNKNOWN
a101_volume_cap_alpha_min_80_80,alpha101_curated_volume_cap_regression,conditional,1h,2025-08,0,Q1,3.52e-05,0.00018773,744,,DIRECTION_UNKNOWN
a101_volume_cap_alpha_min_80_80,alpha101_curated_volume_cap_regression,conditional,1h,2025-08,1,Q2,0.00010817,0.00037612,744,,DIRECTION_UNKNOWN
a101_volume_cap_alpha_min_80_80,alpha101_curated_volume_cap_regression,conditional,1h,2025-08,2,Q3,9.992e-05,0.00043773,744,,DIRECTION_UNKNOWN
a101_volume_cap_alpha_min_80_80,alpha101_curated_volume_cap_regression,conditional,1h,2025-08,3,Q4,0.00011637,0.00016802,744,,DIRECTION_UNKNOWN
a101_volume_cap_alpha_min_80_80,alpha101_curated_volume_cap_regression,conditional,1h,2025-08,4,Q5,0.00011872,0.00014534,744,,DIRECTION_UNKNOWN
a101_volume_cap_alpha_min_80_80,alpha101_curated_volume_cap_regression,conditional,1h,2025-09,0,Q1,-1.25e-06,0.00028096,720,,DIRECTION_UNKNOWN
a101_volume_cap_alpha_min_80_80,alpha101_curated_volume_cap_regression,conditional,1h,2025-09,1,Q2,0.00012989,0.00026289,720,,DIRECTION_UNKNOWN
a101_volume_cap_alpha_min_80_80,alpha101_curated_volume_cap_regression,conditional,1h,2025-09,2,Q3,-2.084e-05,0.00018955,720,,DIRECTION_UNKNOWN
a101_volume_cap_alpha_min_80_80,alpha101_curated_volume_cap_regression,conditional,1h,2025-09,3,Q4,-6.296e-05,0.00010523,720,,DIRECTION_UNKNOWN
a101_volume_cap_alpha_min_80_80,alpha101_curated_volume_cap_regression,conditional,1h,2025-09,4,Q5,-4.74e-05,5.586e-05,720,,DIRECTION_UNKNOWN
a101_volume_cap_alpha_min_80_80,alpha101_curated_volume_cap_regression,conditional,1h,2025-10,0,Q1,-6.979e-05,0.00065819,744,,DIRECTION_UNKNOWN
a101_volume_cap_alpha_min_80_80,alpha101_curated_volume_cap_regression,conditional,1h,2025-10,1,Q2,2.806e-05,0.00017612,744,,DIRECTION_UNKNOWN
