factor_name,category,expected_direction,horizon,bucket,bucket_label,mean_forward_return,median_forward_return,n_obs,n_periods,status,top_bucket_mean_return,bottom_bucket_mean_return,long_short_spread_mean,long_short_spread_median,long_short_spread_t_stat,long_short_win_rate,top_bucket_top1pct_abs_share,bottom_bucket_top1pct_abs_share,bucket_tail_diagnosis,after_funding_top_bucket_mean_return,after_funding_bottom_bucket_mean_return,after_funding_long_short_spread_mean,after_funding_long_short_spread_median,after_funding_long_short_spread_t_stat,after_funding_long_short_win_rate,after_funding_coverage_rate,after_funding_bucket_tail_diagnosis,funding_adjusted_edge_flip,long_short_spread_std,long_short_spread_annualized_return,long_short_spread_annualized_vol,long_short_spread_max_drawdown,long_short_spread_positive_period_rate,n_monthly_periods,annualization_method
wq101_alpha101,wq101,conditional,4h,LONG_SHORT,Long-Short,4.313e-05,,,17804,DIRECTION_UNKNOWN,2.249e-05,-2.064e-05,4.313e-05,-9.292e-05,0.6755,0.4943,0.065405,0.066709,MIXED_OR_WEAK,7.722e-05,1.871e-05,5.851e-05,-7.668e-05,0.9152,0.4947,1.0,MIXED_OR_WEAK,False,0.00050964,0.0898167,0.00176546,-0.00207356,0.48,25,per_bar_mean_x_bars_per_year
wq101_alpha101,wq101,conditional,24h,LONG_SHORT,Long-Short,0.00029745,,,17784,DIRECTION_UNKNOWN,0.00025642,-4.103e-05,0.00029745,5.73e-06,1.8615,0.5002,0.054413,0.053091,DIRECTIONALLY_CLEAN_THIN_EDGE,0.00052751,0.00019352,0.00033399,1.592e-05,2.081,0.5005,1.0,DIRECTIONALLY_CLEAN_THIN_EDGE,False,0.00128739,0.14809028,0.00445965,-0.00196254,0.56,25,per_bar_mean_x_bars_per_year
wq101_alpha101,wq101,conditional,72h,LONG_SHORT,Long-Short,0.00121774,,,17736,DIRECTION_UNKNOWN,0.00054584,-0.0006719,0.00121774,0.00035073,4.093,0.5047,0.048774,0.046763,DIRECTIONALLY_CLEAN_THIN_EDGE,0.00125672,-3.687e-05,0.0012936,0.00036104,4.3092,0.5051,1.0,DIRECTIONALLY_CLEAN_THIN_EDGE,False,0.00265469,0.16277572,0.00919611,-0.00296,0.6,25,per_bar_mean_x_bars_per_year
wq101_alpha12,wq101,conditional,1h,LONG_SHORT,Long-Short,1.941e-05,,,17806,DIRECTION_UNKNOWN,5.49e-06,-1.391e-05,1.941e-05,5.146e-05,0.7133,0.508,0.068362,0.067827,DIRECTIONALLY_CLEAN_THIN_EDGE,1.669e-05,8.1e-07,1.588e-05,4.754e-05,0.5832,0.5068,1.0,DIRECTIONALLY_CLEAN_THIN_EDGE,False,0.00016793,0.09575912,0.00058172,-0.00071922,0.48,25,per_bar_mean_x_bars_per_year
wq101_alpha12,wq101,conditional,4h,LONG_SHORT,Long-Short,-9.877e-05,,,17803,DIRECTION_UNKNOWN,-6.671e-05,3.206e-05,-9.877e-05,8.294e-05,-1.7995,0.5062,0.066038,0.065777,MEAN_SPREAD_OUTLIER_DOMINATED,-2.27e-05,9.054e-05,-0.00011325,6.909e-05,-2.0607,0.5049,1.0,MEAN_SPREAD_OUTLIER_DOMINATED,False,0.00030057,-0.21179472,0.00104122,-0.00288048,0.56,25,per_bar_mean_x_bars_per_year
wq101_alpha12,wq101,conditional,24h,LONG_SHORT,Long-Short,-0.0003147,,,17783,DIRECTION_UNKNOWN,-0.00023043,8.428e-05,-0.0003147,-8.441e-05,-2.2548,0.4973,0.05324,0.053833,ROBUST_SPREAD_NEGATIVE,1.286e-05,0.00039156,-0.0003787,-0.00015906,-2.6998,0.4961,1.0,ROBUST_SPREAD_NEGATIVE,False,0.0006964,-0.11595121,0.00241239,-0.00830954,0.32,25,per_bar_mean_x_bars_per_year
wq101_alpha12,wq101,conditional,72h,LONG_SHORT,Long-Short,-0.00083119,,,17735,DIRECTION_UNKNOWN,-0.00054674,0.00028445,-0.00083119,-0.00020025,-3.0102,0.4965,0.047008,0.048795,ROBUST_SPREAD_NEGATIVE,0.00011271,0.00109219,-0.00097948,-0.00025367,-3.5172,0.4963,1.0,ROBUST_SPREAD_NEGATIVE,False,0.00197373,-0.11542165,0.00683721,-0.02571588,0.4,25,per_bar_mean_x_bars_per_year
wq101_alpha53,wq101,conditional,1h,LONG_SHORT,Long-Short,6.193e-05,,,17798,DIRECTION_UNKNOWN,2.991e-05,-3.202e-05,6.193e-05,0.0001504,2.1237,0.5202,0.067981,0.06919,DIRECTIONALLY_CLEAN_THIN_EDGE,3.954e-05,-2.035e-05,5.989e-05,0.0001498,2.0522,0.5197,1.0,DIRECTIONALLY_CLEAN_THIN_EDGE,False,0.00019239,0.61427799,0.00066645,-0.00058657,0.72,25,per_bar_mean_x_bars_per_year
wq101_alpha53,wq101,conditional,4h,LONG_SHORT,Long-Short,9.956e-05,,,17795,DIRECTION_UNKNOWN,3.495e-05,-6.461e-05,9.956e-05,0.00020923,1.6942,0.5141,0.065459,0.066599,DIRECTIONALLY_CLEAN_THIN_EDGE,7.391e-05,-1.857e-05,9.248e-05,0.00020324,1.5718,0.514,1.0,DIRECTIONALLY_CLEAN_THIN_EDGE,False,0.00032911,0.22258417,0.00114006,-0.00081149,0.68,25,per_bar_mean_x_bars_per_year
wq101_alpha53,wq101,conditional,24h,LONG_SHORT,Long-Short,0.0001474,,,17775,DIRECTION_UNKNOWN,7.695e-05,-7.046e-05,0.0001474,6.176e-05,0.9727,0.5014,0.053683,0.05426,DIRECTIONALLY_CLEAN_THIN_EDGE,0.00031415,0.00016973,0.00014442,9.83e-05,0.949,0.5024,1.0,DIRECTIONALLY_CLEAN_THIN_EDGE,False,0.00055518,0.05789989,0.00192322,-0.0013039,0.72,25,per_bar_mean_x_bars_per_year
wq101_alpha53,wq101,conditional,72h,LONG_SHORT,Long-Short,0.00019088,,,17727,DIRECTION_UNKNOWN,-4.448e-05,-0.00023536,0.00019088,0.0003363,0.6552,0.5046,0.048042,0.04853,DIRECTIONALLY_CLEAN_THIN_EDGE,0.000601,0.00041766,0.00018335,0.00039832,0.6242,0.5058,1.0,DIRECTIONALLY_CLEAN_THIN_EDGE,False,0.00081321,0.02871015,0.00281703,-0.00261483,0.52,25,per_bar_mean_x_bars_per_year
wq101_alpha1,wq101,conditional,1h,LONG_SHORT,Long-Short,1.632e-05,,,17789,DIRECTION_UNKNOWN,2e-08,-1.578e-05,1.632e-05,5.693e-05,0.616,0.5076,0.06894,0.069293,DIRECTIONALLY_CLEAN_THIN_EDGE,5.57e-06,-4.75e-06,1.084e-05,5.693e-05,0.4087,0.507,1.0,DIRECTIONALLY_CLEAN_THIN_EDGE,False,0.00016584,0.11859136,0.0005745,-0.00051452,0.56,25,per_bar_mean_x_bars_per_year
wq101_alpha1,wq101,conditional,4h,LONG_SHORT,Long-Short,8.53e-06,,,17786,DIRECTION_UNKNOWN,-5.71e-06,-1.555e-05,8.53e-06,6.239e-05,0.161,0.5044,0.066541,0.065391,DIRECTIONALLY_CLEAN_THIN_EDGE,1.727e-05,2.749e-05,-1.158e-05,4.109e-05,-0.2184,0.5025,1.0,MEAN_SPREAD_OUTLIER_DOMINATED,True,0.0003977,0.01129882,0.00137768,-0.00198734,0.48,25,per_bar_mean_x_bars_per_year
wq101_alpha1,wq101,conditional,24h,LONG_SHORT,Long-Short,-0.00041833,,,17766,DIRECTION_UNKNOWN,-0.0002012,0.00019874,-0.00041833,2.122e-05,-2.9577,0.5005,0.052805,0.055635,MEAN_SPREAD_OUTLIER_DOMINATED,-5.486e-05,0.00042245,-0.00049602,-4.636e-05,-3.4903,0.4991,1.0,ROBUST_SPREAD_NEGATIVE,False,0.00137556,-0.17251905,0.0047651,-0.01385355,0.24,25,per_bar_mean_x_bars_per_year
wq101_alpha1,wq101,conditional,72h,LONG_SHORT,Long-Short,-0.00125896,,,17718,DIRECTION_UNKNOWN,-0.00060783,0.0006608,-0.00125896,-0.00037117,-4.4749,0.4937,0.046943,0.051078,ROBUST_SPREAD_NEGATIVE,-0.00019472,0.00127407,-0.00146008,-0.00049624,-5.1391,0.4925,1.0,ROBUST_SPREAD_NEGATIVE,False,0.00527813,-0.15482893,0.01828398,-0.0403263,0.28,25,per_bar_mean_x_bars_per_year
wq101_alpha2,wq101,conditional,1h,LONG_SHORT,Long-Short,2.087e-05,,,17792,DIRECTION_UNKNOWN,-1.77e-06,-2.263e-05,2.087e-05,6.556e-05,0.9182,0.5117,0.070156,0.06851,DIRECTIONALLY_CLEAN_THIN_EDGE,2.42e-06,-1.462e-05,1.704e-05,6.008e-05,0.7492,0.5111,1.0,DIRECTIONALLY_CLEAN_THIN_EDGE,False,0.00010722,0.22300622,0.00037142,-0.0002749,0.68,25,per_bar_mean_x_bars_per_year
wq101_alpha2,wq101,conditional,4h,LONG_SHORT,Long-Short,2.86e-06,,,17789,DIRECTION_UNKNOWN,-5.903e-05,-6.188e-05,2.86e-06,0.0001355,0.063,0.5113,0.067238,0.065726,DIRECTIONALLY_CLEAN_THIN_EDGE,-4.149e-05,-3.091e-05,-1.058e-05,0.00011252,-0.2328,0.5103,1.0,MEAN_SPREAD_OUTLIER_DOMINATED,True,0.00039366,0.05717879,0.00136366,-0.00124379,0.48,25,per_bar_mean_x_bars_per_year
wq101_alpha2,wq101,conditional,24h,LONG_SHORT,Long-Short,-0.00017799,,,17769,DIRECTION_UNKNOWN,-0.0002908,-0.00011281,-0.00017799,-2.947e-05,-1.4916,0.4989,0.05486,0.053986,ROBUST_SPREAD_NEGATIVE,-0.00018081,6.357e-05,-0.00024438,-7.544e-05,-2.0361,0.4968,1.0,ROBUST_SPREAD_NEGATIVE,False,0.00116199,-0.0488682,0.00402526,-0.00515345,0.52,25,per_bar_mean_x_bars_per_year
wq101_alpha2,wq101,conditional,72h,LONG_SHORT,Long-Short,-0.00020076,,,17721,DIRECTION_UNKNOWN,-0.00089414,-0.00069338,-0.00020076,0.00056843,-0.8166,0.5103,0.049547,0.047634,MEAN_SPREAD_OUTLIER_DOMINATED,-0.00056214,-0.00019555,-0.00036659,0.00040491,-1.477,0.5082,1.0,MEAN_SPREAD_OUTLIER_DOMINATED,False,0.002894,-0.01024132,0.01002511,-0.01823438,0.48,25,per_bar_mean_x_bars_per_year
wq101_alpha3,wq101,conditional,1h,LONG_SHORT,Long-Short,-3.392e-05,,,17798,DIRECTION_UNKNOWN,-2.845e-05,5.47e-06,-3.392e-05,-2.858e-05,-1.4029,0.4956,0.069393,0.067637,ROBUST_SPREAD_NEGATIVE,-2.541e-05,1.384e-05,-3.925e-05,-3.508e-05,-1.6228,0.4941,1.0,ROBUST_SPREAD_NEGATIVE,False,0.00011406,-0.29026038,0.00039512,-0.0008748,0.4,25,per_bar_mean_x_bars_per_year
wq101_alpha3,wq101,conditional,4h,LONG_SHORT,Long-Short,-0.00010582,,,17795,DIRECTION_UNKNOWN,-7.478e-05,3.104e-05,-0.00010582,1.478e-05,-2.1675,0.501,0.066496,0.065142,MEAN_SPREAD_OUTLIER_DOMINATED,-6.255e-05,6.373e-05,-0.00012628,2.34e-06,-2.5835,0.5001,1.0,MEAN_SPREAD_OUTLIER_DOMINATED,False,0.00034574,-0.22677962,0.00119768,-0.00334101,0.44,25,per_bar_mean_x_bars_per_year
wq101_alpha3,wq101,conditional,24h,LONG_SHORT,Long-Short,4.96e-06,,,17775,DIRECTION_UNKNOWN,-0.00024581,-0.00025077,4.96e-06,0.00022183,0.0381,0.5068,0.053709,0.055978,DIRECTIONALLY_CLEAN_THIN_EDGE,-0.00017107,-7.286e-05,-9.821e-05,0.00012308,-0.751,0.5043,1.0,MEAN_SPREAD_OUTLIER_DOMINATED,True,0.00120279,0.00054656,0.00416658,-0.00580208,0.56,25,per_bar_mean_x_bars_per_year
wq101_alpha3,wq101,conditional,72h,LONG_SHORT,Long-Short,-0.00042246,,,17727,DIRECTION_UNKNOWN,-0.00089845,-0.00047599,-0.00042246,0.00028826,-1.6572,0.5044,0.048449,0.049156,MEAN_SPREAD_OUTLIER_DOMINATED,-0.00063484,-2.138e-05,-0.00061346,5.848e-05,-2.3845,0.5012,1.0,MEAN_SPREAD_OUTLIER_DOMINATED,False,0.00323738,-0.01492241,0.01121463,-0.01851826,0.52,25,per_bar_mean_x_bars_per_year
wq101_alpha4,wq101,conditional,1h,LONG_SHORT,Long-Short,-6.34e-05,,,17799,DIRECTION_UNKNOWN,-2.703e-05,3.637e-05,-6.34e-05,-2.037e-05,-2.1419,0.4971,0.069334,0.066344,ROBUST_SPREAD_NEGATIVE,-2.032e-05,5.222e-05,-7.254e-05,-3.133e-05,-2.4481,0.4959,1.0,ROBUST_SPREAD_NEGATIVE,False,0.00012708,-0.57376571,0.00044021,-0.00164352,0.32,25,per_bar_mean_x_bars_per_year
wq101_alpha4,wq101,conditional,4h,LONG_SHORT,Long-Short,-0.00025216,,,17796,DIRECTION_UNKNOWN,-0.00011137,0.00014079,-0.00025216,-6.744e-05,-4.259,0.4956,0.067769,0.063096,ROBUST_SPREAD_NEGATIVE,-8.111e-05,0.00019926,-0.00028037,-8.69e-05,-4.7274,0.4935,1.0,ROBUST_SPREAD_NEGATIVE,False,0.00040744,-0.57690994,0.0014114,-0.00674565,0.24,25,per_bar_mean_x_bars_per_year
wq101_alpha4,wq101,conditional,24h,LONG_SHORT,Long-Short,-0.00103588,,,17776,DIRECTION_UNKNOWN,-0.00054541,0.00049047,-0.00103588,-0.00039084,-6.9866,0.4892,0.054358,0.054286,ROBUST_SPREAD_NEGATIVE,-0.00036495,0.00079508,-0.00116004,-0.00046912,-7.7775,0.4871,1.0,ROBUST_SPREAD_NEGATIVE,False,0.0021115,-0.43347122,0.00731446,-0.03030032,0.24,25,per_bar_mean_x_bars_per_year
wq101_alpha4,wq101,conditional,72h,LONG_SHORT,Long-Short,-0.00212431,,,17728,DIRECTION_UNKNOWN,-0.00096666,0.00115765,-0.00212431,-0.00044368,-7.132,0.4923,0.048147,0.05052,ROBUST_SPREAD_NEGATIVE,-0.00044533,0.00194048,-0.00238581,-0.00060233,-7.93,0.4898,1.0,ROBUST_SPREAD_NEGATIVE,False,0.00529828,-0.26371937,0.01835378,-0.05885752,0.36,25,per_bar_mean_x_bars_per_year
wq101_alpha5,wq101,conditional,1h,LONG_SHORT,Long-Short,8.898e-05,,,17797,DIRECTION_UNKNOWN,3.905e-05,-4.992e-05,8.898e-05,0.00013967,2.8934,0.5188,0.068096,0.069087,DIRECTIONALLY_CLEAN_THIN_EDGE,5.073e-05,-3.858e-05,8.931e-05,0.00014069,2.9016,0.519,1.0,DIRECTIONALLY_CLEAN_THIN_EDGE,False,0.00020349,0.84660223,0.00070491,-0.00054023,0.76,25,per_bar_mean_x_bars_per_year
wq101_alpha5,wq101,conditional,4h,LONG_SHORT,Long-Short,6.089e-05,,,17794,DIRECTION_UNKNOWN,3.356e-05,-2.733e-05,6.089e-05,0.00018572,1.0006,0.5116,0.065886,0.065673,DIRECTIONALLY_CLEAN_THIN_EDGE,8.138e-05,1.617e-05,6.521e-05,0.00019302,1.0702,0.5119,1.0,DIRECTIONALLY_CLEAN_THIN_EDGE,False,0.00052405,0.12836751,0.00181536,-0.00204511,0.6,25,per_bar_mean_x_bars_per_year
wq101_alpha5,wq101,conditional,24h,LONG_SHORT,Long-Short,-0.00024555,,,17774,DIRECTION_UNKNOWN,-3.955e-05,0.00020601,-0.00024555,0.00035178,-1.5396,0.5067,0.052396,0.056677,MEAN_SPREAD_OUTLIER_DOMINATED,0.00023867,0.00041772,-0.00017905,0.00040206,-1.1177,0.5087,1.0,MEAN_SPREAD_OUTLIER_DOMINATED,False,0.00226472,-0.1504433,0.00784523,-0.01523529,0.56,25,per_bar_mean_x_bars_per_year
wq101_alpha5,wq101,conditional,72h,LONG_SHORT,Long-Short,-0.00015965,,,17726,DIRECTION_UNKNOWN,0.0002216,0.00038125,-0.00015965,0.0007539,-0.5345,0.5115,0.047748,0.049489,MEAN_SPREAD_OUTLIER_DOMINATED,0.00093964,0.00093538,4.26e-06,0.00085392,0.0141,0.5126,1.0,DIRECTIONALLY_CLEAN_THIN_EDGE,True,0.0048135,-0.02415348,0.01667446,-0.01637651,0.52,25,per_bar_mean_x_bars_per_year
