factor_name,category,expected_direction,horizon,raw_mean_rank_ic,direction_adjusted_mean_rank_ic,raw_rank_ic_std,direction_adjusted_rank_ic_std,raw_icir,direction_adjusted_icir,icir,t_stat,ic_win_rate_raw,ic_win_rate_adjusted,n_periods,n_symbols_avg,coverage,missing_rate,used_in_current_signal,status,formula_proxy,required_columns,lookback_window,notes,top_bucket_mean_return,bottom_bucket_mean_return,long_short_spread_mean,long_short_spread_t_stat,long_short_win_rate
realized_skew_20h,realized_shape,conditional,72h,-0.02413659,-0.02413659,0.11452683,0.11452683,-0.210751,-0.210751,-0.210751,-28.0512,0.4094,0.4094,17716,186.1,3310939,0.001604,False,DIRECTION_UNKNOWN,rolling skewness of 1h returns over 20 bars; asymmetry diagnostic,close,21,rolling skewness of 1h returns over 20 bars; asymmetry diagnostic,0.00023705,0.00030766,-7.061e-05,-0.2284,0.4831
realized_kurt_20h,realized_shape,conditional,1h,-0.00382706,-0.00382706,0.10678138,0.10678138,-0.03584,-0.03584,-0.03584,-4.7798,0.4816,0.4816,17786,186.1,3310939,0.001604,False,DIRECTION_UNKNOWN,rolling kurtosis of 1h returns over 20 bars; tail risk / jumpiness diagnostic,close,21,rolling kurtosis of 1h returns over 20 bars; tail risk / jumpiness diagnostic,-1.748e-05,4.49e-06,-2.198e-05,-0.7535,0.4941
realized_kurt_20h,realized_shape,conditional,4h,-0.00673572,-0.00673572,0.1090641,0.1090641,-0.061759,-0.061759,-0.061759,-8.236,0.4695,0.4695,17784,186.1,3310939,0.001604,False,DIRECTION_UNKNOWN,rolling kurtosis of 1h returns over 20 bars; tail risk / jumpiness diagnostic,close,21,rolling kurtosis of 1h returns over 20 bars; tail risk / jumpiness diagnostic,-6.638e-05,-2.11e-06,-6.427e-05,-1.1058,0.4917
realized_kurt_20h,realized_shape,conditional,24h,-0.01183482,-0.01183482,0.10868032,0.10868032,-0.108896,-0.108896,-0.108896,-14.5138,0.4516,0.4516,17764,186.1,3310939,0.001604,False,DIRECTION_UNKNOWN,rolling kurtosis of 1h returns over 20 bars; tail risk / jumpiness diagnostic,close,21,rolling kurtosis of 1h returns over 20 bars; tail risk / jumpiness diagnostic,-8.301e-05,0.00011992,-0.00020293,-1.3679,0.494
realized_kurt_20h,realized_shape,conditional,72h,-0.01034467,-0.01034467,0.1061687,0.1061687,-0.097436,-0.097436,-0.097436,-12.9689,0.4565,0.4565,17716,186.1,3310939,0.001604,False,DIRECTION_UNKNOWN,rolling kurtosis of 1h returns over 20 bars; tail risk / jumpiness diagnostic,close,21,rolling kurtosis of 1h returns over 20 bars; tail risk / jumpiness diagnostic,-0.00055983,0.00080888,-0.00136871,-4.7307,0.4872
amihud_illiquidity_20h,liquidity,negative,1h,0.00434491,-0.00434491,0.14379704,0.14379704,0.030216,-0.030216,0.030216,4.0274,0.5065,0.4935,17766,185.7,3299518,0.005048,False,COMPUTED,"rolling_mean(abs(ret_1h) / quote_volume, 20); higher illiquidity penalized",close|quote_volume,21,"rolling_mean(abs(ret_1h) / quote_volume, 20); higher illiquidity penalized",-5.492e-05,4.291e-05,-9.784e-05,-3.555,0.4935
amihud_illiquidity_20h,liquidity,negative,4h,0.0074339,-0.0074339,0.14786654,0.14786654,0.050274,-0.050274,0.050274,6.7007,0.5147,0.4853,17764,185.7,3299518,0.005048,False,COMPUTED,"rolling_mean(abs(ret_1h) / quote_volume, 20); higher illiquidity penalized",close|quote_volume,21,"rolling_mean(abs(ret_1h) / quote_volume, 20); higher illiquidity penalized",-0.00023479,0.00017886,-0.00041365,-7.4693,0.4766
amihud_illiquidity_20h,liquidity,negative,24h,0.0128059,-0.0128059,0.1469555,0.1469555,0.087141,-0.087141,0.087141,11.6078,0.5307,0.4693,17744,185.7,3299518,0.005048,False,COMPUTED,"rolling_mean(abs(ret_1h) / quote_volume, 20); higher illiquidity penalized",close|quote_volume,21,"rolling_mean(abs(ret_1h) / quote_volume, 20); higher illiquidity penalized",-0.00112251,0.00119291,-0.00231541,-16.492,0.4489
amihud_illiquidity_20h,liquidity,negative,72h,0.01690457,-0.01690457,0.14184699,0.14184699,0.119175,-0.119175,0.119175,15.8534,0.5306,0.4693,17696,185.7,3299518,0.005048,False,COMPUTED,"rolling_mean(abs(ret_1h) / quote_volume, 20); higher illiquidity penalized",close|quote_volume,21,"rolling_mean(abs(ret_1h) / quote_volume, 20); higher illiquidity penalized",-0.00362795,0.00449246,-0.0081204,-31.5402,0.4045
qvol_ma_ratio_20_80,quote_volume_liquidity,conditional,1h,-0.00419661,-0.00419661,0.11764502,0.11764502,-0.035672,-0.035672,-0.035672,-4.7494,0.4879,0.4879,17727,185.4,3286558,0.008956,False,DIRECTION_UNKNOWN,"SMA(quote_volume,20) / SMA(quote_volume,80) - 1; medium-vs-long liquidity regime",quote_volume,80,"SMA(quote_volume,20) / SMA(quote_volume,80) - 1; medium-vs-long liquidity regime",2.225e-05,-1.233e-05,3.458e-05,1.0599,0.5009
