factor_name,category,expected_direction,status,used_in_current_signal,required_columns,lookback_window,best_adj_ic_horizon,best_adj_ic,best_direction_adjusted_icir_horizon,best_direction_adjusted_icir,best_long_short_horizon,best_long_short_spread,best_long_short_t_stat,best_after_funding_long_short_horizon,best_after_funding_long_short_spread,best_after_funding_coverage_rate,best_bucket_tail_diagnosis,best_after_funding_bucket_tail_diagnosis,funding_adjusted_edge_flip,best_ic_win_rate_adjusted,coverage_min,missing_rate_max,direction_status,rankic_longshort_consistency,review_bucket,review_reasons,review_notes
wq101_alpha16,wq101,conditional,DIRECTION_UNKNOWN,False,high|volume,5,24h,0.02371484,24h,0.270668,72h,-0.0029967,-10.2524,72h,-0.00353355,1.0,ROBUST_SPREAD_NEGATIVE,ROBUST_SPREAD_NEGATIVE,True,0.6086,3315183,0.000243,CONDITIONAL,DIVERGENT,CONDITIONAL_DIRECTION_REVIEW,RankIC/spread direction conflict|funding-adjusted edge flips,Conditional direction but shows IC signal strength.
wq101_alpha17,wq101,conditional,DIRECTION_UNKNOWN,False,close|volume,24,1h,0.02133886,1h,0.181528,72h,0.00056779,1.9276,72h,0.00084087,1.0,DIRECTIONALLY_CLEAN_THIN_EDGE,DIRECTIONALLY_CLEAN_THIN_EDGE,False,0.5835,3301205,0.004459,CONDITIONAL,CONSISTENT,CONDITIONAL_DIRECTION_REVIEW,,Conditional direction but shows IC signal strength.
wq101_alpha18,wq101,conditional,DIRECTION_UNKNOWN,False,open|close,10,24h,-0.00855298,24h,-0.071356,72h,-0.00140789,-4.8618,72h,-0.00167403,1.0,ROBUST_SPREAD_NEGATIVE,ROBUST_SPREAD_NEGATIVE,False,0.501,3304938,0.003333,CONDITIONAL,CONSISTENT,CONDITIONAL_DIRECTION_REVIEW,,Conditional direction; weak or no clear IC signal.
wq101_alpha19,wq101,conditional,DIRECTION_UNKNOWN,False,close,251,4h,0.01692581,4h,0.12338,72h,-0.00272637,-8.143,72h,-0.00298093,1.0,ROBUST_SPREAD_NEGATIVE,ROBUST_SPREAD_NEGATIVE,False,0.558,3249009,0.020199,CONDITIONAL,DIVERGENT,CONDITIONAL_DIRECTION_REVIEW,RankIC/spread direction conflict,Conditional direction; weak or no clear IC signal.
wq101_alpha20,wq101,conditional,DIRECTION_UNKNOWN,False,open|high|low|close,2,72h,0.01809815,72h,0.181094,72h,0.00118967,4.6076,72h,0.00123527,1.0,DIRECTIONALLY_CLEAN_THIN_EDGE,DIRECTIONALLY_CLEAN_THIN_EDGE,False,0.5836,3315990,0.0,CONDITIONAL,CONSISTENT,CONDITIONAL_DIRECTION_REVIEW,,Conditional direction; weak or no clear IC signal.
wq101_alpha22,wq101,conditional,DIRECTION_UNKNOWN,False,high|close|volume,20,24h,0.00424363,24h,0.041277,24h,0.00012551,0.916,24h,0.0001162,1.0,DIRECTIONALLY_CLEAN_THIN_EDGE,DIRECTIONALLY_CLEAN_THIN_EDGE,False,0.5197,3302027,0.004211,CONDITIONAL,CONSISTENT,CONDITIONAL_DIRECTION_REVIEW,cost too thin,Conditional direction; weak or no clear IC signal.
wq101_alpha26,wq101,conditional,DIRECTION_UNKNOWN,False,high|volume,11,24h,0.02642808,24h,0.25073,72h,-0.00238534,-8.1746,72h,-0.00288488,1.0,ROBUST_SPREAD_NEGATIVE,ROBUST_SPREAD_NEGATIVE,True,0.6049,3013600,0.091191,CONDITIONAL,DIVERGENT,CONDITIONAL_DIRECTION_REVIEW,RankIC/spread direction conflict|funding-adjusted edge flips,Conditional direction but shows IC signal strength.
wq101_alpha27,wq101,conditional,DIRECTION_UNKNOWN,False,volume|quote_volume,7,24h,0.02407085,24h,0.153241,72h,-0.00173954,-3.0224,72h,-0.00239452,1.0,MEAN_SPREAD_OUTLIER_DOMINATED,MEAN_SPREAD_OUTLIER_DOMINATED,False,0.5754,1336190,0.597046,CONDITIONAL,DIVERGENT,CONDITIONAL_DIRECTION_REVIEW,RankIC/spread direction conflict|after_funding_mean_spread_outlier_dominated|mean_spread_outlier_dominated,Conditional direction but shows IC signal strength.
wq101_alpha29,wq101,conditional,DIRECTION_UNKNOWN,False,close,11,4h,0.01168478,4h,0.099436,72h,-0.00268814,-9.1374,72h,-0.0030752,1.0,ROBUST_SPREAD_NEGATIVE,ROBUST_SPREAD_NEGATIVE,False,0.5439,3313300,0.0,CONDITIONAL,DIVERGENT,CONDITIONAL_DIRECTION_REVIEW,RankIC/spread direction conflict,Conditional direction; weak or no clear IC signal.
wq101_alpha31,wq101,conditional,DIRECTION_UNKNOWN,False,close|low|volume,31,72h,-0.01157381,72h,-0.109686,72h,-0.00109507,-4.0203,72h,-0.00092799,1.0,ROBUST_SPREAD_NEGATIVE,ROBUST_SPREAD_NEGATIVE,False,0.5252,3299292,0.004228,CONDITIONAL,CONSISTENT,CONDITIONAL_DIRECTION_REVIEW,,Conditional direction; weak or no clear IC signal.
