factor_name,category,expected_direction,direction_source,horizon,raw_mean_rank_ic,direction_adjusted_mean_rank_ic,after_funding_raw_mean_rank_ic,after_funding_direction_adjusted_mean_rank_ic,after_funding_t_stat,after_funding_n_periods,t_stat,n_periods,n_symbols_avg,coverage,missing_rate,used_in_current_signal,status,notes
wq101_alpha1,wq101,conditional,factor_registry,72h,0.00095352,0.00095352,0.00096671,0.00096671,1.2493,17715,1.2306,17715,186.0,3310109,0.001612,False,DIRECTION_UNKNOWN,"WorldQuant 101 Alpha#1: rank(ts_argmax(signedpower(returns<0 ? stddev(returns,20) : close,2),5))-0.5; panel rank semantics preserved"
wq101_alpha2,wq101,conditional,factor_registry,1h,0.01223825,0.01223825,0.01219706,0.01219706,19.7594,17791,19.8301,17791,185.7,3304472,0.003312,False,DIRECTION_UNKNOWN,"WorldQuant 101 Alpha#2: -correlation(rank(delta(log(volume),2)), rank((close-open)/open), 6); panel rank semantics preserved"
wq101_alpha2,wq101,conditional,factor_registry,4h,0.01494027,0.01494027,0.01488349,0.01488349,23.9515,17789,24.0477,17789,185.7,3304472,0.003312,False,DIRECTION_UNKNOWN,"WorldQuant 101 Alpha#2: -correlation(rank(delta(log(volume),2)), rank((close-open)/open), 6); panel rank semantics preserved"
wq101_alpha2,wq101,conditional,factor_registry,24h,0.01352336,0.01352336,0.01343391,0.01343391,21.6932,17769,21.8378,17769,185.7,3304472,0.003312,False,DIRECTION_UNKNOWN,"WorldQuant 101 Alpha#2: -correlation(rank(delta(log(volume),2)), rank((close-open)/open), 6); panel rank semantics preserved"
wq101_alpha2,wq101,conditional,factor_registry,72h,0.01167188,0.01167188,0.01131649,0.01131649,18.4391,17721,19.0183,17721,185.7,3304472,0.003312,False,DIRECTION_UNKNOWN,"WorldQuant 101 Alpha#2: -correlation(rank(delta(log(volume),2)), rank((close-open)/open), 6); panel rank semantics preserved"
wq101_alpha3,wq101,conditional,factor_registry,1h,0.0026854,0.0026854,0.00254772,0.00254772,3.7533,17797,3.9567,17797,147.5,2625671,0.20805,False,DIRECTION_UNKNOWN,"WorldQuant 101 Alpha#3: -correlation(rank(open), rank(volume), 10); panel rank semantics preserved"
wq101_alpha3,wq101,conditional,factor_registry,4h,0.00667025,0.00667025,0.00642977,0.00642977,9.4269,17795,9.7791,17795,147.5,2625671,0.20805,False,DIRECTION_UNKNOWN,"WorldQuant 101 Alpha#3: -correlation(rank(open), rank(volume), 10); panel rank semantics preserved"
wq101_alpha3,wq101,conditional,factor_registry,24h,0.01016261,0.01016261,0.00955653,0.00955653,13.8288,17775,14.7001,17775,147.5,2625671,0.20805,False,DIRECTION_UNKNOWN,"WorldQuant 101 Alpha#3: -correlation(rank(open), rank(volume), 10); panel rank semantics preserved"
wq101_alpha3,wq101,conditional,factor_registry,72h,0.00987677,0.00987677,0.00898945,0.00898945,13.0529,17727,14.3349,17727,147.5,2625671,0.20805,False,DIRECTION_UNKNOWN,"WorldQuant 101 Alpha#3: -correlation(rank(open), rank(volume), 10); panel rank semantics preserved"
wq101_alpha4,wq101,conditional,factor_registry,1h,0.00887912,0.00887912,0.00883249,0.00883249,12.1137,17798,12.1784,17798,186.2,3314107,0.000406,False,DIRECTION_UNKNOWN,"WorldQuant 101 Alpha#4: -ts_rank(rank(low), 9); rank is cross-sectional, ts_rank is per symbol"
wq101_alpha4,wq101,conditional,factor_registry,4h,0.01106855,0.01106855,0.01101931,0.01101931,15.054,17796,15.1307,17796,186.2,3314107,0.000406,False,DIRECTION_UNKNOWN,"WorldQuant 101 Alpha#4: -ts_rank(rank(low), 9); rank is cross-sectional, ts_rank is per symbol"
wq101_alpha4,wq101,conditional,factor_registry,24h,0.01027132,0.01027132,0.01023786,0.01023786,13.8911,17776,13.945,17776,186.2,3314107,0.000406,False,DIRECTION_UNKNOWN,"WorldQuant 101 Alpha#4: -ts_rank(rank(low), 9); rank is cross-sectional, ts_rank is per symbol"
wq101_alpha4,wq101,conditional,factor_registry,72h,0.00558343,0.00558343,0.00532344,0.00532344,7.4033,17728,7.7695,17728,186.2,3314107,0.000406,False,DIRECTION_UNKNOWN,"WorldQuant 101 Alpha#4: -ts_rank(rank(low), 9); rank is cross-sectional, ts_rank is per symbol"
wq101_alpha5,wq101,conditional,factor_registry,1h,0.02051444,0.02051444,0.02068537,0.02068537,23.4287,17796,23.235,17796,185.7,3304792,0.003215,False,DIRECTION_UNKNOWN,"WorldQuant 101 Alpha#5: rank(open-mean(vwap,10)) * -abs(rank(close-vwap)); VWAP derived from quote_volume/volume"
wq101_alpha5,wq101,conditional,factor_registry,4h,0.01883338,0.01883338,0.0191794,0.0191794,21.5705,17794,21.1817,17794,185.7,3304792,0.003215,False,DIRECTION_UNKNOWN,"WorldQuant 101 Alpha#5: rank(open-mean(vwap,10)) * -abs(rank(close-vwap)); VWAP derived from quote_volume/volume"
wq101_alpha5,wq101,conditional,factor_registry,24h,0.01082566,0.01082566,0.01167597,0.01167597,12.9001,17774,11.9659,17774,185.7,3304792,0.003215,False,DIRECTION_UNKNOWN,"WorldQuant 101 Alpha#5: rank(open-mean(vwap,10)) * -abs(rank(close-vwap)); VWAP derived from quote_volume/volume"
wq101_alpha5,wq101,conditional,factor_registry,72h,0.007528,0.007528,0.00842699,0.00842699,9.6364,17726,8.6144,17726,185.7,3304792,0.003215,False,DIRECTION_UNKNOWN,"WorldQuant 101 Alpha#5: rank(open-mean(vwap,10)) * -abs(rank(close-vwap)); VWAP derived from quote_volume/volume"
wq101_alpha7,wq101,conditional,factor_registry,1h,0.00080093,0.00080093,0.00082951,0.00082951,1.0431,17707,1.0071,17707,185.9,3306608,0.002668,False,DIRECTION_UNKNOWN,"WorldQuant 101 Alpha#7: if adv20 < volume then -ts_rank(abs(delta(close,7)),60)*sign(delta(close,7)) else -1"
wq101_alpha7,wq101,conditional,factor_registry,4h,-0.00023595,-0.00023595,-0.00012877,-0.00012877,-0.1615,17705,-0.2957,17705,185.9,3306608,0.002668,False,DIRECTION_UNKNOWN,"WorldQuant 101 Alpha#7: if adv20 < volume then -ts_rank(abs(delta(close,7)),60)*sign(delta(close,7)) else -1"
wq101_alpha7,wq101,conditional,factor_registry,24h,0.00221838,0.00221838,0.00235989,0.00235989,3.027,17685,2.8406,17685,185.9,3306608,0.002668,False,DIRECTION_UNKNOWN,"WorldQuant 101 Alpha#7: if adv20 < volume then -ts_rank(abs(delta(close,7)),60)*sign(delta(close,7)) else -1"
wq101_alpha7,wq101,conditional,factor_registry,72h,0.0011293,0.0011293,0.00127294,0.00127294,1.6773,17637,1.4855,17637,185.9,3306608,0.002668,False,DIRECTION_UNKNOWN,"WorldQuant 101 Alpha#7: if adv20 < volume then -ts_rank(abs(delta(close,7)),60)*sign(delta(close,7)) else -1"
wq101_alpha8,wq101,conditional,factor_registry,1h,0.01030839,0.01030839,0.01019884,0.01019884,11.712,17791,11.8397,17791,186.2,3312224,0.000974,False,DIRECTION_UNKNOWN,"WorldQuant 101 Alpha#8: -rank(sum(open,5)*sum(returns,5)-delay(sum(open,5)*sum(returns,5),10)); panel rank semantics preserved"
wq101_alpha8,wq101,conditional,factor_registry,4h,0.00943298,0.00943298,0.00930994,0.00930994,10.4455,17789,10.5832,17789,186.2,3312224,0.000974,False,DIRECTION_UNKNOWN,"WorldQuant 101 Alpha#8: -rank(sum(open,5)*sum(returns,5)-delay(sum(open,5)*sum(returns,5),10)); panel rank semantics preserved"
